Year,Month,Day,Min (°F),Min (°C)
1869,2,19,38,3.3
1869,2,20,42,5.6
1869,2,21,41,5
1869,2,22,39,3.9
1869,2,23,37,2.8
1869,2,24,44,6.7
1869,2,25,38.5,3.6
1869,2,26,42,5.6
1869,2,27,38,3.3
1869,2,28,32.5,0.3
1869,3,1,36,2.2
1869,3,2,36,2.2
1869,3,3,35,1.7
1869,3,4,36,2.2
1869,3,5,43,6.1
1869,3,6,38,3.3
1869,3,7,41,5
1869,3,8,40,4.4
1869,3,9,32,0
1869,3,10,36,2.2
1869,3,11,32,0
1869,3,12,32,0
1869,3,13,32,0
1869,3,14,30,-1.1
1869,3,15,31,-0.6
1869,3,16,36,2.2
1869,3,17,39.5,4.2
1869,3,18,40,4.4
1869,3,19,38,3.3
1869,3,20,37,2.8
1869,3,21,39,3.9
1869,3,22,38,3.3
1869,3,23,36,2.2
1869,3,24,42,5.6
1869,3,25,44,6.7
1869,3,26,41,5
1869,3,27,37,2.8
1869,3,28,39,3.9
1869,3,29,33.5,0.8
1869,3,30,36,2.2
1869,3,31,36,2.2
1869,4,1,37,2.8
1869,4,2,44,6.7
1869,4,3,34.5,1.4
1869,4,4,36.5,2.5
1869,4,5,44,6.7
1869,4,6,44,6.7
1869,4,7,41,5
1869,4,8,36,2.2
1869,4,9,35,1.7
1869,4,10,46.5,8.1
1869,4,11,48,8.9
1869,4,12,51,10.6
1869,4,13,50,10
1869,4,14,54,12.2
1869,4,15,46,7.8
1869,4,16,44,6.7
1869,4,17,44.5,6.9
1869,4,18,40,4.4
1869,4,19,44,6.7
1869,4,20,44,6.7
1869,4,21,46,7.8
1869,4,22,48,8.9
1869,4,23,42,5.6
1869,4,24,46,7.8
1869,4,25,48.5,9.2
1869,4,26,50,10
1869,4,27,48,8.9
1869,4,28,48.5,9.2
1869,4,29,44,6.7
1869,4,30,40,4.4
1869,5,1,43.5,6.4
1869,5,2,42,5.6
1869,5,3,44,6.7
1869,5,4,38,3.3
1869,5,5,42.5,5.8
1869,5,6,42,5.6
1869,5,7,39,3.9
1869,5,8,45,7.2
1869,5,9,34,1.1
1869,5,10,45.5,7.5
1869,5,11,38.5,3.6
1869,5,12,38,3.3
1869,5,13,37,2.8
1869,5,14,38,3.3
1869,5,15,44.5,6.9
1869,5,16,44.5,6.9
1869,5,17,NA,NA
1869,5,18,NA,NA
1869,5,19,NA,NA
1869,5,20,NA,NA
1869,5,21,NA,NA
1869,5,22,NA,NA
1869,5,23,NA,NA
1869,5,24,NA,NA
1869,5,25,NA,NA
1869,5,26,NA,NA
1869,5,27,NA,NA
1869,5,28,NA,NA
1869,5,29,NA,NA
1869,5,30,NA,NA
1869,5,31,NA,NA
1869,6,1,NA,NA
1869,6,2,NA,NA
1869,6,3,NA,NA
1869,6,4,NA,NA
1869,6,5,NA,NA
1869,6,6,NA,NA
1869,6,7,NA,NA
1869,6,8,NA,NA
1869,6,9,NA,NA
1869,6,10,NA,NA
1869,6,11,NA,NA
1869,6,12,NA,NA
1869,6,13,NA,NA
1869,6,14,NA,NA
1869,6,15,NA,NA
1869,6,16,NA,NA
1869,6,17,NA,NA
1869,6,18,NA,NA
1869,6,19,NA,NA
1869,6,20,NA,NA
1869,6,21,NA,NA
1869,6,22,NA,NA
1869,6,23,NA,NA
1869,6,24,NA,NA
1869,6,25,NA,NA
1869,6,26,NA,NA
1869,6,27,NA,NA
1869,6,28,NA,NA
1869,6,29,NA,NA
1869,6,30,NA,NA
1869,7,1,NA,NA
1869,7,2,NA,NA
1869,7,3,NA,NA
1869,7,4,NA,NA
1869,7,5,NA,NA
1869,7,6,NA,NA
1869,7,7,NA,NA
1869,7,8,NA,NA
1869,7,9,NA,NA
1869,7,10,NA,NA
1869,7,11,NA,NA
1869,7,12,NA,NA
1869,7,13,NA,NA
1869,7,14,NA,NA
1869,7,15,NA,NA
1869,7,16,NA,NA
1869,7,17,NA,NA
1869,7,18,NA,NA
1869,7,19,NA,NA
1869,7,20,NA,NA
1869,7,21,NA,NA
1869,7,22,NA,NA
1869,7,23,NA,NA
1869,7,24,NA,NA
1869,7,25,NA,NA
1869,7,26,NA,NA
1869,7,27,NA,NA
1869,7,28,NA,NA
1869,7,29,NA,NA
1869,7,30,NA,NA
1869,7,31,NA,NA
1869,8,1,52.5,11.4
1869,8,2,NA,NA
1869,8,3,49,9.4
1869,8,4,52,11.1
1869,8,5,48,8.9
1869,8,6,48,8.9
1869,8,7,54,12.2
1869,8,8,55,12.8
1869,8,9,57,13.9
1869,8,10,50,10
1869,8,11,53,11.7
1869,8,12,60,15.6
1869,8,13,54,12.2
1869,8,14,NA,NA
1869,8,15,58,14.4
1869,8,16,52,11.1
1869,8,17,56,13.3
1869,8,18,52,11.1
1869,8,19,56,13.3
1869,8,20,53,11.7
1869,8,21,58,14.4
1869,8,22,58,14.4
1869,8,23,53,11.7
1869,8,24,58,14.4
1869,8,25,58,14.4
1869,8,26,54,12.2
1869,8,27,60,15.6
1869,8,28,58,14.4
1869,8,29,54,12.2
1869,8,30,44,6.7
1869,8,31,50,10
1869,9,1,50,10
1869,9,2,50,10
1869,9,3,51,10.6
1869,9,4,51,10.6
1869,9,5,52,11.1
1869,9,6,53,11.7
1869,9,7,54,12.2
1869,9,8,54,12.2
1869,9,9,56,13.3
1869,9,10,54,12.2
1869,9,11,48,8.9
1869,9,12,48,8.9
1869,9,13,NA,NA
1869,9,14,NA,NA
1869,9,15,NA,NA
1869,9,16,51,10.6
1869,9,17,50,10
1869,9,18,52,11.1
1869,9,19,44,6.7
1869,9,20,43.5,6.4
1869,9,21,45,7.2
1869,9,22,44,6.7
1869,9,23,50,10
1869,9,24,58,14.4
1869,9,25,54,12.2
1869,9,26,47,8.3
1869,9,27,46,7.8
1869,9,28,44,6.7
1869,9,29,48,8.9
1869,9,30,52,11.1
1869,10,1,53,11.7
1869,10,2,48,8.9
1869,10,3,49,9.4
1869,10,4,45,7.2
1869,10,5,51,10.6
1869,10,6,53,11.7
1869,10,7,52,11.1
1869,10,8,54,12.2
1869,10,9,52,11.1
1869,10,10,56,13.3
1869,10,11,59,15
1869,10,12,54,12.2
1869,10,13,44,6.7
1869,10,14,40,4.4
1869,10,15,50,10
1869,10,16,39,3.9
1869,10,17,35,1.7
1869,10,18,39,3.9
1869,10,19,36,2.2
1869,10,20,33,0.6
1869,10,21,36,2.2
1869,10,22,46,7.8
1869,10,23,49,9.4
1869,10,24,44,6.7
1869,10,25,38,3.3
1869,10,26,38,3.3
1869,10,27,34,1.1
1869,10,28,36,2.2
1869,10,29,40,4.4
1869,10,30,48,8.9
1869,10,31,44,6.7
1869,11,1,44,6.7
1869,11,2,48,8.9
1869,11,3,42,5.6
1869,11,4,42,5.6
1869,11,5,40,4.4
1869,11,6,36,2.2
1869,11,7,36,2.2
1869,11,8,40,4.4
1869,11,9,39,3.9
1869,11,10,30,-1.1
1869,11,11,30,-1.1
1869,11,12,36,2.2
1869,11,13,46,7.8
1869,11,14,45,7.2
1869,11,15,45,7.2
1869,11,16,42,5.6
1869,11,17,38,3.3
1869,11,18,49,9.4
1869,11,19,43,6.1
1869,11,20,34,1.1
1869,11,21,37,2.8
1869,11,22,34,1.1
1869,11,23,32,0
1869,11,24,32,0
1869,11,25,32,0
1869,11,26,35,1.7
1869,11,27,34,1.1
1869,11,28,35,1.7
1869,11,29,32,0
1869,11,30,33,0.6
1869,12,1,34,1.1
1869,12,2,30.5,-0.8
1869,12,3,34,1.1
1869,12,4,29,-1.7
1869,12,5,30,-1.1
1869,12,6,22.5,-5.3
1869,12,7,28,-2.2
1869,12,8,28.5,-1.9
1869,12,9,36,2.2
1869,12,10,33,0.6
1869,12,11,35,1.7
1869,12,12,32,0
1869,12,13,34,1.1
1869,12,14,35,1.7
1869,12,15,34,1.1
1869,12,16,31,-0.6
1869,12,17,33,0.6
1869,12,18,36,2.2
1869,12,19,35,1.7
1869,12,20,32,0
1869,12,21,27,-2.8
1869,12,22,33,0.6
1869,12,23,32,0
1869,12,24,33,0.6
1869,12,25,30,-1.1
1869,12,26,28,-2.2
1869,12,27,20,-6.7
1869,12,28,16,-8.9
1869,12,29,31,-0.6
1869,12,30,36,2.2
1869,12,31,44,6.7
1870,1,1,40,4.4
1870,1,2,33,0.6
1870,1,3,38,3.3
1870,1,4,40,4.4
1870,1,5,36,2.2
1870,1,6,38,3.3
1870,1,7,32,0
1870,1,8,41,5
1870,1,9,42,5.6
1870,1,10,32,0
1870,1,11,30,-1.1
1870,1,12,32,0
1870,1,13,31,-0.6
1870,1,14,35,1.7
1870,1,15,38,3.3
1870,1,16,42,5.6
1870,1,17,45,7.2
1870,1,18,41,5
1870,1,19,33,0.6
1870,1,20,32,0
1870,1,21,31,-0.6
1870,1,22,35,1.7
1870,1,23,34,1.1
1870,1,24,28,-2.2
1870,1,25,26,-3.3
1870,1,26,29,-1.7
1870,1,27,32,0
1870,1,28,37,2.8
1870,1,29,38,3.3
1870,1,30,40,4.4
1870,1,31,40,4.4
