year reset,irrain mean,irtemp mean,co2 ppmv pre2001,co2 ppmv luthi,co2 ppmv post2001,co2 mean,temp c ffill,temp c mean ffill,anom c,modern temp c,modern anom c,anom modern anom,ch4 ppbv pre1937,ch4 ppbv 1938,ch4 ppbv 1997,ch4 mean
27962.0,,,,,,,-60.44999999999999,-60.949999999999974,-6.51,,,-6.51,,,,
27985.23999999999,,,218.39,,,218.39,,,,,,,,,,
27999.0,,,,,,,-60.44999999999999,-60.44999999999999,,,,,,,,
28242.0,,,,,,,,,,,,,451.0,,,451.0
28318.609999999986,,,213.36,,,213.36,,,,,,,,,,
28421.0,,,,,,,-59.94999999999999,-60.44999999999999,,,,,,,,
28578.0,,,,209.0,,209.0,,,,,,,,,,
28759.0,,,,,,,-59.94999999999999,-60.44999999999999,-5.91,,,-5.91,,,,
28895.0,,,,204.0,,204.0,,,,,,,,,,
28999.0,,,,,,,-59.94999999999999,-59.94999999999999,,,,,,,,
29011.0,,,,,,,,,,,,,470.0,,,470.0
29088.0,,,,,,,-59.14999999999998,-59.94999999999999,,,,,,,,
29220.699999999953,,,214.45,,,214.45,,,,,,,,,,
29507.0,,,,,,,-59.14999999999998,-59.94999999999999,-5.61,,,-5.61,,,,
29755.0,,,,,,,-58.64999999999998,-59.94999999999999,,,,,,,,
29757.0,,,,205.1,,205.1,,,,,,,,,,
29807.219999999972,,,224.69,,,224.69,,,,,,,,,,
29843.0,,,,,,,,,,,,,466.0,,,466.0
29999.0,,,,,,,-58.64999999999998,-58.89999999999998,,,,,,,,
30220.0,,,,,,,-58.64999999999998,-58.89999999999998,-5.05,,,-5.05,,,,
30347.0,,,,215.4,,215.4,,,,,,,,,,
30422.0,,,,,,,-58.04999999999998,-58.89999999999998,,,,,,,,
30461.0,,,,,,,,,,,,,503.0,,,503.0
30781.119999999995,,,230.55,,,230.55,,,,,,,,,,
30901.0,,,,,,,-58.04999999999998,-58.89999999999998,-4.27,,,-4.27,,,,
30999.0,,,,,,,-58.04999999999998,-58.04999999999998,,,,,,,,
31014.0,,,,,,,-57.64999999999998,-58.04999999999998,,,,,,,,
31148.0,,,,,,,,,,,,,483.0,,,483.0
31198.589999999967,,,227.38,,,227.38,,,,,,,,,,
31300.0,,,,221.3,,221.3,,,,,,,,,,
31556.0,,,,,,,-57.64999999999998,-58.04999999999998,-3.7,,,-3.7,,,,
31607.0,,,,,,,-57.44999999999999,-58.04999999999998,,,,,,,,
31685.0,,,,218.2,,218.2,,,,,,,,,,
31800.0,,,,,,,,,,,,,540.0,,,540.0
