,year reset,irtemp mean,anom modern anom,date,irish smoothed,global smoothed
0,821719.0833333334,,,18582.0,,
1,821719.0833333334,,,18583.0,,
2,821719.0833333334,,,18584.0,,
3,821719.0833333334,,,18585.0,,
4,821719.0833333334,,,18586.0,,
5,821719.0833333334,,,18587.0,,
6,821719.0833333334,,,18588.0,,
7,821719.0833333334,,,18589.0,,
8,821719.0833333334,,,18590.0,,
9,821719.0833333334,,,18591.0,,
10,821719.0833333334,,,18592.0,,
11,821719.0833333334,,,18593.0,,
12,821719.0833333334,,,18594.0,,
13,821719.0833333334,,,18595.0,,
14,821719.0833333334,,,18596.0,,
15,821719.0833333334,,,18597.0,,
16,821719.0833333334,,,18598.0,,
17,821719.0833333334,7.300000000000001,,18599.0,9.769400743804344,
18,821719.0833333334,7.399999999999999,,18600.0,9.76947768660542,
19,821719.0833333334,6.7,,18601.0,9.76955466501315,
20,821719.0833333334,8.75,,18602.0,9.769631679033502,
21,821719.0833333334,5.8,,18603.0,9.769708728676102,
22,821719.0833333334,7.8,,18604.0,9.769785813951234,
23,821719.0833333334,2.2,,18605.0,9.769862934867666,
24,821719.0833333334,0.2999999999999998,,18606.0,9.769940091433813,
25,821719.0833333334,1.2500000000000002,,18607.0,9.770017283660527,
26,821719.0833333334,2.35,,18608.0,9.770094511553358,
27,821719.0833333334,1.95,,18609.0,9.770171775125839,
28,821719.0833333334,-0.6,,18610.0,9.770249074384303,
29,821719.0833333334,3.6,,18611.0,9.770326409339742,
30,821719.0833333334,0.4499999999999999,,18612.0,9.770403780000322,
31,821719.1666666666,-1.15,,18613.0,9.770481186374774,
32,821719.1666666666,0.0,,18614.0,9.770558628474687,
33,821719.1666666666,-0.7000000000000001,,18615.0,9.770636106308908,
34,821719.1666666666,0.4499999999999999,,18616.0,9.770713619888843,
35,821719.1666666666,-7.2,,18617.0,9.770791169219285,
36,821719.1666666666,-3.1,,18618.0,9.77086875431512,
37,821719.1666666666,4.8500000000000005,,18619.0,9.770946375183483,
38,821719.1666666666,9.85,,18620.0,9.771024031836578,
39,821719.1666666666,11.55,,18621.0,9.771101724280452,
40,821719.1666666666,14.7,,18622.0,9.771179452527731,
41,821719.1666666666,10.95,,18623.0,9.771257216588689,
42,821719.1666666666,3.3,,18624.0,9.771335016472591,
43,821719.1666666666,11.4,,18625.0,9.771412852188861,
44,821719.1666666666,10.0,,18626.0,9.771490723746812,
45,821719.1666666666,8.9,,18627.0,9.771568631156896,
46,821719.1666666666,7.5,,18628.0,9.771646574430779,
47,821719.1666666666,6.25,,18629.0,9.77172455357596,
48,821719.1666666666,6.95,,18630.0,9.771802568603631,
49,821719.1666666666,5.3,,18631.0,9.771880619523492,
50,821719.1666666666,10.0,,18632.0,9.771958706346753,
51,821719.1666666666,4.3,,18633.0,9.772036829080598,
52,821719.1666666666,7.35,,18634.0,9.7721149877367,
53,821719.1666666666,5.3,,18635.0,9.7721931823252,
54,821719.1666666666,9.9,,18636.0,9.772271412855755,
55,821719.1666666666,6.15,,18637.0,9.772349679340913,
56,821719.1666666666,4.7,,18638.0,9.772427981787603,
57,821719.1666666666,8.5,,18639.0,9.772506320205872,
58,821719.1666666666,4.05,,18640.0,9.772584694609213,
59,821719.25,5.7,,18641.0,9.77266310500518,
60,821719.25,9.15,,18642.0,9.772741551404792,
61,821719.25,9.05,,18643.0,9.772820033817933,
62,821719.25,10.2,,18644.0,9.772898552257649,
63,821719.25,10.0,,18645.0,9.772977106730428,
64,821719.25,12.9,,18646.0,9.773055697247711,
65,821719.25,6.85,,18647.0,9.773134323822068,
66,821719.25,10.0,,18648.0,9.77321298646326,
67,821719.25,7.5,,18649.0,9.773291685177455,
68,821719.25,8.75,,18650.0,9.773370419979278,
69,821719.25,9.4,,18651.0,9.773449190878758,
70,821719.25,4.2,,18652.0,9.773527997884903,
71,821719.25,11.9,,18653.0,9.773606841010002,
72,821719.25,5.4,,18654.0,9.773685720261167,
73,821719.25,7.5,,18655.0,9.773764635651474,
74,821719.25,10.15,,18656.0,9.773843587191948,
75,821719.25,10.85,,18657.0,9.77392257489127,
76,821719.25,7.75,,18658.0,9.77400159875954,
77,821719.25,5.0,,18659.0,9.774080658809666,
78,821719.25,12.2,,18660.0,9.77415975505052,
79,821719.25,8.05,,18661.0,9.774238887490334,
80,821719.25,8.45,,18662.0,9.774318056145551,
81,821719.25,9.05,,18663.0,9.774397261023594,
82,821719.25,6.95,,18664.0,9.774476502132533,
83,821719.25,5.3,,18665.0,9.774555779485823,
84,821719.25,4.4,,18666.0,9.774635093093654,
85,821719.25,11.4,,18667.0,9.774714442966925,
86,821719.25,8.6,,18668.0,9.774793829115012,
87,821719.25,7.1,,18669.0,9.774873251550138,
88,821719.25,7.25,,18670.0,9.774952710282127,
89,821719.25,9.05,,18671.0,9.775032205320498,
90,821719.3333333334,8.75,,18672.0,9.775111736677031,
91,821719.3333333334,3.9,,18673.0,9.775191304364816,
92,821719.3333333334,12.5,,18674.0,9.775270908391681,
93,821719.3333333334,6.1,,18675.0,9.775350548769977,
94,821719.3333333334,7.5,,18676.0,9.775430225509405,
95,821719.3333333334,9.7,,18677.0,9.775509938619976,
96,821719.3333333334,9.45,,18678.0,9.775589688114637,
97,821719.3333333334,9.45,,18679.0,9.775669474004566,
98,821719.3333333334,8.3,,18680.0,9.775749296296619,
99,821719.3333333334,12.8,,18681.0,9.775829155006305,
100,821719.3333333334,10.6,,18682.0,9.775909050141925,
101,821719.3333333334,10.0,,18683.0,9.77598898171558,
102,821719.3333333334,9.75,,18684.0,9.776068949736615,
103,821719.3333333334,8.2,,18685.0,9.776148954216108,
104,821719.3333333334,12.05,,18686.0,9.776228995168292,
105,821719.3333333334,9.4,,18687.0,9.776309072599826,
106,821719.3333333334,12.8,,18688.0,9.776389186522502,
107,821719.3333333334,9.6,,18689.0,9.776469336947356,
108,821719.3333333334,11.15,,18690.0,9.776549523885357,
109,821719.3333333334,10.6,,18691.0,9.776629747350514,
110,821719.3333333334,10.4,,18692.0,9.776710007347553,
111,821719.3333333334,12.65,,18693.0,9.776790303890513,
112,821719.3333333334,8.9,,18694.0,9.776870636991486,
113,821719.3333333334,15.8,,18695.0,9.776951006659466,
114,821719.3333333334,9.9,,18696.0,9.777031412904684,
115,821719.3333333334,12.5,,18697.0,9.777111855739596,
116,821719.3333333334,11.1,,18698.0,9.777192335173535,
117,821719.3333333334,12.5,,18699.0,9.777272851217697,
118,821719.3333333334,11.1,,18700.0,9.777353403885131,
119,821719.3333333334,12.5,,18701.0,9.77743399318317,
120,821719.4166666666,,,18702.0,,
121,821719.4166666666,10.8,,18703.0,9.777595281716989,
122,821719.4166666666,10.15,,18704.0,9.777675980973267,
123,821719.4166666666,8.35,,18705.0,9.777756716906087,
124,821719.4166666666,7.2,,18706.0,9.777837489522467,
125,821719.4166666666,5.3,,18707.0,9.777918298834921,
126,821719.4166666666,0.6,,18708.0,9.777999144853446,
127,821719.4166666666,12.8,,18709.0,9.778080027590274,
128,821719.4166666666,8.85,,18710.0,9.778160947054538,
129,821719.4166666666,10.7,,18711.0,9.778241903257802,
130,821719.4166666666,11.8,,18712.0,9.778322896210206,
131,821719.4166666666,10.0,,18713.0,9.778403925924685,
132,821719.4166666666,11.1,,18714.0,9.778484992409325,
133,821719.4166666666,7.8,,18715.0,9.778566095676123,
134,821719.4166666666,14.4,,18716.0,9.778647235734885,
135,821719.4166666666,10.55,,18717.0,9.778728412596745,
136,821719.4166666666,12.6,,18718.0,9.778809626273299,
137,821719.4166666666,14.45,,18719.0,9.77889087677526,
138,821719.4166666666,14.85,,18720.0,9.778972164111412,
139,821719.4166666666,15.55,,18721.0,9.779053488296825,
140,821719.4166666666,10.0,,18722.0,9.779134849336776,
141,821719.4166666666,20.6,,18723.0,9.779216247243777,
142,821719.4166666666,16.1,,18724.0,9.779297682030867,
143,821719.4166666666,17.05,,18725.0,9.779379153706111,
144,821719.4166666666,18.35,,18726.0,9.779460662280263,
145,821719.4166666666,17.8,,18727.0,9.779542207762194,
146,821719.4166666666,15.4,,18728.0,9.779623790166273,
147,821719.4166666666,10.0,,18729.0,9.779705409499984,
148,821719.4166666666,20.0,,18730.0,9.779787065773986,
149,821719.4166666666,15.0,,18731.0,9.77986875899856,
150,821719.4166666666,15.85,,18732.0,9.779950489184763,
151,821719.5,16.4,,18733.0,9.780032256342949,
152,821719.5,15.85,,18734.0,9.780114060481335,
153,821719.5,17.6,,18735.0,9.780195901610199,
154,821719.5,14.4,,18736.0,9.780277779743061,
155,821719.5,21.4,,18737.0,9.780359694885133,
156,821719.5,15.8,,18738.0,9.780441647049983,
157,821719.5,15.0,,18739.0,9.780523636244917,
158,821719.5,16.1,,18740.0,9.780605662480937,
159,821719.5,15.55,,18741.0,9.780687725768795,
160,821719.5,15.4,,18742.0,9.780769826117094,
161,821719.5,11.7,,18743.0,9.780851963535476,
162,821719.5,18.9,,18744.0,9.780934138033782,
163,821719.5,16.65,,18745.0,9.781016349621176,
164,821719.5,17.25,,18746.0,9.78109859830946,
165,821719.5,18.05,,18747.0,9.781180884105288,
166,821719.5,16.8,,18748.0,9.7812632070198,
167,821719.5,15.8,,18749.0,9.781345567061468,
168,821719.5,13.9,,18750.0,9.781427964240812,
169,821719.5,19.4,,18751.0,9.781510398567464,
170,821719.5,16.1,,18752.0,9.78159287004852,
171,821719.5,17.25,,18753.0,9.781675378694635,
172,821719.5,16.0,,18754.0,9.781757924514439,
173,821719.5,15.3,,18755.0,9.781840507519846,
174,821719.5,13.9,,18756.0,9.781923127715407,
175,821719.5,12.2,,18757.0,9.782005785113425,
176,821719.5,17.8,,18758.0,9.782088479721345,
177,821719.5,14.15,,18759.0,9.782171211548736,
178,821719.5,14.15,,18760.0,9.782253980605816,
179,821719.5,14.15,,18761.0,9.782336786898808,
180,821719.5,15.0,,18762.0,9.782419630439078,
181,821719.5833333334,14.05,,18763.0,9.782502511233366,
182,821719.5833333334,13.3,,18764.0,9.782585429292268,
183,821719.5833333334,19.2,,18765.0,9.782668384623873,
184,821719.5833333334,16.4,,18766.0,9.782751377236883,
185,821719.5833333334,17.5,,18767.0,9.782834407139756,
186,821719.5833333334,17.25,,18768.0,9.782917474339722,
187,821719.5833333334,17.75,,18769.0,9.783000578848458,
188,821719.5833333334,18.9,,18770.0,9.7830837206731,
189,821719.5833333334,,,18771.0,,
190,821719.5833333334,21.7,,18772.0,9.78325011630342,
191,821719.5833333334,16.1,,18773.0,9.783333370126321,
192,821719.5833333334,16.1,,18774.0,9.783416661297524,
193,821719.5833333334,16.95,,18775.0,9.78349998982551,
194,821719.5833333334,18.05,,18776.0,9.783583355721966,
195,821719.5833333334,17.75,,18777.0,9.783666758991417,
196,821719.5833333334,15.0,,18778.0,9.783750199643368,
197,821719.5833333334,18.9,,18779.0,9.783833677684335,
198,821719.5833333334,15.25,,18780.0,9.783917193125234,
199,821719.5833333334,14.15,,18781.0,9.784000745973422,
200,821719.5833333334,15.0,,18782.0,9.784084336234026,
201,821719.5833333334,13.75,,18783.0,9.784167963919062,
202,821719.5833333334,14.2,,18784.0,9.784251629033431,
203,821719.5833333334,11.1,,18785.0,9.784335331585762,
204,821719.5833333334,17.8,,18786.0,9.78441907158328,
205,821719.5833333334,13.85,,18787.0,9.784502849035247,
206,821719.5833333334,16.8,,18788.0,9.784586663948755,
207,821719.5833333334,19.05,,18789.0,9.784670516330962,
208,821719.5833333334,20.700000000000003,,18790.0,9.784754406189347,
209,821719.5833333334,20.55,,18791.0,9.784838333534385,
210,821719.5833333334,25.0,,18792.0,9.784922298368977,
211,821719.5833333334,,,18793.0,,
212,821719.6666666666,20.8,,18794.0,9.78509034054576,
213,821719.6666666666,24.2,,18795.0,9.78517441790224,
214,821719.6666666666,21.1,,18796.0,9.785258532779759,
215,821719.6666666666,19.700000000000003,,18797.0,9.785342685187771,
216,821719.6666666666,19.85,,18798.0,9.78542687513127,
217,821719.6666666666,17.2,,18799.0,9.785511102618177,
218,821719.6666666666,20.8,,18800.0,9.78559536765571,
219,821719.6666666666,16.8,,18801.0,9.785679670252266,
220,821719.6666666666,18.9,,18802.0,9.78576401041219,
221,821719.6666666666,16.450000000000003,,18803.0,9.785848388143934,
222,821719.6666666666,18.65,,18804.0,9.785932803455559,
223,821719.6666666666,18.05,,18805.0,9.786017256353402,
224,821719.6666666666,14.4,,18806.0,9.78610174684266,
225,821719.6666666666,22.2,,18807.0,9.786186274930882,
226,821719.6666666666,18.45,,18808.0,9.786270840625908,
227,821719.6666666666,21.1,,18809.0,9.786355443934497,
228,821719.6666666666,18.3,,18810.0,9.786440084861727,
229,821719.6666666666,14.15,,18811.0,9.786524763414773,
230,821719.6666666666,14.75,,18812.0,9.78660947960001,
231,821719.6666666666,13.9,,18813.0,9.786694233425445,
232,821719.6666666666,21.1,,18814.0,9.786779024896244,
233,821719.6666666666,19.75,,18815.0,9.786863854017698,
234,821719.6666666666,16.1,,18816.0,9.786948720797405,
235,821719.6666666666,16.5,,18817.0,9.787033625242872,
236,821719.6666666666,14.45,,18818.0,9.787118567358474,
237,821719.6666666666,13.9,,18819.0,9.787203547150709,
238,821719.6666666666,,,18820.0,,
239,821719.6666666666,19.4,,18821.0,9.787373619791943,
240,821719.6666666666,14.7,,18822.0,9.787458712652231,
241,821719.6666666666,18.65,,18823.0,9.787543843214252,
