Gasage (yr BP) ,co2 (ppmv),year,Gasage (yr BP),co2 (ppmv) Luthi
,,-1265.0,3215.0,274.0
,,-1386.0,3336.0,275.0
,,-1503.0,3453.0,273.4
,,-1573.0,3523.0,273.0
,,-1672.0,3622.0,271.5
,,-1771.0,3721.0,275.4
,,-1840.0,3790.0,274.9
,,-1960.0,3910.0,271.7
,,-2054.0,4004.0,271.6
,,-2146.0,4096.0,272.8
,,-2211.0,4161.0,271.5
,,-2374.0,4324.0,271.1
,,-2424.0,4374.0,269.1
,,-2530.0,4480.0,269.8
,,-2623.0,4573.0,271.5
,,-2753.0,4703.0,270.7
,,-2816.0,4766.0,269.3
,,-2924.0,4874.0,268.6
,,-3054.0,5004.0,269.8
,,-3144.0,5094.0,267.6
,,-3210.0,5160.0,265.3
,,-3324.0,5274.0,265.2
,,-3420.0,5370.0,267.6
,,-3526.0,5476.0,265.9
,,-3612.0,5562.0,265.5
,,-3707.0,5657.0,260.7
,,-3766.0,5716.0,266.7
,,-3905.0,5855.0,265.5
,,-4048.0,5998.0,263.2
,,-4089.0,6039.0,262.7
,,-4181.0,6131.0,261.2
,,-4313.0,6263.0,261.1
,,-4404.0,6354.0,259.4
,,-4484.0,6434.0,262.1
,,-4595.0,6545.0,262.9
,,-4667.0,6617.0,258.1
,,-4763.0,6713.0,257.6
,,-4888.0,6838.0,262.3
,,-4991.0,6941.0,263.0
,,-5078.0,7028.0,260.7
,,-5162.0,7112.0,258.4
,,-5284.0,7234.0,260.1
,,-5370.0,7320.0,260.4
,,-5463.0,7413.0,259.7
,,-5557.0,7507.0,259.2
,,-5640.0,7590.0,260.8
,,-5741.0,7691.0,259.6
,,-5831.0,7781.0,259.3
,,-5926.0,7876.0,258.3
,,-6040.0,7990.0,261.3
,,-6100.0,8050.0,260.7
,,-6231.0,8181.0,261.8
,,-6331.0,8281.0,259.0
,,-6437.0,8387.0,260.9
,,-6527.0,8477.0,260.4
,,-6629.0,8579.0,259.3
,,-6703.0,8653.0,262.0
,,-6834.0,8784.0,263.7
,,-6919.0,8869.0,263.8
,,-7023.0,8973.0,265.2
,,-7142.0,9092.0,260.6
,,-7190.0,9140.0,260.9
,,-7282.0,9232.0,263.0
,,-7367.0,9317.0,263.8
,,-7586.0,9536.0,264.4
,,-7647.0,9597.0,264.2
,,-7771.0,9721.0,264.0
,,-7857.0,9807.0,263.4
,,-7959.0,9909.0,265.7
,,-8033.0,9983.0,264.9
,,-8138.0,10088.0,267.5
,,-8259.0,10209.0,266.9
,,-8344.0,10294.0,266.0
,,-8467.0,10417.0,265.1
,,-8577.0,10527.0,267.6
,,-8671.0,10621.0,264.8
,,-8794.0,10744.0,264.8
,,-8855.0,10805.0,265.0
,,-8877.0,10827.0,265.3
,,-8945.0,10895.0,264.4
,,-8983.0,10933.0,264.1
,,-9064.0,11014.0,264.2
,,-9137.0,11087.0,264.5
,,-9186.0,11136.0,264.0
,,-9251.0,11201.0,263.0
,,-9286.0,11236.0,265.2
,,-9328.0,11278.0,258.8
,,-9388.0,11338.0,260.8
,,-9442.0,11392.0,255.4
,,-9486.0,11436.0,253.9
,,-9519.0,11469.0,253.8
,,-9630.0,11580.0,250.7
,,-9685.0,11635.0,249.7
,,-9726.0,11676.0,251.1
,,-9777.0,11727.0,250.7
,,-9869.0,11819.0,245.3
,,-9946.0,11896.0,245.3
,,-10008.0,11958.0,246.6
,,-10100.0,12050.0,243.2
,,-10172.0,12122.0,240.3
,,-10421.0,12371.0,237.5
,,-10546.0,12496.0,237.6
,,-10692.0,12642.0,234.2
,,-10810.0,12760.0,238.3
,,-10992.0,12942.0,237.3
,,-11140.0,13090.0,237.9
,,-11291.0,13241.0,237.6
,,-11490.0,13440.0,236.4
,,-11592.0,13542.0,239.2
,,-11703.0,13653.0,238.6
,,-11854.0,13804.0,238.6
,,-11998.0,13948.0,239.1
,,-12353.0,14303.0,228.5
,,-12600.0,14550.0,228.4
,,-12775.0,14725.0,226.1
,,-12940.0,14890.0,225.2
,,-13062.0,15012.0,224.5
,,-13283.0,15233.0,222.0
,,-13488.0,15438.0,221.0
,,-13620.0,15570.0,220.9
,,-13792.0,15742.0,219.4
,,-13936.0,15886.0,214.0
,,-14123.0,16073.0,207.5
,,-14310.0,16260.0,207.7
,,-14502.0,16452.0,202.9
,,-14709.0,16659.0,200.8
,,-14920.0,16870.0,195.2
,,-15161.0,17111.0,193.9
,,-15425.0,17375.0,191.0
,,-15615.0,17565.0,188.5
,,-15859.0,17809.0,188.5
,,-15993.0,17943.0,189.2
,,-16335.0,18285.0,187.0
,,-16591.0,18541.0,188.6
,,-16878.0,18828.0,189.4
,,-16918.0,18868.0,192.3
,,-16971.0,18921.0,188.3
,,-17397.0,19347.0,188.7
,,-17559.0,19509.0,188.8
,,-17798.0,19748.0,190.0
,,-18038.0,19988.0,188.0
,,-18218.0,20168.0,188.2
,,-18247.0,20197.0,195.0
,,-18552.0,20502.0,187.8
,,-18798.0,20748.0,186.9
,,-19061.0,21011.0,186.5
,,-19307.0,21257.0,184.7
,,-19557.0,21507.0,186.1
,,-19904.0,21854.0,185.7
,,-20065.0,22015.0,184.4
,,-20877.0,22827.0,189.2
,,-24044.0,25994.0,191.6
,,-27113.0,29063.0,188.5
,,-28070.0,30020.0,191.7
,,-33059.0,35009.0,205.3
,,-35521.0,37471.0,209.1
,,-41550.0,43500.0,209.1
,,-45386.0,47336.0,189.3
,,-46904.0,48854.0,188.4
,,-47740.0,49690.0,210.1
,,-48713.0,50663.0,215.7
,,-50432.0,52382.0,190.4
,,-55138.0,57088.0,221.7
,,-55707.0,57657.0,210.4
,,-60909.0,62859.0,195.3
,,-62989.0,64939.0,191.4
,,-63989.0,65939.0,194.9
,,-69099.0,71049.0,227.3
,,-71277.0,73227.0,229.1
,,-75200.0,77150.0,217.1
,,-76233.0,78183.0,221.7
,,-78664.0,80614.0,230.9
,,-80467.0,82417.0,241.1
,,-81383.0,83333.0,236.4
,,-82066.0,84016.0,228.0
,,-83070.0,85020.0,214.2
,,-84231.0,86181.0,217.0
,,-85967.0,87917.0,208.0
,,-88407.0,90357.0,224.2
,,-89299.0,91249.0,228.3
,,-92403.0,94353.0,232.0
,,-97899.0,99849.0,225.8
,,-98887.0,100837.0,230.8
,,-99799.0,101749.0,236.9
,,-101515.0,103465.0,228.1
,,-102754.0,104704.0,236.9
,,-103686.0,105636.0,230.6
,,-105629.0,107579.0,238.2
,,-106203.0,108153.0,245.6
,,-107854.0,109804.0,251.2
,,-109912.0,111862.0,256.7
,,-111312.0,113262.0,266.3
,,-112146.0,114096.0,261.4
,,-112651.0,114601.0,274.5
,,-113168.0,115118.0,273.2
,,-114551.0,116501.0,262.5
,,-115800.0,117750.0,267.6
,,-116699.0,118649.0,273.7
,,-117722.0,119672.0,271.9
,,-118432.0,120382.0,265.2
,,-119067.0,121017.0,277.6
,,-120394.0,122344.0,272.1
,,-121120.0,123070.0,276.4
,,-122263.0,124213.0,268.7
,,-122307.0,124257.0,266.6
,,-122839.0,124789.0,266.3
,,-123131.0,125081.0,279.7
,,-123312.0,125262.0,273.0
,,-123484.0,125434.0,277.1
,,-124397.0,126347.0,273.7
,,-124648.0,126598.0,267.1
,,-124936.0,126886.0,262.5
,,-125182.0,127132.0,262.6
,,-125672.0,127622.0,275.3
,,-125957.0,127907.0,275.6
,,-126394.0,128344.0,274.0
,,-126422.0,128372.0,287.1
,,-126659.0,128609.0,286.8
,,-126916.0,128866.0,282.6
,,-127196.0,129146.0,264.1
,,-127390.0,129340.0,263.4
,,-127702.0,129652.0,257.9
,,-127786.0,129736.0,259.0
,,-129379.0,131329.0,245.0
,,-129505.0,131455.0,240.4
,,-129778.0,131728.0,228.9
,,-130542.0,132492.0,223.5
,,-131119.0,133069.0,223.9
,,-131155.0,133105.0,220.3
,,-131477.0,133427.0,210.6
,,-132173.0,134123.0,208.9
,,-132337.0,134287.0,203.7
,,-133010.0,134960.0,204.5
,,-133164.0,135114.0,200.4
,,-133257.0,135207.0,198.0
,,-133653.0,135603.0,198.0
,,-133933.0,135883.0,201.7
,,-134061.0,136011.0,200.7
,,-134301.0,136251.0,202.4
,,-134617.0,136567.0,195.8
,,-134705.0,136655.0,201.1
,,-135343.0,137293.0,194.3
,,-135683.0,137633.0,193.4
,,-136032.0,137982.0,194.2
,,-136235.0,138185.0,190.2
,,-137325.0,139275.0,192.3
,,-137667.0,139617.0,196.5
,,-138949.0,140899.0,195.6
,,-139010.0,140960.0,196.4
,,-140108.0,142058.0,190.4
,,-143413.0,145363.0,196.9
,,-146881.0,148831.0,203.0
,,-147853.0,149803.0,191.9
,,-147971.0,149921.0,188.9
,,-149473.0,151423.0,200.6
,,-152530.0,154480.0,189.0
,,-153445.0,155395.0,185.5
,,-153863.0,155813.0,187.5
,,-157612.0,159562.0,204.3
,,-157993.0,159943.0,196.5
,,-159729.0,161679.0,191.6
,,-160278.0,162228.0,190.1
,,-161074.0,163024.0,186.7
,,-161748.0,163698.0,183.8
,,-162489.0,164439.0,196.6
,,-165233.0,167183.0,197.8
,,-167542.0,169492.0,197.7
,,-169401.0,171351.0,196.0
,,-170484.0,172434.0,190.3
,,-171185.0,173135.0,189.4
,,-171444.0,173394.0,190.1
,,-173356.0,175306.0,207.7
,,-175189.0,177139.0,213.2
,,-176229.0,178179.0,217.7
,,-177167.0,179117.0,198.1
,,-178118.0,180068.0,199.7
,,-180096.0,182046.0,203.4
,,-182735.0,184685.0,210.7
,,-184747.0,186697.0,231.3
,,-186486.0,188436.0,231.4
,,-187126.0,189076.0,220.3
,,-188402.0,190352.0,218.0
,,-190960.0,192910.0,226.5
,,-191531.0,193481.0,220.0
,,-193067.0,195017.0,226.4
,,-193723.0,195673.0,241.2
,,-194229.0,196179.0,242.6
,,-197022.0,198972.0,250.9
,,-197968.0,199918.0,239.1
,,-199213.0,201163.0,247.6
,,-200463.0,202413.0,244.4
,,-200924.0,202874.0,231.9
,,-201367.0,203317.0,232.2
,,-201887.0,203837.0,228.6
,,-202530.0,204480.0,226.3
,,-202958.0,204908.0,229.4
,,-203412.0,205362.0,231.4
,,-204002.0,205952.0,238.1
,,-204194.0,206144.0,237.2
,,-204860.0,206810.0,230.0
,,-205170.0,207120.0,240.5
,,-205594.0,207544.0,242.2
,,-206114.0,208064.0,244.6
,,-206304.0,208254.0,243.9
,,-206853.0,208803.0,247.2
,,-207045.0,208995.0,252.0
,,-207482.0,209432.0,246.9
,,-207867.0,209817.0,239.5
,,-208204.0,210154.0,257.4
,,-208863.0,210813.0,243.4
,,-209908.0,211858.0,251.2
,,-210766.0,212716.0,241.4
,,-211320.0,213270.0,240.3
,,-211586.0,213536.0,242.6
,,-212034.0,213984.0,247.5
,,-212509.0,214459.0,251.7
,,-212844.0,214794.0,251.1
,,-213432.0,215382.0,245.3
,,-214402.0,216352.0,240.5
,,-216411.0,218361.0,214.1
,,-217166.0,219116.0,216.1
,,-218108.0,220058.0,207.1
,,-218789.0,220739.0,208.8
,,-220080.0,222030.0,205.6
,,-222319.0,224269.0,203.3
,,-222973.0,224923.0,215.7
,,-223959.0,225909.0,235.5
,,-224761.0,226711.0,234.5
,,-225077.0,227027.0,233.1
,,-225826.0,227776.0,224.5
,,-227473.0,229423.0,232.4
,,-228472.0,230422.0,233.9
,,-229116.0,231066.0,241.6
,,-232867.0,234817.0,245.2
,,-233530.0,235480.0,252.1
,,-234164.0,236114.0,241.4
,,-234784.0,236734.0,247.4
,,-235344.0,237294.0,243.1
,,-235918.0,237868.0,239.1
,,-236608.0,238558.0,245.6
,,-237063.0,239013.0,245.8
,,-237527.0,239477.0,247.4
,,-238023.0,239973.0,252.8
,,-238995.0,240945.0,259.7
,,-239416.0,241366.0,263.2
,,-240057.0,242007.0,279.0
,,-240396.0,242346.0,280.2
,,-241121.0,243071.0,263.7
,,-241479.0,243429.0,252.3
,,-241906.0,243856.0,249.9
,,-242397.0,244347.0,236.7
,,-242914.0,244864.0,230.4
,,-243491.0,245441.0,219.4
,,-245731.0,247681.0,214.7
,,-248183.0,250133.0,200.2
,,-249055.0,251005.0,213.9
,,-249914.0,251864.0,195.4
,,-250789.0,252739.0,196.7
,,-251686.0,253636.0,195.4
,,-253548.0,255498.0,199.0
,,-254359.0,256309.0,201.9
,,-255150.0,257100.0,204.0
,,-256711.0,258661.0,203.9
,,-258403.0,260353.0,209.6
,,-258966.0,260916.0,205.7
,,-260142.0,262092.0,208.9
,,-260980.0,262930.0,214.6
,,-262559.0,264509.0,228.1
,,-263703.0,265653.0,199.9
,,-264376.0,266326.0,211.7
,,-265492.0,267442.0,188.7
,,-266231.0,268181.0,187.2
,,-267204.0,269154.0,194.2
,,-268272.0,270222.0,198.8
,,-269306.0,271256.0,184.7
,,-270361.0,272311.0,190.4
,,-271360.0,273310.0,193.9
,,-272371.0,274321.0,194.1
,,-273400.0,275350.0,198.4
,,-274376.0,276326.0,193.2
,,-275411.0,277361.0,202.2
,,-276400.0,278350.0,204.5
,,-277370.0,279320.0,211.0
,,-278319.0,280269.0,215.3
,,-279808.0,281758.0,223.7
,,-281835.0,283785.0,231.3
,,-283430.0,285380.0,228.0
,,-284178.0,286128.0,226.4
,,-285086.0,287036.0,231.4
,,-285588.0,287538.0,230.4
,,-286283.0,288233.0,231.0
,,-288203.0,290153.0,234.9
,,-288780.0,290730.0,220.4
,,-289417.0,291367.0,217.1
,,-290455.0,292405.0,207.6
,,-291107.0,293057.0,206.0
,,-291829.0,293779.0,206.7
,,-292618.0,294568.0,212.7
,,-293980.0,295930.0,213.1
,,-295971.0,297921.0,217.1
,,-296791.0,298741.0,224.4
,,-297671.0,299621.0,231.0
,,-298522.0,300472.0,236.1
,,-299452.0,301402.0,239.0
,,-300330.0,302280.0,236.0
,,-301276.0,303226.0,240.2
,,-302282.0,304232.0,240.7
,,-302951.0,304901.0,250.2
,,-303705.0,305655.0,248.6
,,-304597.0,306547.0,244.8
,,-305545.0,307495.0,225.8
,,-306794.0,308744.0,227.8
,,-307439.0,309389.0,226.2
,,-308218.0,310168.0,233.2
,,-309063.0,311013.0,237.8
,,-309918.0,311868.0,239.0
,,-310726.0,312676.0,241.9
,,-311464.0,313414.0,251.6
,,-312194.0,314144.0,256.7
,,-312917.0,314867.0,257.1
,,-313622.0,315572.0,246.8
,,-314250.0,316200.0,272.6
,,-314947.0,316897.0,251.6
,,-315784.0,317734.0,245.2
,,-316609.0,318559.0,233.4
,,-317530.0,319480.0,255.8
,,-318408.0,320358.0,249.2
,,-320065.0,322015.0,257.2
,,-320817.0,322767.0,260.4
,,-321576.0,323526.0,260.3
,,-322330.0,324280.0,260.5
,,-323021.0,324971.0,266.2
,,-323770.0,325720.0,264.0
,,-324371.0,326321.0,266.1
,,-325022.0,326972.0,270.1
,,-325640.0,327590.0,271.9
,,-326271.0,328221.0,275.1
,,-327525.0,329475.0,265.0
,,-328258.0,330208.0,271.7
,,-328790.0,330740.0,272.6
,,-329488.0,331438.0,273.1
,,-329994.0,331944.0,282.4
,,-330335.0,332285.0,289.1
,,-330512.0,332462.0,288.4
,,-330969.0,332919.0,298.6
,,-331430.0,333380.0,278.1
,,-331940.0,333890.0,285.8
,,-332311.0,334261.0,278.6
,,-332798.0,334748.0,270.5
,,-333337.0,335287.0,255.7
,,-333968.0,335918.0,241.9
,,-334775.0,336725.0,239.6
,,-335441.0,337391.0,234.2
,,-337348.0,339298.0,250.1
,,-338506.0,340456.0,200.7
,,-339852.0,341802.0,205.2
,,-341332.0,343282.0,204.8
,,-342496.0,344446.0,211.9
,,-344030.0,345980.0,220.3
,,-346348.0,348298.0,221.1
,,-347738.0,349688.0,216.2
,,-348975.0,350925.0,209.4
,,-350325.0,352275.0,209.2
,,-353352.0,355302.0,193.0
,,-354948.0,356898.0,186.1
,,-356762.0,358712.0,185.8
,,-359007.0,360957.0,201.2
,,-361435.0,363385.0,206.3
,,-364285.0,366235.0,201.9
,,-365906.0,367856.0,199.9
,,-367496.0,369446.0,214.7
,,-369140.0,371090.0,224.6
,,-370696.0,372646.0,229.6
,,-374618.0,376568.0,227.0
,,-376146.0,378096.0,240.0
,,-377746.0,379696.0,239.1
,,-379182.0,381132.0,246.8
,,-380720.0,382670.0,245.8
,,-382584.0,384534.0,258.1
,,-383448.0,385398.0,264.6
,,-384194.0,386144.0,259.2
,,-386112.0,388062.0,255.2
,,-387996.0,389946.0,250.1
,,-389946.0,391896.0,266.3
,,-390594.0,392544.0,259.5
,,-391629.0,393579.0,273.6
,,-392610.0,394560.0,260.7
,,-396136.0,398086.0,276.3
,,-397772.0,399722.0,277.1
,,-398554.0,400504.0,283.2
,,-400050.0,402000.0,283.1
,,-400781.0,402731.0,275.7
,,-402231.0,404181.0,276.5
,,-402977.0,404927.0,280.5
,,-404418.0,406368.0,279.6
,,-405143.0,407093.0,285.6
,,-406650.0,408600.0,284.5
,,-407433.0,409383.0,275.2
,,-407433.0,409383.0,274.2
,,-408256.0,410206.0,282.6
,,-409121.0,411071.0,283.5
,,-411012.0,412962.0,274.9
,,-411998.0,413948.0,264.9
,,-413013.0,414963.0,271.6
,,-413767.0,415717.0,276.4
,,-414243.0,416193.0,271.7
,,-415241.0,417191.0,273.4
,,-415748.0,417698.0,271.8
,,-416295.0,418245.0,274.6
,,-417310.0,419260.0,273.7
,,-417858.0,419808.0,271.2
,,-418400.0,420350.0,273.8
,,-419534.0,421484.0,268.6
,,-420124.0,422074.0,266.4
,,-420699.0,422649.0,270.6
,,-421814.0,423764.0,267.7
,,-422382.0,424332.0,268.3
,,-422890.0,424840.0,270.8
,,-423292.0,425242.0,270.0
,,-423619.0,425569.0,265.4
,,-424025.0,425975.0,255.3
,,-424648.0,426598.0,252.1
,,-425335.0,427285.0,248.2
,,-425616.0,427566.0,242.5
,,-427056.0,429006.0,219.7
,,-427926.0,429876.0,227.2
,,-429113.0,431063.0,211.5
,,-429495.0,431445.0,207.6
,,-430649.0,432599.0,209.8
,,-431724.0,433674.0,207.5
,,-432854.0,434804.0,200.3
,,-434039.0,435989.0,201.7
,,-435202.0,437152.0,201.3
,,-436406.0,438356.0,202.0
,,-437615.0,439565.0,199.1
,,-439270.0,441220.0,201.1
,,-440461.0,442411.0,203.5
,,-441612.0,443562.0,208.1
,,-442700.0,444650.0,201.7
,,-443879.0,445829.0,201.2
,,-445034.0,446984.0,204.9
,,-446153.0,448103.0,201.9
,,-447294.0,449244.0,198.4
,,-448505.0,450455.0,193.3
,,-449643.0,451593.0,192.5
,,-450333.0,452283.0,199.1
,,-450845.0,452795.0,204.3
,,-451564.0,453514.0,203.3
,,-452073.0,454023.0,208.3
,,-453329.0,455279.0,202.4
,,-454641.0,456591.0,195.5
,,-456099.0,458049.0,190.7
,,-457480.0,459430.0,194.4
,,-458842.0,460792.0,199.9
,,-459737.0,461687.0,205.2
,,-460183.0,462133.0,210.0
,,-461506.0,463456.0,208.1
,,-462916.0,464866.0,204.4
,,-464315.0,466265.0,203.4
,,-465652.0,467602.0,205.5
,,-466373.0,468323.0,206.5
,,-466860.0,468810.0,215.5
,,-467520.0,469470.0,218.7
,,-467991.0,469941.0,229.2
,,-468647.0,470597.0,232.7
,,-469096.0,471046.0,243.7
,,-469813.0,471763.0,243.9
,,-470145.0,472095.0,245.6
,,-471152.0,473102.0,241.2
,,-472212.0,474162.0,233.1
,,-473268.0,475218.0,232.8
,,-474290.0,476240.0,236.6
,,-475212.0,477162.0,239.1
,,-475769.0,477719.0,236.5
,,-476174.0,478124.0,231.3
,,-476771.0,478721.0,220.8
,,-477194.0,479144.0,218.8
,,-478158.0,480108.0,223.8
,,-479085.0,481035.0,223.4
,,-479982.0,481932.0,227.3
,,-480853.0,482803.0,231.4
,,-481699.0,483649.0,231.4
,,-482515.0,484465.0,231.2
,,-483326.0,485276.0,233.0
,,-484093.0,486043.0,232.9
,,-484866.0,486816.0,231.3
,,-485591.0,487541.0,237.1
,,-486318.0,488268.0,242.0
,,-486739.0,488689.0,240.9
,,-487046.0,488996.0,252.8
,,-487525.0,489475.0,249.3
,,-487772.0,489722.0,242.6
,,-488495.0,490445.0,243.3
,,-489241.0,491191.0,246.7
,,-490009.0,491959.0,243.7
,,-490788.0,492738.0,239.7
,,-491557.0,493507.0,239.1
,,-492361.0,494311.0,238.3
,,-493135.0,495085.0,238.5
,,-493903.0,495853.0,237.6
,,-494658.0,496608.0,236.4
,,-495416.0,497366.0,236.5
,,-496154.0,498104.0,232.8
,,-496915.0,498865.0,230.6
,,-497660.0,499610.0,230.8
,,-498413.0,500363.0,228.2
,,-499180.0,501130.0,230.8
,,-499916.0,501866.0,231.2
,,-500675.0,502625.0,232.0
,,-501425.0,503375.0,232.2
,,-502133.0,504083.0,234.1
,,-502827.0,504777.0,233.9
,,-503566.0,505516.0,235.5
,,-504337.0,506287.0,236.0
,,-505061.0,507011.0,238.2
,,-505764.0,507714.0,237.0
,,-506526.0,508476.0,240.3
,,-507297.0,509247.0,233.4
,,-508058.0,510008.0,236.4
,,-508815.0,510765.0,235.2
,,-509565.0,511515.0,242.0
,,-510319.0,512269.0,238.2
,,-511047.0,512997.0,239.2
,,-511774.0,513724.0,241.5
,,-512479.0,514429.0,243.0
,,-513163.0,515113.0,247.2
,,-513821.0,515771.0,246.2
,,-514467.0,516417.0,245.5
,,-515119.0,517069.0,245.3
,,-515756.0,517706.0,247.7
,,-516384.0,518334.0,245.5
,,-517015.0,518965.0,243.5
,,-518942.0,520892.0,241.9
,,-519602.0,521552.0,236.8
,,-520266.0,522216.0,235.8
,,-520973.0,522923.0,233.7
,,-521716.0,523666.0,230.3
,,-522459.0,524409.0,227.8
,,-523214.0,525164.0,224.7
,,-523958.0,525908.0,222.7
,,-524711.0,526661.0,221.2
,,-525504.0,527454.0,220.3
,,-526312.0,528262.0,220.7
,,-526797.0,528747.0,214.5
,,-527151.0,529101.0,211.4
,,-527690.0,529640.0,204.4
,,-528066.0,530016.0,200.0
,,-528735.0,530685.0,195.1
,,-529085.0,531035.0,193.8
,,-529712.0,531662.0,190.5
,,-530169.0,532119.0,199.8
,,-531296.0,533246.0,199.4
,,-532414.0,534364.0,205.0
,,-533533.0,535483.0,206.4
,,-534672.0,536622.0,212.9
,,-535820.0,537770.0,211.2
,,-537009.0,538959.0,205.0
,,-538204.0,540154.0,203.6
,,-539395.0,541345.0,208.1
,,-540552.0,542502.0,210.3
,,-541726.0,543676.0,209.6
,,-542854.0,544804.0,209.7
,,-544006.0,545956.0,204.6
,,-545063.0,547013.0,202.5
,,-545623.0,547573.0,208.8
,,-546022.0,547972.0,213.6
,,-546983.0,548933.0,215.2
,,-547880.0,549830.0,219.9
,,-548687.0,550637.0,221.7
,,-549174.0,551124.0,222.3
,,-549502.0,551452.0,226.3
,,-550029.0,551979.0,222.1
,,-550300.0,552250.0,220.3
,,-551011.0,552961.0,223.6
,,-551676.0,553626.0,224.3
,,-552304.0,554254.0,226.7
,,-552881.0,554831.0,233.9
,,-553395.0,555345.0,241.0
,,-553687.0,555637.0,243.0
,,-553889.0,555839.0,249.1
,,-554193.0,556143.0,244.0
,,-554414.0,556364.0,250.5
,,-554774.0,556724.0,245.6
,,-554939.0,556889.0,240.4
,,-555435.0,557385.0,238.1
,,-555937.0,557887.0,234.5
,,-556233.0,558183.0,229.7
,,-556443.0,558393.0,230.2
,,-556979.0,558929.0,230.3
,,-557511.0,559461.0,228.3
,,-558022.0,559972.0,231.6
,,-558509.0,560459.0,231.9
,,-558980.0,560930.0,234.6
,,-559359.0,561309.0,234.1
,,-559896.0,561846.0,240.1
,,-560322.0,562272.0,242.3
,,-560740.0,562690.0,245.7
,,-561165.0,563115.0,245.8
,,-561567.0,563517.0,247.6
,,-561968.0,563918.0,251.4
,,-562361.0,564311.0,252.4
,,-562749.0,564699.0,252.6
,,-563127.0,565077.0,251.4
,,-563516.0,565466.0,253.7
,,-563901.0,565851.0,254.3
,,-564283.0,566233.0,253.9
,,-564669.0,566619.0,254.5
,,-565057.0,567007.0,253.2
,,-565431.0,567381.0,253.9
,,-565827.0,567777.0,252.8
,,-566217.0,568167.0,253.0
,,-566606.0,568556.0,250.2
,,-566996.0,568946.0,251.3
,,-567381.0,569331.0,250.0
,,-567778.0,569728.0,251.3
,,-568189.0,570139.0,251.8
,,-568598.0,570548.0,251.8
,,-569005.0,570955.0,249.6
,,-569417.0,571367.0,251.6
,,-569825.0,571775.0,250.3
,,-570240.0,572190.0,246.3
,,-570669.0,572619.0,247.7
,,-571087.0,573037.0,249.2
,,-571512.0,573462.0,248.7
,,-571952.0,573902.0,251.8
,,-572403.0,574353.0,251.9
,,-572853.0,574803.0,252.1
,,-573315.0,575265.0,248.9
,,-573780.0,575730.0,252.5
,,-574272.0,576222.0,252.9
,,-574773.0,576723.0,251.3
,,-575292.0,577242.0,251.3
,,-575819.0,577769.0,251.1
,,-576355.0,578305.0,249.1
,,-576907.0,578857.0,252.9
,,-577485.0,579435.0,251.5
,,-577871.0,579821.0,244.1
,,-578069.0,580019.0,243.8
,,-578450.0,580400.0,236.2
,,-578745.0,580695.0,230.3
,,-579210.0,581160.0,225.2
,,-579557.0,581507.0,219.4
,,-580050.0,582000.0,215.4
,,-580441.0,582391.0,209.9
,,-581084.0,583034.0,206.7
,,-581463.0,583413.0,210.6
,,-584456.0,586406.0,224.0
,,-584943.0,586893.0,226.0
,,-585697.0,587647.0,234.4
,,-586084.0,588034.0,238.8
,,-586766.0,588716.0,246.3
,,-587274.0,589224.0,250.2
,,-587918.0,589868.0,248.1
,,-588385.0,590335.0,243.6
,,-588943.0,590893.0,237.4
,,-590329.0,592279.0,225.7
,,-590747.0,592697.0,229.4
,,-591465.0,593415.0,233.2
,,-591920.0,593870.0,238.1
,,-592689.0,594639.0,238.0
,,-593239.0,595189.0,232.9
,,-594000.0,595950.0,221.2
,,-594565.0,596515.0,216.4
,,-595493.0,597443.0,216.3
,,-596016.0,597966.0,219.0
,,-596883.0,598833.0,226.0
,,-597484.0,599434.0,229.4
,,-598932.0,600882.0,232.5
,,-600328.0,602278.0,237.9
,,-601723.0,603673.0,239.1
,,-603126.0,605076.0,244.5
,,-604424.0,606374.0,248.5
,,-605758.0,607708.0,254.6
,,-606979.0,608929.0,259.2
,,-608186.0,610136.0,257.7
,,-609369.0,611319.0,259.6
,,-610564.0,612514.0,258.0
,,-611759.0,613709.0,256.0
,,-612973.0,614923.0,252.5
,,-614277.0,616227.0,252.4
,,-615594.0,617544.0,252.3
,,-617005.0,618955.0,247.9
,,-618388.0,620338.0,245.4
,,-619810.0,621760.0,243.0
,,-621264.0,623214.0,238.6
,,-622740.0,624690.0,237.3
,,-623620.0,625570.0,234.3
,,-624265.0,626215.0,227.8
,,-625261.0,627211.0,214.9
,,-626049.0,627999.0,205.0
,,-627496.0,629446.0,198.7
,,-628345.0,630295.0,199.9
,,-630051.0,632001.0,199.5
,,-630906.0,632856.0,195.6
,,-632642.0,634592.0,192.1
,,-633539.0,635489.0,193.9
,,-635007.0,636957.0,193.0
,,-636177.0,638127.0,194.3
,,-637898.0,639848.0,187.7
,,-638810.0,640760.0,189.1
,,-640455.0,642405.0,190.2
,,-641254.0,643204.0,190.4
,,-642712.0,644662.0,194.1
,,-643520.0,645470.0,194.6
,,-644773.0,646723.0,188.6
,,-645638.0,647588.0,190.5
,,-646996.0,648946.0,192.1
,,-647648.0,649598.0,194.8
,,-648941.0,650891.0,187.8
,,-649606.0,651556.0,192.0
,,-650852.0,652802.0,185.8
,,-651498.0,653448.0,185.3
,,-652523.0,654473.0,191.3
,,-653252.0,655202.0,193.2
,,-654336.0,656286.0,198.4
,,-654932.0,656882.0,198.7
,,-655973.0,657923.0,191.3
,,-656524.0,658474.0,189.2
,,-657574.0,659524.0,182.4
,,-658134.0,660084.0,183.9
