bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,Bag,Age,Deuterium,anom c,year,temp c
,1977.25,,,,,,3596,177165.03,-425.5,-6.33,,
,1977.8,,,,,,3597,177268.14,-428.6,-6.84,,
,1978.35,,,,,,3598,177375.16,-428.09,-6.76,,
,1978.9,,,,,,3599,177478.13,-427.2,-6.61,,
,1979.45,,,,,,3600,177584.24,-435.2,-7.93,,
,1980,,,,,,3601,177700.73,-422.5,-5.84,,
,1980.55,,,,,,3602,177801.12,-421.7,-5.71,,
,1981.1,,,,,,3603,177898.52,-419.8,-5.40,,
,1981.65,,,,,,3604,177993.81,-423.37,-5.99,,
,1982.2,,,,,,3605,178095.48,-422.5,-5.85,,
,1982.75,,,,,,3606,178194.86,-425.4,-6.32,,
,1983.3,,,,,,3607,178298.39,-426.7,-6.54,,
,1983.85,,,,,,3608,178404.20,-427.6,-6.69,,
,1984.4,,,,,,3609,178510.56,-423,-5.93,,
,1984.95,,,,,,3610,178612.71,-429.5,-7.00,,
,1985.5,,,,,,3611,178722.15,-429,-6.92,,
,1986.05,,,,,,3612,178832.31,-429.8,-7.05,,
,1986.6,,,,,,3613,178943.87,-432.3,-7.46,,
,1987.15,,,,,,3614,179060.36,-435.8,-8.03,,
,1987.7,,,,,,3615,179182.42,-439.73,-8.68,,
,1988.25,,,,,,3616,179307.78,-436.6,-8.16,,
,1988.8,,,,,,3617,179432.47,-440.7,-8.83,,
,1989.35,,,,,,3618,179562.13,-439.2,-8.58,,
,1989.9,,,,,,3619,179694.34,-436.9,-8.20,,
,1990.45,,,,,,3620,179818.61,-430.4,-7.13,,
,1991,,,,,,3621,179933.56,-441.47,-8.95,,
,1991.55,,,,,,3622,180062.66,-438.1,-8.39,,
,1992.1,,,,,,3623,180190.69,-432.5,-7.47,,
,1992.65,,,,,,3624,180309.00,-437.3,-8.26,,
,1993.2,,,,,,3625,180434.81,-439.4,-8.60,,
,1993.75,,,,,,3626,180565.71,-439.9,-8.68,,
,1994.3,,,,,,3627,180697.67,-441.94,-9.02,,
