year reset,temp cffill mod,anom c mod,co2 mean,ch4 mean,irtemp mean,irrain mean
37665.0,-57.24999999999997,-1.71,,,,
37691.0,,,246.9,,,
37730.0,,,,653.0,,
37812.0,-57.64999999999998,,,,,
37999.0,-57.64999999999998,,,,,
38310.0,-57.64999999999998,-1.7,,,,
38410.0,,,,618.0,,
38421.0,-57.849999999999966,,,,,
38575.0,,,252.1,,,
38639.46999999997,,,255.02,,,
38982.0,-57.849999999999966,-2.04,,,,
38987.0,,,,639.0,,
38999.0,-57.849999999999966,,,,,
39029.0,-57.64999999999998,,,,,
39109.55000000005,,,257.44,,,
39628.0,-57.54999999999998,,,,,
39658.0,-57.54999999999998,-1.84,,,,
39779.0,,,246.2,,,
39881.0,,,,623.0,,
39951.31999999995,,,251.51,,,
39999.0,-57.54999999999998,,,,,
40205.0,,,,633.0,,
40226.0,-57.64999999999998,,,,,
40275.17000000004,,,257.21,,,
40303.0,,,248.7,,,
40319.0,-57.64999999999998,-2.28,,,,
40825.0,-57.74999999999997,,,,,
40975.0,-57.74999999999997,-2.37,,,,
40999.0,-57.74999999999997,,,,,
41093.0,,,,630.0,,
41118.560000000056,,,252.52,,,
41226.0,,,242.8,,,
41441.0,-58.14999999999998,,,,,
41570.0,,,248.5,,,
41629.0,-58.14999999999998,-2.17,,,,
41649.07999999996,,,254.43,,,
41743.0,,,,616.0,,
41999.0,-58.14999999999998,,,,,
42056.0,-58.14999999999998,,,,,
42289.0,-58.14999999999998,-2.13,,,,
42470.44999999995,,,254.69,,,
42474.0,,,243.9,,,
42555.0,,,,598.0,,
42672.0,-58.14999999999998,,,,,
42780.02000000002,,,254.93,,,
42965.0,-58.14999999999998,-2.17,,,,
42999.0,-58.14999999999998,,,,,
43040.0,,,245.8,,,
43078.0,,,,614.0,,
43321.0,-58.349999999999966,,,,,
43605.20999999996,,,252.46,,,
43637.0,-58.349999999999966,-2.34,,,,
43806.0,,,,681.0,,
43938.0,,,246.1,,,
43970.0,-58.94999999999999,,,,,
43999.0,-58.94999999999999,,,,,
44156.25,,,247.3,,,
44282.0,,,246.3,,,
44302.0,-58.94999999999999,-2.67,,,,
44428.0,,,,658.0,,
44619.0,-59.24999999999997,,,,,
44977.0,-59.24999999999997,-2.7,,,,
44999.0,-59.24999999999997,,,,,
45055.30000000005,,,248.92,,,
45202.0,,,243.9,,,
45283.0,,,,601.0,,
45319.0,-59.74999999999997,,,,,
45505.73999999999,,,245.32,,,
45679.0,-59.74999999999997,-2.69,,,,
45801.0,,,238.8,,,
45844.0,,,,618.0,,
45999.0,-59.74999999999997,,,,,
46019.0,-59.94999999999999,,,,,
46299.98999999999,,,241.74,,,
46396.0,-59.94999999999999,-2.96,,,,
46592.0,,,,577.0,,
46719.0,-59.64999999999998,,,,,
46787.0,,,240.5,,,
46879.18999999994,,,238.39,,,
46999.0,-59.64999999999998,,,,,
47135.0,-59.64999999999998,-3.47,,,,
47290.0,,,236.9,,,
47313.0,,,,583.0,,
47373.0,-59.349999999999966,,,,,
47793.85999999999,,,239.23,,,
47881.0,-59.349999999999966,-3.82,,,,
47999.0,-59.349999999999966,,,,,
48028.0,-58.849999999999966,,,,,
48153.53000000003,,,237.78,,,
48158.0,,,233.3,,,
48206.0,,,,549.0,,
48588.18000000005,,,246.03,,,
48599.0,-58.849999999999966,-4.13,,,,
48682.0,-59.14999999999998,,,,,
48795.0,,,230.0,,,
48839.0,,,,566.0,,
48842.35999999999,,,243.85,,,
48999.0,-59.14999999999998,,,,,
49100.04000000004,,,246.49,,,
49285.0,-59.14999999999998,-4.52,,,,
49363.43999999994,,,243.89,,,
49439.0,-59.849999999999966,,,,,
49639.0,,,,530.0,,
49662.73999999999,,,239.71,,,
49762.0,,,230.9,,,
49824.0,,,,539.0,,
49931.0,-59.849999999999966,-4.32,,,,
49999.0,-59.849999999999966,,,,,
50009.0,,,,543.0,,
50025.32999999996,,,234.24,,,
50130.0,,,229.5,,,
50197.0,-60.54999999999998,,,,,
50297.0,,,,556.0,,
50318.67000000004,,,236.32,,,
50578.0,,,237.7,,,
50589.0,-60.54999999999998,-3.93,,,,
50633.0,,,,639.0,,
50817.32999999996,,,229.56,,,
50844.0,,,235.6,,,
50907.0,,,,647.0,,
50954.0,-61.14999999999998,,,,,
50999.0,-61.14999999999998,,,,,
51114.0,,,238.2,,,
51236.0,,,,632.0,,
51238.84999999998,,,230.63,,,
51279.0,-61.14999999999998,-3.8,,,,
51391.0,,,235.6,,,
51544.0,,,,630.0,,
51705.0,,,231.5,,,
51732.0,-61.54999999999998,,,,,
51758.0,,,,622.0,,
51999.0,-61.54999999999998,,,,,
52007.0,-61.54999999999998,-3.84,,,,
52051.0,,,226.0,,,
52111.0,,,,616.0,,
52186.57999999996,,,225.87,,,
52258.0,,,,587.0,,
52324.0,,,228.1,,,
52509.0,-61.24999999999997,,,,,
52538.0,,,,570.0,,
52766.0,-61.24999999999997,-4.54,,,,
52776.62,,,221.64,,,
52788.0,,,221.4,,,
52999.0,-61.24999999999997,,,,,
53147.0,,,,568.0,,
53183.0,,,222.4,,,
53287.0,-60.44999999999999,,,,,
53539.0,-60.44999999999999,-5.33,,,,
53720.73999999999,,,223.82,,,
53957.0,-60.04999999999998,,,,,
53999.0,-60.04999999999998,,,,,
54090.83999999997,,,224.86,,,
54101.0,,,217.7,,,
54217.0,,,,486.0,,
54280.0,-60.04999999999998,-6.0,,,,
54627.0,-59.64999999999998,,,,,
54742.0,,,213.5,,,
54767.0,,,,519.0,,
54958.0,-59.64999999999998,-6.4,,,,
54999.0,-59.64999999999998,,,,,
55029.08999999997,,,230.62,,,
55297.0,-59.849999999999966,,,,,
55592.0,,,,467.0,,
55600.0,-59.849999999999966,-6.22,,,,
55649.5,,,232.12,,,
55728.0,,,215.7,,,
55952.0,,,,462.0,,
55986.52000000002,,,229.41,,,
55999.0,-59.849999999999966,,,,,
56018.0,-60.14999999999998,,,,,
56103.0,,,216.8,,,
56210.0,-60.14999999999998,-5.56,,,,
56251.35999999999,,,233.66,,,
56333.0,,,,470.0,,
56616.0,,,,500.0,,
56656.18000000005,,,222.93,,,
56738.0,-60.74999999999997,,,,,
56754.0,,,,535.0,,
56822.0,-60.74999999999997,-5.1,,,,
56999.0,-60.74999999999997,,,,,
57005.0,,,222.6,,,
57090.0,,,,518.0,,
57161.12,,,223.89,,,
57253.0,,,,563.0,,
57439.0,-60.74999999999997,-4.76,,,,
57459.0,-61.54999999999998,,,,,
57589.0,,,224.1,,,
57695.0,,,,549.0,,
57904.0,,,221.4,,,
57999.0,-61.54999999999998,,,,,
58020.0,,,,556.0,,
58067.42000000004,,,219.95,,,
58077.0,-61.54999999999998,-4.72,,,,
58152.0,,,225.7,,,
58253.0,-61.94999999999999,,,,,
58375.0,,,,538.0,,
58519.0,,,215.0,,,
58736.19999999995,,,214.0,,,
58755.0,-61.94999999999999,-5.16,,,,
58967.0,,,216.0,,,
58999.0,-61.94999999999999,,,,,
59011.0,,,,521.0,,
59048.0,-62.14999999999998,,,,,
59451.0,-62.14999999999998,-5.78,,,,
59671.95999999996,,,214.69,,,
59774.0,,,212.0,,,
59799.0,,,,474.0,,
59842.0,-61.94999999999999,,,,,
59973.51000000001,,,216.64,,,
59999.0,-61.94999999999999,,,,,
60146.0,-61.94999999999999,-6.72,,,,
60264.0,,,,473.0,,
60385.0,,,206.1,,,
60517.0,-61.04999999999998,,,,,
60816.0,-61.04999999999998,-7.33,,,,
60898.060000000056,,,222.71,,,
