dmy float,dmy,irtemp c,min c,max c
1834.9234972677596,1834-12-04,,,
1834.2814207650274,1834-04-13,,,
1834.2841530054645,1834-04-14,,,
1834.2868852459017,1834-04-15,,,
1834.2896174863388,1834-04-16,,,
1834.292349726776,1834-04-17,,,
1834.295081967213,1834-04-18,,,
1834.2978142076502,1834-04-19,,,
1834.3005464480875,1834-04-20,,,
1834.3032786885246,1834-04-21,,,
1834.3060109289618,1834-04-22,,,
1834.308743169399,1834-04-23,,,
1834.311475409836,1834-04-24,,,
1834.3142076502731,1834-04-25,,,
1834.3169398907103,1834-04-26,,,
1834.3196721311476,1834-04-27,,,
1834.3224043715848,1834-04-28,,,
1834.3251366120219,1834-04-29,,,
1834.327868852459,1834-04-30,,,
1834.0136612021859,1834-01-05,,,
1834.0983606557377,1834-02-05,,,
1834.1748633879781,1834-03-05,,,
1834.25956284153,1834-04-05,,,
1834.3415300546449,1834-05-05,,,
1834.4262295081967,1834-06-05,,,
1834.5081967213114,1834-07-05,,,
1834.5928961748634,1834-08-05,,,
1834.6775956284152,1834-09-05,,,
1834.75956284153,1834-10-05,,,
1834.844262295082,1834-11-05,,,
1834.9262295081967,1834-12-05,,,
1834.363387978142,1834-05-13,,,
1834.3661202185792,1834-05-14,,,
1834.3688524590164,1834-05-15,,,
1834.3715846994535,1834-05-16,,,
1834.3743169398906,1834-05-17,,,
1834.377049180328,1834-05-18,,,
1834.379781420765,1834-05-19,,,
1834.3825136612022,1834-05-20,,,
1834.3852459016393,1834-05-21,,,
1834.3879781420765,1834-05-22,,,
1834.3907103825136,1834-05-23,,,
1834.3934426229507,1834-05-24,,,
1834.396174863388,1834-05-25,,,
1834.3989071038252,1834-05-26,,,
1834.4016393442623,1834-05-27,,,
1834.4043715846994,1834-05-28,,,
1834.4071038251366,1834-05-29,,,
1834.4098360655737,1834-05-30,,,
1834.4125683060108,1834-05-31,,,
1834.016393442623,1834-01-06,,,
1834.1010928961748,1834-02-06,,,
1834.1775956284152,1834-03-06,,,
1834.2622950819673,1834-04-06,,,
1834.344262295082,1834-05-06,,,
1834.4289617486338,1834-06-06,,,
1834.5109289617487,1834-07-06,,,
1834.5956284153006,1834-08-06,,,
1834.6803278688524,1834-09-06,,,
1834.7622950819673,1834-10-06,,,
1834.8469945355191,1834-11-06,,,
1834.9289617486338,1834-12-06,,,
1834.448087431694,1834-06-13,,,
1834.450819672131,1834-06-14,,,
1834.4535519125684,1834-06-15,,,
1834.4562841530055,1834-06-16,,,
1834.4590163934427,1834-06-17,,,
1834.4617486338798,1834-06-18,,,
1834.464480874317,1834-06-19,,,
1834.467213114754,1834-06-20,,,
1834.4699453551912,1834-06-21,,,
1834.4726775956285,1834-06-22,,,
1834.4754098360656,1834-06-23,,,
1834.4781420765028,1834-06-24,,,
1834.48087431694,1834-06-25,,,
1834.483606557377,1834-06-26,,,
1834.4863387978141,1834-06-27,,,
1834.4890710382513,1834-06-28,,,
1834.4918032786886,1834-06-29,,,
1834.4945355191257,1834-06-30,,,
1834.01912568306,1834-01-07,,,
1834.103825136612,1834-02-07,,,
1834.1803278688524,1834-03-07,,,
1834.2650273224044,1834-04-07,,,
1834.3469945355191,1834-05-07,,,
1834.431693989071,1834-06-07,,,
1834.5136612021859,1834-07-07,,,
1834.5983606557377,1834-08-07,,,
1834.6830601092897,1834-09-07,,,
1834.7650273224044,1834-10-07,,,
1834.8497267759562,1834-11-07,,,
1834.931693989071,1834-12-07,,,
1834.5300546448088,1834-07-13,,,
1834.532786885246,1834-07-14,,,
1834.535519125683,1834-07-15,,,
1834.5382513661202,1834-07-16,,,
1834.5409836065573,1834-07-17,,,
1834.5437158469945,1834-07-18,,,
1834.5464480874316,1834-07-19,,,
1834.549180327869,1834-07-20,,,
1834.551912568306,1834-07-21,,,
1834.5546448087432,1834-07-22,,,
1834.5573770491803,1834-07-23,,,
1834.5601092896175,1834-07-24,,,
1834.5628415300546,1834-07-25,,,
1834.5655737704917,1834-07-26,,,
1834.568306010929,1834-07-27,,,
1834.5710382513662,1834-07-28,,,
1834.5737704918033,1834-07-29,,,
1834.5765027322404,1834-07-30,,,
1834.5792349726776,1834-07-31,,,
1834.0218579234972,1834-01-08,,,
1834.1065573770493,1834-02-08,,,
1834.1830601092897,1834-03-08,,,
1834.2677595628415,1834-04-08,,,
1834.3497267759562,1834-05-08,,,
1834.4344262295083,1834-06-08,,,
1834.516393442623,1834-07-08,,,
1834.6010928961748,1834-08-08,,,
1834.6857923497269,1834-09-08,,,
1834.7677595628415,1834-10-08,,,
1834.8524590163934,1834-11-08,,,
1834.9344262295083,1834-12-08,,,
1834.6147540983607,1834-08-13,,,
