year reset dt,year reset,year,temp c,anom c,modern anom c,modern temp c,temp c resample 1000Y,temp c mean
44302,44302.0,-775586.0,,-2.67,,,,
44619,44619.0,-775269.0,-59.24999999999997,,,,,
44977,44977.0,-774911.0,,-2.7,,,,
44999,,,,,,,,-59.24999999999997
45319,45319.0,-774569.0,-59.74999999999997,,,,,
45679,45679.0,-774209.0,,-2.69,,,,
45999,,,,,,,,-59.74999999999997
46019,46019.0,-773869.0,-59.94999999999999,,,,,
46396,46396.0,-773492.0,,-2.96,,,,
46719,46719.0,-773169.0,-59.64999999999998,,,,,
46999,,,,,,,,-59.79999999999998
47135,47135.0,-772753.0,,-3.47,,,,
47373,47373.0,-772515.0,-59.34999999999997,,,,,
47881,47881.0,-772007.0,,-3.82,,,,
47999,,,,,,,,-59.34999999999997
48028,48028.0,-771860.0,-58.84999999999997,,,,,
48599,48599.0,-771289.0,,-4.13,,,,
48682,48682.0,-771206.0,-59.14999999999998,,,,,
48999,,,,,,,,-58.99999999999997
49285,49285.0,-770603.0,,-4.52,,,,
49439,49439.0,-770449.0,-59.84999999999997,,,,,
49931,49931.0,-769957.0,,-4.32,,,,
49999,,,,,,,,-59.84999999999997
50197,50197.0,-769691.0,-60.54999999999998,,,,,
50589,50589.0,-769299.0,,-3.93,,,,
50954,50954.0,-768934.0,-61.14999999999998,,,,,
50999,,,,,,,,-60.84999999999998
51279,51279.0,-768609.0,,-3.8,,,,
51732,51732.0,-768156.0,-61.54999999999998,,,,,
51999,,,,,,,,-61.54999999999998
52007,52007.0,-767881.0,,-3.84,,,,
52509,52509.0,-767379.0,-61.24999999999997,,,,,
52766,52766.0,-767122.0,,-4.54,,,,
52999,,,,,,,,-61.24999999999997
53287,53287.0,-766601.0,-60.44999999999999,,,,,
53539,53539.0,-766349.0,,-5.33,,,,
53957,53957.0,-765931.0,-60.04999999999998,,,,,
53999,,,,,,,,-60.249999999999986
54280,54280.0,-765608.0,,-6.0,,,,
54627,54627.0,-765261.0,-59.64999999999998,,,,,
54958,54958.0,-764930.0,,-6.4,,,,
54999,,,,,,,,-59.64999999999998
55297,55297.0,-764591.0,-59.84999999999997,,,,,
55600,55600.0,-764288.0,,-6.22,,,,
55999,,,,,,,,-59.84999999999997
56018,56018.0,-763870.0,-60.14999999999998,,,,,
56210,56210.0,-763678.0,,-5.56,,,,
56738,56738.0,-763150.0,-60.74999999999997,,,,,
56822,56822.0,-763066.0,,-5.1,,,,
56999,,,,,,,,-60.449999999999974
57439,57439.0,-762449.0,,-4.76,,,,
57459,57459.0,-762429.0,-61.54999999999998,,,,,
57999,,,,,,,,-61.54999999999998
58077,58077.0,-761811.0,,-4.72,,,,
58253,58253.0,-761635.0,-61.94999999999999,,,,,
58755,58755.0,-761133.0,,-5.16,,,,
58999,,,,,,,,-61.94999999999999
59048,59048.0,-760840.0,-62.14999999999998,,,,,
59451,59451.0,-760437.0,,-5.78,,,,
59842,59842.0,-760046.0,-61.94999999999999,,,,,
59999,,,,,,,,-62.04999999999998
60146,60146.0,-759742.0,,-6.72,,,,
60517,60517.0,-759371.0,-61.04999999999998,,,,,
60816,60816.0,-759072.0,,-7.33,,,,
60999,,,,,,,,-61.04999999999998
61192,61192.0,-758696.0,-60.84999999999997,,,,,
61421,61421.0,-758467.0,,-7.27,,,,
61867,61867.0,-758021.0,-60.54999999999998,,,,,
61999,,,,,,,,-60.699999999999974
62000,62000.0,-757888.0,,-7.12,,,,
62462,62462.0,-757426.0,-60.24999999999997,,,,,
62556,62556.0,-757332.0,,-6.43,,,,
62999,,,,,,,,-60.24999999999997
63057,63057.0,-756831.0,-59.74999999999997,,,,,
63081,63081.0,-756807.0,,-6.07,,,,
63573,63573.0,-756315.0,,-5.77,,,,
63652,63652.0,-756236.0,-60.24999999999997,,,,,
63999,,,,,,,,-59.99999999999997
64080,64080.0,-755808.0,,-5.3,,,,
64323,64323.0,-755565.0,-61.14999999999998,,,,,
64618,64618.0,-755270.0,,-5.09,,,,
64995,64995.0,-754893.0,-62.04999999999998,,,,,
64999,,,,,,,,-61.59999999999998
65195,65195.0,-754693.0,,-5.5,,,,
65666,65666.0,-754222.0,-62.34999999999997,,,,,
65778,65778.0,-754110.0,,-6.25,,,,
65999,,,,,,,,-62.34999999999997
66363,66363.0,-753525.0,,-7.22,,,,
66385,66385.0,-753503.0,-62.54999999999998,,,,,
66952,66952.0,-752936.0,,-7.54,,,,
66999,,,,,,,,-62.54999999999998
67103,67103.0,-752785.0,-62.84999999999997,,,,,
67538,67538.0,-752350.0,,-7.79,,,,
67822,67822.0,-752066.0,-63.04999999999998,,,,,
67999,,,,,,,,-62.949999999999974
68122,68122.0,-751766.0,,-7.97,,,,
68542,68542.0,-751346.0,-63.14999999999998,,,,,
68699,68699.0,-751189.0,,-8.24,,,,
68999,,,,,,,,-63.14999999999998
69262,69262.0,-750626.0,-63.14999999999998,,,,,
69277,69277.0,-750611.0,,-8.37,,,,
69848,69848.0,-750040.0,,-8.42,,,,
69982,69982.0,-749906.0,-63.24999999999997,,,,,
69999,,,,,,,,-63.199999999999974
70410,70410.0,-749478.0,,-8.59,,,,
70664,70664.0,-749224.0,-63.24999999999997,,,,,
70960,70960.0,-748928.0,,-8.58,,,,
70999,,,,,,,,-63.24999999999997
71346,71346.0,-748542.0,-63.14999999999998,,,,,
71516,71516.0,-748372.0,,-8.5,,,,
71999,,,,,,,,-63.14999999999998
72028,72028.0,-747860.0,-63.04999999999998,,,,,
72072,72072.0,-747816.0,,-8.32,,,,
72635,72635.0,-747253.0,,-8.44,,,,
72693,72693.0,-747195.0,-63.14999999999998,,,,,
72999,,,,,,,,-63.09999999999998
73196,73196.0,-746692.0,,-8.6,,,,
73357,73357.0,-746531.0,-63.14999999999998,,,,,
73747,73747.0,-746141.0,,-8.69,,,,
73999,,,,,,,,-63.14999999999998
74022,74022.0,-745866.0,-63.34999999999997,,,,,
74318,74318.0,-745570.0,,-8.63,,,,
74682,74682.0,-745206.0,-63.24999999999997,,,,,
74891,74891.0,-744997.0,,-8.62,,,,
74999,,,,,,,,-63.29999999999997
75341,75341.0,-744547.0,-62.94999999999999,,,,,
75463,75463.0,-744425.0,,-8.56,,,,
75999,,,,,,,,-62.94999999999999
76001,76001.0,-743887.0,-63.34999999999997,,,,,
76056,76056.0,-743832.0,,-8.56,,,,
76666,76666.0,-743222.0,-63.24999999999997,,,,,
76667,76667.0,-743221.0,,-8.41,,,,
76999,,,,,,,,-63.29999999999997
77293,77293.0,-742595.0,,-8.67,,,,
77331,77331.0,-742557.0,-63.14999999999998,,,,,
77904,77904.0,-741984.0,,-8.84,,,,
77996,77996.0,-741892.0,-63.44999999999999,,,,,
77999,,,,,,,,-63.29999999999998
78513,78513.0,-741375.0,,-8.95,,,,
78685,78685.0,-741203.0,-63.64999999999998,,,,,
78999,,,,,,,,-63.64999999999998
79131,79131.0,-740757.0,,-8.6,,,,
79375,79375.0,-740513.0,-63.74999999999997,,,,,
79752,79752.0,-740136.0,,-8.47,,,,
79999,,,,,,,,-63.74999999999997
80064,80064.0,-739824.0,-63.34999999999997,,,,,
80373,80373.0,-739515.0,,-8.25,,,,
80744,80744.0,-739144.0,-63.14999999999998,,,,,
80971,80971.0,-738917.0,,-8.24,,,,
80999,,,,,,,,-63.24999999999997
81425,81425.0,-738463.0,-63.24999999999997,,,,,
81544,81544.0,-738344.0,,-8.08,,,,
81999,,,,,,,,-63.24999999999997
82060,82060.0,-737828.0,,-7.16,,,,
82105,82105.0,-737783.0,-63.14999999999998,,,,,
82561,82561.0,-737327.0,,-6.27,,,,
82765,82765.0,-737123.0,-63.04999999999998,,,,,
82999,,,,,,,,-63.09999999999998
83039,83039.0,-736849.0,,-5.62,,,,
83424,83424.0,-736464.0,-62.44999999999999,,,,,
83544,83544.0,-736344.0,,-5.38,,,,
83999,,,,,,,,-62.44999999999999
84029,84029.0,-735859.0,,-4.76,,,,
84084,84084.0,-735804.0,-61.94999999999999,,,,,
84484,84484.0,-735404.0,,-4.52,,,,
84632,84632.0,-735256.0,-60.64999999999998,,,,,
84999,,,,,,,,-61.29999999999998
85001,85001.0,-734887.0,,-4.47,,,,
85179,85179.0,-734709.0,-60.24999999999997,,,,,
85483,85483.0,-734405.0,,-4.03,,,,
85727,85727.0,-734161.0,-59.64999999999998,,,,,
85983,85983.0,-733905.0,,-3.72,,,,
85999,,,,,,,,-59.949999999999974
86246,86246.0,-733642.0,-60.14999999999998,,,,,
86502,86502.0,-733386.0,,-3.99,,,,
86766,86766.0,-733122.0,-59.54999999999998,,,,,
86995,86995.0,-732893.0,,-4.15,,,,
86999,,,,,,,,-59.84999999999998
87285,87285.0,-732603.0,-58.74999999999997,,,,,
87511,87511.0,-732377.0,,-3.95,,,,
87809,87809.0,-732079.0,-60.04999999999998,,,,,
87999,,,,,,,,-59.39999999999998
88035,88035.0,-731853.0,,-3.93,,,,
88333,88333.0,-731555.0,-59.14999999999998,,,,,
88597,88597.0,-731291.0,,-3.79,,,,
88857,88857.0,-731031.0,-59.44999999999999,,,,,
88999,,,,,,,,-59.29999999999998
89236,89236.0,-730652.0,,-4.2,,,,
89374,89374.0,-730514.0,-59.74999999999997,,,,,
89891,89891.0,-729997.0,-58.94999999999999,,,,,
89892,89892.0,-729996.0,,-4.85,,,,
89999,,,,,,,,-59.34999999999998
