Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
180787.66,394679.05,54.7996033,-8.2994908,15,Ardara ,Donegal,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,185,87,165,145.3,120.9,113,64.7,76.6,109.4,95.4,232.3,200.4
1914,117.1,175.4,215.9,75.7,99.4,62.6,139.4,116.6,111.4,86.7,207.5,178.9
1915,210.3,146.7,89.5,164.4,41.9,43.3,158,72.2,89.5,139.9,96.1,265.9
1916,162,169.5,56.7,252.7,170,101.6,70.1,131.7,110,278.2,203,148.6
1917,147.2,53.1,106.4,106.9,121.4,107.1,77.4,231,149.7,302.5,313.7,142.6
1918,109.4,165.7,62.6,40.3,66.3,93.6,111.2,159,263.2,228.3,192.9,235.8
1919,150.6,40.3,175.6,120.5,89.7,114.7,47.6,138.9,174.3,75,190.5,293.6
1920,218.7,135.9,164.7,128.9,197.5,90.5,152.2,91.4,174.6,44.7,206,121.7
1921,168.4,77.9,183.4,59.4,75,33,116.6,153.1,66.3,220,136.4,264.5
1922,172.2,198.9,105.3,95.6,77.6,118.9,173.2,115,142.6,63.6,110.6,201.4
1923,278,155.8,102,96.6,131.1,59.1,159.7,245.2,242.2,226.9,215.5,244.9
1924,170.6,65,47,187.5,141.3,134.8,145.3,277.7,221.4,157.7,172.2,206.4
1925,120.3,157.2,87,117.1,156.9,35.8,116,126.7,126.4,169,114.7,148.1
1926,190,153.1,107.8,76.3,139.4,91.9,141.3,95.6,179.1,222.2,225.3,82.2
1927,276.1,117.7,128.1,126,52.7,135.3,117.7,169.2,190.5,115,184.8,60.7
1928,352.4,186.1,92.1,37.3,60.7,132.2,88.9,185.6,140.5,247.4,190.5,193.4
1929,36.5,121.9,24.2,48.3,62.8,114.4,134.2,232.8,69.2,213.5,216.7,283.6
1930,123.5,23.4,108.9,74.1,53.4,84.6,126.4,190,100.2,248.1,147.4,123.3
1931,200.4,135.3,42.7,91.6,117.7,162.2,123,58.8,83.6,102,170.2,112.5
