Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
226324.03,416013.92,54.9909177,-7.5895177,37,Derry,Derry,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1912,86.4,50.8,142.2,55.9,33.5,169.2,74.4,135.9,59.2,87.9,104.4,118.9
1913,101.6,38.4,82.5,85.9,95.8,87.6,46,39.9,97.3,50.3,85.9,107.2
1914,52.3,149.6,111.5,44.4,51.3,42.7,56.9,84.8,59.7,36.8,119.1,161.3
1915,82.8,107.4,43.4,72.1,19,68.3,88.4,74.7,21.1,42.4,77.7,147.6
1916,74.7,104.9,72.4,96.5,155.7,49.5,74.2,71.9,39.4,142.2,138.7,92.5
1917,69.8,61.2,78.7,79.2,72.9,76.5,70.4,177.3,39.1,176,171.2,89.7
1918,75.9,92.5,25.1,48.3,66.8,59.9,93,122.7,131.8,117.9,103.6,115.8
1919,97.3,21.6,102.1,59.9,25.4,118.9,27.7,76.7,63,49,100.8,167.9
1920,113.8,56.4,84.3,59.7,94.7,38.9,76.2,72.4,91.2,118.1,84.3,73.2
1921,103.6,25.4,81,40.4,55.4,8.1,84.6,95.8,34,117.1,67.6,136.9
1922,86.4,100.6,37.1,112.3,63.5,65.5,85.9,100.6,60.2,25.9,72.9,84.3
1923,92.5,128.5,35.1,70.9,52.8,36.1,72.4,136.4,125,112.8,109.5,122.7
1924,62,45.5,17.5,83.6,104.4,69.8,94.2,137.2,157.5,66.8,52.8,96.8
1925,79.5,117.1,81.8,83.6,91.7,29.7,162.6,67.8,87.6,61.2,67.3,131.1
1926,127.5,55.9,57.9,48.5,105.4,84.1,78.5,85.1,89.4,132.6,143,55.1
1927,140.2,38.6,62.5,61.5,35.3,84.8,93.7,88.6,118.9,79.8,110.7,43.4
1928,158.7,88.1,79.2,31.2,24.9,119.9,48.8,151.4,92.5,137.2,111.5,74.9
1929,33,49.3,9.1,29.5,50.5,72.4,75.7,132.3,31,185.2,106.9,174.5
1930,82,20.3,57.1,45.2,28.2,66.3,68.8,178.3,46,131.1,112,87.9
1931,107.4,100.6,13.5,67.1,77.5,99.3,99.3,59.2,68.6,66.5,93.7,66.5
1932,91.7,4.3,56.9,98.3,33,29.2,110.5,60.7,78.7,111.5,82.8,103.9
1933,78.7,87.1,57.7,25.1,60.5,57.7,60.7,43.7,10.7,93,41.7,49.8
1934,95.8,14.5,58.2,79,75.2,51.3,78.7,133.6,155.7,145.8,35.3,119.4
1935,56.9,112.8,30.5,68.3,26.7,131.8,31,54.1,113.5,170.2,146.6,93.7
1936,118.1,44.4,61.7,25.1,32.8,46,176.8,70.6,130.8,86.6,112,120.4
1937,165.1,119.9,60.2,78.5,40.4,55.9,136.7,121.9,82,59.4,36.6,89.2
1938,130,67.3,55.6,6.3,72.4,98.8,132.6,59.2,77.5,182.1,162.6,120.1
1939,89.9,79,100.8,55.9,26.7,106.9,120.9,42.9,67.3,56.6,124,95.8
1940,63.2,62.5,107.7,115.8,30.5,34,95,38.1,94.2,122.9,133.6,158.7
1941,37.1,88.9,75.4,34.3,65,11.2,80.5,124.7,23.4,127.5,134.6,65.3
1942,181.9,55.6,72.4,53.8,101.9,25.9,130.3,118.4,148.1,103.4,30.2,136.4
1943,136.1,83.6,32.3,81.8,88.1,93,52.3,146,93,81.8,107.4,72.4
1944,94.2,39.6,34,57.4,49.5,78.2,109.5,64.8,156,132.1,122.7,136.1
1945,113.3,92.5,32.3,43.7,118.4,111.3,129.3,44.4,80.8,98.8,17.8,101.9
