Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
194500,279100,53.7551234,-8.1081918,49,Strokestown,Roscommon,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1912,85,106.8,108.5,20.2,41.6,123.2,103.2,121.6,8,77.4,64.6,111.8
1913,149,42.5,114,94.7,114,76.9,25.7,25.2,115,97.6,109.6,96.4
1914,63.8,134.4,108.5,53.6,50.9,34.1,75.6,135.7,38.1,48,92.3,154.6
1915,95.4,119.8,15.6,56.2,25.5,43.3,94.8,112.4,36.3,101.6,75.2,172.1
1916,67.7,92.5,41.9,94.2,117.8,56.1,87.5,107.2,57.1,191,120.3,87.7
1917,44.4,38.3,92.8,54.6,80.6,51.7,85.6,185.8,63.2,124.3,120.6,47
1918,98.3,110.5,34.2,22.8,44,36,71.8,55.2,163.3,110.7,91,108.4
1919,74.4,55.8,63.1,47.2,107.4,59,23.6,57.7,85.6,40.8,59.5,164.4
1920,132.3,72.3,73.7,87.5,95.2,38.2,91.5,57.9,64.6,81.6,85.9,95.9
1921,84.7,13,64.4,29.4,43,4.3,103.7,67.4,18.4,43.8,114.4,88.2
1922,104.4,128,50.1,59.1,53,56.1,107.5,87.7,89.4,35.2,33.9,124.6
1923,83.2,166.6,60.7,70,43.5,38.2,31.4,180.1,106.2,111.8,80,80.2
1924,119.5,44.1,47.7,89.9,110.9,116.2,109.1,122.7,121.4,85.9,104,160.2
1925,97.2,97.8,19.4,91.2,146.7,16.8,85.3,60.4,81.9,103,82.7,79.7
1926,173.2,87.7,41.9,46.7,109.3,87.2,55.5,80.7,71,69.6,128.3,25
1927,121.4,88.7,115.6,47.5,36.6,92.6,71.8,164.1,123,97.9,62.4,78.1
1928,145.6,83.2,103.7,50.4,48.3,207.2,54.7,127.8,81.1,146.2,141.9,85.8
1929,55.8,103.6,11.4,21.7,48.8,40.1,119.7,134,28.3,121.1,120.3,194.7
1930,132.3,11.2,100.5,49.3,54.1,50.9,74.2,156.2,106.2,148.3,116,107.3
1931,76.8,82.1,88.6,88.3,111.7,180.6,109.4,104.8,51,62.2,151.8,74.1
1932,127,4.8,43,80.9,70.8,26.8,108.9,48.2,98.7,97.4,56.3,162.3
1933,106.5,77.3,82.2,58.9,69,74.5,78,48.5,22.7,60,40.3,54.5
1934,130.2,5.3,87.8,70.3,60.5,41.2,49,131.6,183,128.1,40.3,145.6
1935,42.2,84.2,53.8,67.9,29.2,131.1,23.8,61.2,183.3,112.3,107.8,60.8
1936,140,61.4,54.9,46.4,40.3,107,164.4,37.9,115.8,59,90.2,110.8
1937,129.4,113.2,51.2,69.2,89.9,44.4,115.1,75,108.8,40,27.2,60.3
1938,113.4,50.7,66.8,5,107.9,113.7,136.2,89.6,65.9,172.3,173.9,89.3
1939,119.5,86.9,64.4,39.5,27.3,65,123.5,46.8,44,83.2,205.4,80
1940,103.9,119,130.5,88.3,82.2,42.5,106.4,21.1,67.2,148.3,98.7,111.6
1941,66.9,81,56.8,42.2,45.1,52.5,50.1,97.5,20.5,104.3,177.7,73.3
1942,118.8,50.2,91.5,48.8,106.6,2.4,92.6,144.9,120.1,68.3,26.7,132
1943,166.8,44.4,30.5,64.4,96.8,80.7,60.7,159.2,82.2,117.6,75.8,75.2
1944,110.2,29.8,10.3,49.2,65.9,78.4,91.9,114.5,107.5,153.7,145,111.1
1945,108,92.9,62.6,37.6,111,103.5,115,54.8,101.8,98.1,28.8,125.8
1946,106.5,83.3,27.6,35.9,63.2,98.2,115.9,105.2,172.1,47,129,140.3
1947,101.9,73,137.8,112.1,114.6,77.5,115,34.2,91.2,109.7,138.7,96.4
1948,152.6,63.9,80.2,53.3,47.9,98.2,85.8,110.6,94.5,73.6,77.4,187.6
1949,85.4,78.1,59.4,80.8,47.7,35.9,63,94.9,49.7,149.7,79.6,141
1950,61.4,110.3,59.7,104.5,19.5,51.7,150.8,135.7,189.9,75.6,76.4,102.9
1951,106.3,82.6,88.8,36.7,59.5,65.8,79.4,124.5,100.1,40,124.3,134.9
1952,118.7,29.2,58.2,41.1,56.4,62.1,23.7,76.3,44.7,137.7,50,101.1
1953,48.9,41.8,9.1,54.3,46.7,37.2,142,116.8,65.3,61.5,109.8,82.3
1954,69,122.3,118.7,27.3,86.1,57.4,88.7,108.6,150,210,129.3,122.1
1955,106.4,84.5,21.9,72.4,108,154.3,29.3,22.9,100.4,56,61.2,109.6
1956,87.4,41.3,59.9,20.1,32.3,105.4,136,126.6,122.8,87.8,72.2,172.1
1957,131.1,84.4,97.9,34.2,52.7,43.4,116.1,78.3,120.9,126.6,29.7,94.5
1958,112,84.7,58,32.3,92.6,111.8,118.2,118,102.8,51.4,44.3,105.3
1959,76.4,33.1,83.1,86.4,45,55.2,63.8,36.4,60.2,155.4,101.9,178.2
1960,100.1,83.1,56,76.8,60.8,65.6,132.1,119.3,95.7,61.6,132.7,117.9
1961,128.3,75,23.7,89.1,61.3,52.9,106.9,67.1,131,117.9,59.2,89.9
1962,116.9,53.6,79.6,62.8,68.7,54.7,51.5,103.1,139.9,46.7,78.9,98.1
1963,36.6,40.6,123,52.4,71.7,61.7,70.3,103.5,69.4,133.5,153.7,42.6
1964,44.9,31.8,92.7,71.7,88.3,65.7,78.9,96.5,74.5,152.4,75.5,109.5
1965,158.7,7.5,89.2,86.6,92.5,100.7,71.3,106.5,81.8,69,167.4,142
1966,79.1,138.5,64.8,118.8,97.2,97.8,53.1,75.4,72,103.8,63.1,136.6
1967,55.7,71.1,76.7,38.2,121.8,33.9,92.7,107,106.3,173.3,48.7,73.1
1968,127.6,19.9,60.2,51.7,56.5,86.8,28.8,75.6,132,152.4,102.8,116.5
1969,150.2,56.9,30.5,67.6,86.8,87.6,33.6,46,38.3,81.6,71.2,139.7
1970,90.6,125.6,73.6,96.6,40.9,40.3,105.2,88.2,122.3,95.5,143.3,47.4
1971,79.8,70.1,34.8,46.8,54.9,88.6,68.3,80.3,40.9,61.1,109.8,47.1
1972,113.6,80,83.3,88.8,129.3,61.8,52.6,64.5,12,50,116.6,100.8
1973,100.4,64.7,34.6,45.3,86.4,36.3,67.6,127,84.5,54.9,156.9,84.9
1974,156.5,99.1,43.1,33.3,69.8,53.8,105.5,125.7,145.3,57.1,97.9,101.4
1975,171.8,44.1,40.6,61.4,16.7,15.7,78.6,65.9,110.9,96.5,103.1,44.6
1976,138.9,61,84.8,32.8,112.8,44.8,87.2,13.1,80.3,150.4,67.2,99.7
1977,86,155.7,106.8,85.3,24.8,58,36.1,99.8,51.6,114.3,155.9,107.3
1978,120.5,84.3,120.5,53.5,15.6,52.3,56.8,63.1,85,58,111.1,159.7
1979,73.9,42.3,83.3,98.9,112.7,60.9,37.5,105.5,57.7,122,129.8,135.7
1980,87.1,94.3,104,30.5,39.9,74,73.5,69.5,127.6,136.7,84.7,136.9
1981,77.3,70.4,107.1,24.6,156,80,51.2,35.8,144.8,93,76.7,77.1
1982,89.5,98.4,125.4,27,65.7,95,21.7,81.9,78.5,117.1,130,145.8
1983,121.8,39.2,118.8,48.7,119.8,66.2,15.3,76.1,95.5,119.1,51,125.1
1984,168.3,69.9,58.4,28.4,27.3,37.6,39.9,96.9,86.4,100.3,102.6,101.8
1985,66.1,47.9,105.3,75.2,84.2,63.3,68.3,186.7,95.1,56.4,72.5,118.4
1986,119,1.8,121.8,76.1,139.8,127.9,72.2,140.7,5.9,103.7,131,151.8
1987,32.8,58.6,104,47.1,41.9,147.6,51.6,98.9,90.5,126.5,101.3,82.6
