Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
169794.04,320195.93,54.1299663,-8.4627995,49,Markree Castle,Sligo,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,174.8,56.6,128.3,108.4,108,81.5,41.4,40.1,77,78,133.6,131.6
1914,57.2,173.7,136.6,56.1,65.3,31.5,106.2,136.9,65.3,53.8,143.8,175.5
1915,144.5,150.6,26.9,94.7,37.6,71.9,141.5,81.5,53.6,99.1,94,187.7
1916,94.2,117.4,49.5,151.9,124.2,78.5,72.6,119.4,65.5,217.4,190,122.2
1917,77,43.2,89.4,68.3,80.5,64.3,81.3,177,91.2,235.2,218.4,76.7
1918,116.1,157,41.1,30,52.3,70.9,84.1,70.6,209.3,146.8,117.3,163.8
1919,134.9,31.2,103.4,78.8,101.9,103.6,50.5,98.3,100.3,46.5,106.9,195.1
1920,160,80.5,118.9,90.2,101.4,59.9,123.2,72.4,80,67.1,129,95.5
1921,126,49.3,104.6,45,79.2,12.4,130.3,153.4,36.1,89.9,95.3,117.1
1922,133.4,154.4,74.4,109,37.8,77,113.8,95.5,100.8,49,70.9,131.6
1923,130.8,127.8,72.4,77.5,70.1,58.4,66,187.9,157,147.1,129,121.7
1924,144.3,72.6,39.1,120.6,148.1,115.6,117.9,200.9,157.5,119.4,132.6,136.6
1925,104.1,114,44.5,108.4,147.8,19.1,99.6,92.7,108.4,97.3,91.2,93
1926,153.7,81.3,53.1,67.3,106.7,90.2,65.8,108.7,92.9,101.6,145,54.6
1927,227.6,68.6,110.5,48,51.3,84.3,80.3,185.7,155.7,67,98,45
1928,190,99.8,90.7,45.2,33.5,175.3,49.5,154.2,97,192,143.3,123.2
1929,39.9,80,13,33.5,68.8,73.4,125,165.6,28.7,144,165.6,201.9
1930,107.9,18.3,78.5,54.1,55.4,76.7,130.6,185.2,101.9,184.6,116.3,124.7
1931,127.5,112.3,46,75.7,120.1,151.6,112.8,110,68.6,82.3,168.7,88.6
1932,139.2,4.6,57.9,116.4,70.3,58.9,154.7,64.8,118.4,136.4,83,160.5
1933,105.1,79.7,101.1,58.2,71.1,102.9,75.4,77.5,21.6,85.1,64.3,46.5
1934,117.6,16,105.1,70.6,78,48.5,61.5,161.8,167.1,158,46.2,140.5
1935,89.9,98.8,54.9,106.9,43.2,124.2,26.9,80.5,157.5,154.7,118.9,101.6
1936,108.7,54.1,77,31.8,44.5,132.8,158,62,111.2,97,119.1,133.3
1937,136.9,138.9,40.7,69.3,42.2,46.5,162.3,100.8,118.9,34.8,40.9,99.3
1938,153.4,63,58.9,9.9,98.6,141.7,94.2,90.4,83.1,205.3,174,145.3
1939,87.1,113.3,86.6,44.9,22.9,50.3,123.4,51,38.4,82.3,204,116.1
1940,74.9,93.2,163.6,97,81.3,52.1,119.4,57.7,108.2,125,113,147.3
1941,51.9,102.9,74,38.5,52.3,21.9,69.9,102,30.7,113.4,150.7,77.7
1942,158.8,48.1,80.9,87.3,106.3,14.8,118,164.4,156.7,90.4,64.4,141
1943,132.5,91.1,45.8,57.3,93.4,97.2,71.1,151.6,108.5,124.1,130.9,101.2
1944,105.6,48.7,24.2,48.8,93.2,108.1,82.7,96.7,125.3,157.3,157.8,135.9
1945,116,75.2,52.2,54.6,122.7,133.1,112.8,35,125.2,110,26.4,125.6
1946,115.4,94.4,37.7,40.4,30.3,114.8,84.1,132.3,165.7,46.6,109.8,146.6
1947,98.6,25,104.1,107.8,89.3,74.3,94.3,35.3,91.8,93.9,192.9,109.3
1948,123.8,66.2,71.1,54,61.4,94.3,95.7,112.7,106.7,105.6,102.3,165.1
1949,106.9,99.1,61.9,102.6,48.6,35.2,65.5,77,59.2,97.7,124,224.2
1950,80.3,121,51.2,121.9,17.3,79.4,199.1,159.8,198.9,86,97.8,142.6
1951,106.2,123.8,79.7,68.4,45.5,67.4,123.5,137.4,79.5,63.4,148.8,138.4
1952,147.6,40.5,61.5,33.4,82.5,82,26.3,87.4,76,111,52.7,123.9
1953,56.7,43.2,15.8,60.7,58.8,39.5,133.4,100.1,100.2,68.8,114.7,82
1954,71.9,124.3,113.7,39.9,74.3,75.2,120.8,64.9,169.7,212.8,159.8,115.1
1955,96.4,99.6,18.2,71,119.1,136.5,28.3,31.3,123.3,102.3,52.2,98.6
1956,98.9,32.5,46.4,40.2,46.8,96.3,140,142.2,89.1,111.8,57.7,141.8
1957,123.7,50.8,91.9,18.5,23.6,44.7,133.6,95.1,108.8,111.9,48.9,102.4
1958,141.9,86.8,56.2,31,99,125,112,154.9,98.4,77.7,89,160.2
1959,95,29.9,92,109.7,38.5,56.7,81.3,33.5,68.3,175.3,172.3,233.7
1960,144.1,105.7,66.7,96.5,66.4,106.3,178.8,164.2,144.4,71,159.5,134.1
1961,131.9,93.8,37.8,113.1,74.3,61.7,106.5,102.5,127.9,138.7,89.4,119.7
1962,165.5,86.4,75.1,68.3,65,64.3,56.8,148.6,171.5,62.8,95.7,139
1963,24.8,37.9,134.3,48.4,100.2,62.6,76.7,88.1,79.9,121,147.4,39.5
1964,59.6,34.1,57,76.1,69.5,92.8,58.1,107.5,92.7,190.8,93.5,144.5
1965,164,15.8,75.1,85.9,64.7,139.9,101.9,117.6,161.3,107.5,133.2,149.3
1966,88.1,118.4,89.9,74.5,99.8,99.2,90.3,74.7,77.8,87,91.2,187.1
1967,63,89.1,114.3,45.9,142.9,46.8,95.3,110.1,150.8,179,87.6,115
1968,173.2,34.2,83.5,86.1,76.5,93.4,41.3,80.1,158.9,185.2,89.2,135.5
1969,148.4,85.3,27.9,67.7,91.8,85.4,30.8,72.5,55.6,82.5,130.6,158.6
1970,80.2,154.8,83.9,75.4,43.7,61.7,102.6,88.4,124,140.1,120.4,54.1
1971,95.3,86.6,51.4,49,76.3,96.9,56.5,64.5,45.3,71.2,168.9,40.9
1972,98,66.5,91.8,100.8,125.2,126.7,57.2,74.3,32.4,54.3,162.9,114.8
1973,117,114,46.8,58.6,102.4,75.3,79.2,123.8,102,76.9,191.6,110.9
1974,152.8,119.4,82.1,31.5,68.5,46.7,105.9,125.9,169.1,113.4,113,137.9
1975,204,35.2,47,73.5,10.4,29,100.5,78.2,127.5,95.3,99.5,79.9
1976,161,63.2,70.4,45.7,117.2,52.9,82.2,16.6,97.7,127.7,79.8,116.2
1977,82.9,112.6,126.1,90.2,28.9,75,68.7,88.4,69.6,131.2,194,92.2
1978,165.9,81.9,159.8,37.9,33.5,87.4,72.7,71.9,134,62.7,134.2,125.8
1979,89.6,34.9,105.8,103.4,136.7,48.3,51.9,138.3,81,133.1,211,169.8
1980,104.8,118.4,112,34.8,33.4,134.8,96.6,91.1,135.8,136.6,157.3,179.7
1981,122.2,81.5,139.4,39.8,166.2,87,112.4,48.4,234.7,169,119,88.5
1982,86.6,126.7,166.5,35.2,89.8,100.5,40.8,115,79.5,120.4,161.5,194.6
1983,149.4,56.4,145.5,72,102.7,47.9,32.7,93.4,133.2,165.1,60.2,161.1
1984,232.1,104.8,72.5,38.3,47.4,62.8,57,66.6,145.9,165.8,141.9,147.2
1985,100,27,145.7,108.3,132.9,91.2,97.1,230.9,160.8,50.7,87.2,147.1
1986,172.3,0.2,149.3,74,160.6,91.3,116.7,126.3,12.1,124.9,162.1,190.6
1987,40.7,63.1,112.4,59.8,47.7,110.4,64.3,114.2,95.4,151.1,104.5,74.8
1988,187.9,102.6,135.8,30.5,58.3,52.4,147.7,133.7,167.7,138.8,60.5,85
1989,107.1,146.8,155.5,93.9,36.4,49.5,31.1,116.1,52.9,252.5,61.3,82
1990,158.4,221.2,84.5,83.1,31,126.7,77.6,78.5,66.8,221.4,97.8,141.9
1991,130.4,97.7,132.7,137.1,20.2,107.6,84.8,47,56.6,126,147.7,89.8
1992,111.6,105.6,162.3,105.9,48.4,35.4,93.7,174.5,96.5,107.4,194,96.7
1993,165,39.7,53,127.8,83.7,100.9,106.2,58.6,89.8,23.1,82.7,224.9
1994,152.8,83.1,138.6,98.6,60,78.6,86.5,95.2,105.8,84.6,87,185.3
1995,175.2,150,144.1,40.7,110.2,44.4,95.9,13.9,105.6,170.7,85,69.6
1996,70.6,128,55.1,71.3,66.5,40.9,120.6,124.2,56.7,182.5,161.2,56.4
1997,23.7,150.6,68.9,46.7,80.8,100.8,123.2,71.7,87.9,98,141.2,150.3
1998,161.3,85.1,80.7,101.3,39.1,107,154.4,102.8,107,221.6,138.6,129.2
1999,164.4,97.4,61.4,104.2,65.5,62.6,65.2,118.4,167.6,58.3,148,260.6
2000,96.9,123.6,54.4,87.5,50.9,56.7,89.4,132,117.5,201.3,159.9,142.3
2001,66.5,62.3,84.1,97.1,41.4,73.4,82.7,127.9,70.8,110,100.1,86.1
2002,124.9,169.4,60.8,100.7,155.8,161.1,91.7,70.9,33.5,183.7,143.5,92.7
2003,107.6,66,59.7,37.5,142.8,60.7,88.9,27,62.9,77.7,163.2,111.5
2004,163.7,65.7,99.9,96.3,59.6,105,106.3,117.8,135.8,167.5,79.4,132.4
2005,181.5,75,80.2,99.4,103,61.3,64.1,90.7,85.9,64.2,121.8,122.1
2006,65.1,59.8,151.9,60.9,118.3,45.2,51.1,86.2,128.7,116.1,129.3,142.8
2007,167,78.2,89.6,27,86.9,90.9,176.5,100.8,75.5,71,84.2,136.1
2008,176.5,79.8,128.1,64.1,30.2,97.3,87,175.6,155.9,158,113.8,113.7
2009,142.4,38.9,71.3,111.5,126.3,71.4,151.1,158.5,57.9,117,263.1,73.1
2010,64.5,40.3,60.7,57.9,33.6,28.6,172,95.8,116.5,77.2,148.1,56.7
