Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
213268.88,104799.9,52.1952942,-7.8066555,76,Cappoquinn,Waterford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,342,83.4,115.7,112.7,157.5,88.3,9.6,54.1,150.8,178.9,188.1,56.3
1914,61,234.2,182.5,48.1,51.8,16.5,103.1,156.5,99.2,58.6,126.8,323.5
1915,126.5,222.4,28.7,27.6,75.1,46.8,177.6,82.7,85,197,113.6,219.5
1916,65.9,164.1,46.2,74.2,85,91.6,45.5,143.6,52.7,306.7,258,67.2
1917,101.2,70.8,138.4,48.1,152.1,76.1,81.3,300.8,49,140.7,88.6,74.2
1918,145.9,199,51.1,43.4,92.6,56,141.4,90.7,225.3,166,102.1,209.2
1919,188.7,162.8,84.7,71.5,150.2,45.5,56,123.6,31.9,12.6,60.3,155.5
1920,217.1,76.8,148.6,176.5,128.5,43.2,176.5,113.4,45.1,180.8,132.2,159.4
1921,141,61,142.7,22.4,70.8,8.6,121.9,115.3,37.6,28.7,92,58
1922,138.8,94.3,82.7,105.7,32.1,55.5,93.5,204.5,184,13.1,101.9,102.6
1923,106.6,162.1,141.1,156.3,41.5,27.1,89.9,211.8,101.7,162.7,173.8,110.2
1924,280.4,78.9,55.5,80.4,130.6,134.7,122.1,135.8,218.5,142.3,197.5,243
1925,174.9,155.7,3.5,200.1,181.4,17.5,98.1,72.1,77.2,159.5,64.3,102.2
1926,307.6,158.8,50.3,101.8,96.2,76.4,55.9,83.8,17.1,96.2,207.7,16.1
1927,100.7,71,147.5,56.6,69.9,131.1,176.1,201.7,123.4,131.4,181.1,200.6
1928,177.9,103.8,241.2,91.5,83.2,258,43.8,178.9,59.7,356.5,231.3,180.7
1929,115.3,393.9,46.8,66.7,145.7,83.9,141.9,107.3,52,147.1,275.5,333.1
1930,239,78.3,267.4,64.7,79.7,87.4,128,217.4,166.8,232.8,213.6,182
1931,94.5,104.5,258.5,77.1,198.8,84.5,149.8,111.7,120,48.3,327.2,91.5
1932,142.2,11.7,92.5,64.7,167,76.2,129.4,88.6,77.5,157.2,71,298.7
1933,111,109.3,112.3,78.8,116.7,70.8,87.1,44,75.8,123.4,58.7,77.1
1934,123.2,8.7,145.9,120.2,85.7,56.3,45.2,135.2,229.3,121.1,33.9,267.2
1935,41.1,104.1,60.2,119.8,30.4,231.7,19.8,60,268.5,90,169.8,133.2
1936,186.8,192.2,108.1,56.5,49.2,107.8,183.7,23.1,145,72,115.9,141.3
1937,286.9,183.5,148.7,124.2,88.7,49.6,110.4,75.7,85,113.2,114.8,107.2
1938,192.6,100.4,36.1,4.3,133.5,108.9,167,139.6,108.9,174.1,210.2,210.2
1939,187.8,160,92.8,49.8,44.2,79.3,140.6,62.6,72.4,145.6,331.1,102.4
1940,135.9,261.5,86.3,128.2,42.2,29.1,95,4.7,52.6,256.5,194.1,138.3
1941,254.1,148.1,99.4,30.8,129.5,44.4,129.5,75.8,41.8,102.7,273.2,53.3
1942,196.1,41.8,157.9,73.6,148.8,13.4,92.1,158.2,107.2,41.8,12.5,186
1943,306.9,46.7,58.6,57.9,139.9,79.8,92.5,125.9,162.2,167.7,80.7,100
1944,83.8,61,14.5,128.5,28.2,41.4,101.6,73.7,132.1,196.3,265.4,105.4
1945,114.8,143.3,53.6,33.3,101.3,130.8,150.6,65.5,109.5,141.2,58.9,269
1946,153.4,75.4,105.4,42.7,106.7,114,97,258.3,213.6,102.6,183.4,182.4
1947,174.5,120.7,301,96.3,131.3,167.1,110.2,35.1,100.8,112.8,136.7,107.4
1948,255.8,77,135.1,53.8,54.1,94.5,97,83.6,91.7,200.7,133.1,312.2
1949,61.7,76.7,73.2,89.2,99.8,34.5,87.1,102.6,109.5,138.4,128.8,109
1950,86.6,207.5,86.6,99.8,42.4,119.6,133.1,205.7,187.5,83.3,106.2,108.7
1951,166.6,120.9,105.4,47.8,79,65.3,64.5,149.1,194.1,69.3,179.1,192
1952,149.9,15.2,111,101.9,101.1,82.3,22.9,109.2,38.6,197.9,96.5,124
1953,54.6,64,35.1,89.4,96,42.7,124.7,100.3,160.3,109.5,128.5,127
1954,96.5,161,125.7,39.9,169.4,71.6,78.2,91.4,152.9,230.9,165.6,178.1
1955,143.8,129.3,53.6,120.7,107.4,158,8.1,89.7,67.1,52.1,152.1,191.8
1956,148.1,36.3,137,17.8,53.6,99.1,184.2,128,181.9,79.5,114,230.1
1957,168.4,152.7,229.9,35.1,62,66.8,78,114,261.9,124.7,60.5,165.6
1958,161.3,146.1,156.2,37.6,152.4,144.3,160.5,169.9,290.8,70.4,133.9,172.7
1959,122.9,35.3,145.8,94,88.6,78.2,67.1,54.9,34,197.1,135.1,278.9
1960,142.5,138.4,145.5,94.7,98.3,58.2,171.5,238.8,167.9,158,230.9,171.5
1961,232.9,128.3,24.1,210.6,54.6,50.8,114.6,65.8,139.7,96.8,81.8,86.9
1962,181.9,50.5,140.5,89.7,129,57.4,78.5,136.7,143.5,85.1,91.2,117.1
1963,36.6,118.1,228.3,121.7,58.7,87.6,72.1,120.9,63.5,223.5,176.5,120.4
1964,56.9,150.6,239.3,91.7,124.5,95.5,131.1,166.4,88.6,92.7,75.7,177.5
1965,152.1,13.7,123.4,143.5,126.2,142,77,124.7,116.1,66.3,195.3,270.3
1966,209.2,293.2,50.5,213.4,94.9,96.9,49.2,112.6,118.2,188.7,60.3,95.8
