Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
129000,225600,53.2763903,-9.0636842,14,        University College Galway,Galway,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1912,95.6,96.9,138.8,32.8,45.3,159.4,134.3,99.7,21.6,106.7,135,193.6
1913,180,64.8,176.8,102.8,129.7,91.7,31,29.2,138.4,114.8,136.7,106.7
1914,64.5,171.6,147.9,46.7,72.9,20.6,105,190,81.5,69.1,202.6,206.8
1915,174.4,99,70.4,40.1,84.7,18.1,93.1,82,40.1,86.8,92.8,103.2
1916,82,114.4,56.4,103.2,93.1,69.7,41.5,94.2,62.7,223.9,161.4,133.9
1917,39.8,41.9,66.3,47.4,85.8,94.2,70.8,149.6,135,171.6,84.4,27.2
1918,89.6,155.8,19.9,24.7,68.4,38,86.1,108.7,190.4,118.6,89,127
1919,98,41.2,73.9,48.9,81.5,84.4,38.3,79.9,140.2,49.1,77.4,142.6
1920,149.2,94.9,120.9,91.7,147.2,26.9,149.2,108.5,102.6,87.2,170.9,51.9
1921,125.5,117.7,62.2,21.6,50.8,21,95,86.7,112.4,150.1,111.9,146.9
1922,131.1,137.8,133.7,66.3,99.6,59.5,127,38.5,93.5,126.5,49.7,77.7
1923,89.1,183.7,83.5,73.6,32.4,33.3,101.6,160.6,152.7,152.1,102.5,153.6
1924,112.7,73,70.4,98.7,87.9,106,111.3,117.7,150.4,146.6,144.5,155.9
1925,115.9,158.5,42.9,132.9,146.6,16.3,80.6,77.1,69.5,115.9,87,103.1
1926,154.2,124.2,53.1,100.1,156.8,119.7,108.3,102.5,99.3,120.9,168.8,31.3
1927,141.1,92,123.8,112.7,70.9,75.9,83.5,183.7,44.7,92.3,87,116.2
1928,116.5,119.7,104.3,87,27.1,158.5,117.9,171.1,150.4,187.1,188.6,126.7
1929,65.8,110.7,29.8,56.1,41.2,35.9,151.9,166.5,74.1,151.5,163.5,216.7
1930,160,9.7,91,56.1,40,82.3,109.2,142.2,104.8,212.6,123.5,135.8
1931,87.3,110.1,79.7,53.1,122.9,107.5,107.7,89.1,60.7,96.9,152.1,128.5
1932,122.9,2.9,44.1,80.6,77.4,62.5,132.5,27.1,142.8,120.2,75.3,194.2
1933,132.3,60.5,98.4,48.2,67.5,47,118.3,77.7,32.6,73,108.6,54.3
1934,172.1,10.1,143.6,61.8,107.8,69.2,103,98.7,131,166.6,56.5,140.9
1935,55.3,196.6,40.7,78.9,43.2,45.1,20.8,121.5,181.6,167.7,154.4,64.6
1936,77.4,52.3,66.2,71.7,18.2,109.9,212.8,78,119.2,124.1,136.5,195.9
1937,125.3,202.7,53.3,95.5,79.3,79.9,217.7,107.6,163.7,34.4,74.4,107.8
1938,150.8,62.4,106.9,0.4,157.6,121.9,176.1,75.7,51.7,197.5,236.9,144.3
1939,140.7,98.1,60.8,56.1,35.4,42.2,106.5,43.5,40.7,99.1,222.8,107.2
1940,94.3,155.9,167.3,90,35.6,39.3,51,5.9,63.3,151.4,140.7,143.6
1941,75.7,168.9,84.8,44.5,63.9,28.6,98.7,118.6,36.1,88.6,165.4,92.9
1942,138.8,28.9,73.2,50,95.8,7.2,128,130.3,121.1,92.2,33.5,134.8
1943,157.8,70.2,40.3,50.6,102.7,94.3,62.4,177.6,106.3,165.4,102.7,61.4
1944,148.1,58.8,15.6,84.2,114.1,76.4,96.4,106.5,103.6,142.6,154,121.5
1945,77.6,104,82.9,44.1,140.3,134.2,110.8,69.8,123.8,106.9,54,141.6
1946,128.9,152.1,39.9,41.6,49.4,105.6,54,119.6,172.1,63.9,132.9,114.1
1947,95.2,48.7,142,92.6,73.8,104.6,108.2,25.7,116,92.6,193,99.8
1948,216,101,90,72.4,51.3,100.4,85.1,139.4,159.9,94.9,142.3,255
1949,124.1,134.2,55.5,119.6,72.4,29.3,84.4,94.9,56.1,272.9,153.3,86.5
1950,95.2,156.5,63.9,77,27.6,81.2,166.3,148.1,85.1,131.9,125.3,103
1951,101,57.8,63.3,45.5,49.1,59.7,62.4,160.5,234.6,54.9,131.2,229.1
1952,141.6,56.5,104.2,63.9,70.9,71.7,11.4,102.3,71.5,170.6,66.6,181.9
1953,79.4,67.3,26.5,85,35.3,27.6,160,130.2,91.6,117,124.7,104.8
1954,90.5,160,119.2,38.6,62.9,68.4,124.7,92.7,171,268.1,146.7,171
1955,109.2,93.8,26.5,93.8,103.7,134.6,19.9,46.3,90.5,92.7,69.5,141.2
1956,107,55.2,98.2,29.8,68.4,59.6,156.7,126.9,102.6,107,50.8,203
1957,153.4,131.3,124.7,41.9,50.8,56.3,76.1,61.8,144.5,174.3,51.9,111.4
1958,125.8,140.1,80.5,34.2,107,80.5,131.3,132.4,134.6,93.8,65.1,153.4
1959,72.8,47.4,99.3,93.8,53,53,85,46.3,86.1,176.5,131.3,303.4
1960,129.1,108.1,67.3,99.3,69.5,67.3,149,102.6,125.8,104.8,209.6,153.4
1961,160,143.4,30.9,99.3,85,49.7,171,93.8,93.8,182.1,123.6,104.8
1962,143.4,58.5,89.4,80.5,64,45.2,62.9,105.9,131.3,47.4,87.2,118.1
1963,12.1,47.4,151.2,66.2,83.9,94.9,82.8,91.6,88.3,167.7,157.8,39.7
1964,59.6,46.3,90.5,77.2,123.6,80.5,86.1,105.9,113.6,177.6,114.7,144.5
1965,157.8,9.9,89.4,124.7,94.9,108.1,97.1,93.8,78.3,69.5,118.1,204.1
1966,104.8,141,82.9,142,116.7,108.9,35.7,76.7,99.7,101.7,80.5,128.5
1967,75.9,133.3,96.3,36.5,122.5,53.6,94.4,103.7,137,314.3,79.2,73.8
1968,166.7,36.4,102.1,43.8,63.1,94.1,24.9,122.6,171.6,205.3,138.4,205.9
1969,143.1,50,51.1,75.8,98.2,102.1,38.6,59.6,55.8,105.8,151.4,173.7
1970,56.3,165.9,59.9,142.3,36.1,53.1,99.6,97.8,150.4,156.2,145.2,54.4
1971,106.4,88.9,68.3,30.7,41.9,74.1,66.2,86.1,84.1,119.5,103.5,46.1
1972,126,76.7,110.8,99.5,120.4,67.4,47.6,68.4,7.8,41.2,192,154.7
1973,110.7,94.3,34.6,75.1,104.3,49.1,56.5,164.4,89.5,99.5,164.6,101.4
1974,209.4,115.6,62.9,37.8,55.3,46.5,160.6,128.6,198.5,67.2,124.3,123.5
1975,222.5,56.5,52.4,104.9,21,24.6,122,93,172.2,125,116.2,53.1
1976,194.7,67.5,82.8,41.8,91.5,76.1,85.4,3.8,118.1,149.7,111.8,145.2
1977,94.4,155.2,102.9,130.4,26.5,66.1,54.4,127.5,111.1,143.5,215.9,98.9
1978,108,73.4,140.5,45.9,20.9,50.3,62.4,117.7,103.1,53.8,175,151.5
1979,128.9,60.8,119.9,82.6,130.3,58.6,42.6,120.3,86.8,104.4,172.8,182.5
1980,108.1,123.1,89.1,19.2,34.8,108.7,108.1,125.9,172.3,189.9,153.3,162.4
1981,71.4,88.3,133.8,31.9,191.5,112.2,63.7,77.2,252.7,127.9,83.7,89.5
1982,100.2,108.7,143.3,40.9,88.7,133.1,23.8,131.6,120.2,174.5,200.6,180.1
1983,175.2,46.8,129.6,79,97.5,58.7,41.9,83.9,124.5,144.3,51.1,199.5
1984,205.9,92.9,44.4,67.9,46.5,75,25.2,100.4,146.6,187.8,124.5,144.3
1985,53.6,46.3,109.2,74.9,139.2,49.9,83.7,260.5,152.3,74.1,76.5,142.4
1986,172.5,0.7,156,89.9,180.1,98.6,81.6,156.6,8.6,181.6,171,210.1
1987,47.8,83.6,102.7,68.7,18.8,106.1,42.7,78.2,163.8,132.1,92.2,115.7
1988,194,73.9,142.1,40.2,87.2,51.5,145,145.2,120.8,104.3,73.7,88.8
1989,132.7,150.8,170.1,90.4,25.1,99.8,18.1,121.9,67,218.7,65.4,114.6
1990,160.9,243.2,50.5,71.8,13.7,93.2,85,93.9,33.1,178.4,90.2,165.7
1991,110.8,89,117.8,141.4,18.4,87.3,84.2,86.6,95.3,122.7,113,91.7
1992,135.9,73.8,161.4,148.6,71.6,46.1,102.8,192.3,120.5,65.6,191.5,89.9
1993,157.4,29.4,68.9,110.6,116.7,100.6,91.4,60,87.9,38.4,83.5,247.7
1994,195.4,130.4,176.2,118.4,66.3,78.9,133.7,122.7,95.9,64.4,114.1,219.1
1995,232.6,147.8,111.2,33.6,72.3,37.4,102.7,19.2,59.9,192.9,91.5,59.7
1996,67.1,141.2,89.8,83.4,75.1,32.9,63.4,61.7,45.8,179.7,122.9,45.4
1997,26.2,178.5,39.7,49.3,77.2,112.9,104.4,142.7,92.8,129,100.3,124.2
1998,155.1,64.9,115.8,81.4,39.9,133.5,70.3,139.4,83.5,159,172.8,141.5
1999,170.3,95.9,74.9,68.3,62.2,54.6,75.6,110.3,171.7,58.7,160.1,274.2
2000,88.9,137.5,58.5,67.8,54,60.5,67.5,93.8,140,213.6,165.5,136.1
2001,59.4,63.9,89.2,90.1,41.2,80.8,95.8,101.7,85.2,122.8,103.6,64.9
2002,171.7,233.5,97.2,89.3,140.1,119.2,74.3,99.2,47.2,186.4,211,117.4
2003,86.3,50.2,78.1,62.9,133.4,94.6,156.7,24.6,63.6,53.1,167.6,102.3
2004,128.3,45.2,92.7,82.9,38.1,102.3,70.7,69,157.5,182.5,92.5,132.6
2005,172.5,75.3,72,102.7,128.1,92.3,46.6,110.1,95.7,144,104.1,101.5
2006,75.3,52.2,133.5,58.1,136.4,42.2,62.9,62.7,232.8,148.2,149.3,219.2
2007,160.3,111.5,90.2,24.8,93.8,128.3,162.3,101,62.5,83.5,97.6,198.6
2008,193.5,123.3,140.6,53,21.6,98.3,84.2,240.2,136.7,175.9,114.4,102.8
2009,133.6,24.3,76.1,106.3,127.7,49.2,161.1,215.7,63.9,113.4,329.4,114.9
2010,40,42,84.3,96.4,44.2,52.6,125.6,57.4,165,102,179.2,42.5
