Year,Month,Daily,Max (°F),Min (°F),Max (°C),Min (°C)
1872,9,18,60.9,46.1,16.1,7.8
1872,9,19,59.5,44.6,15.3,7
1872,9,20,56.6,40.6,13.7,4.8
1872,9,21,55.5,36.4,13.1,2.4
1872,9,22,53.4,32,11.9,0
1872,9,23,54.6,39.8,12.6,4.3
1872,9,24,59.6,40.1,15.3,4.5
1872,9,25,51.2,37.6,10.7,3.1
1872,9,26,54,36.5,12.2,2.5
1872,9,27,59.3,43.5,15.2,6.4
1872,9,28,58.5,46.5,14.7,8.1
1872,9,29,56.6,47.3,13.7,8.5
1872,9,30,59.1,44.5,15.1,6.9
1872,10,1,58.8,44.6,14.9,7
1872,10,2,58.8,46,14.9,7.8
1872,10,3,59.7,41.6,15.4,5.3
1872,10,4,54.6,34.8,12.6,1.6
1872,10,5,49,27.5,9.4,-2.5
1872,10,6,47.1,30.6,8.4,-0.8
1872,10,7,57.5,41.4,14.2,5.2
1872,10,8,57,40.6,13.9,4.8
1872,10,9,57.7,43.4,14.3,6.3
1872,10,10,53,31.9,11.7,-0.1
1872,10,11,52.9,36.6,11.6,2.6
1872,10,12,49.6,33.6,9.8,0.9
1872,10,13,51.4,39.4,10.8,4.1
1872,10,14,52.8,28,11.6,-2.2
1872,10,15,53.3,29.6,11.8,-1.3
1872,10,16,49.2,33.6,9.6,0.9
1872,10,17,49.6,34.8,9.8,1.6
1872,10,18,52,35.6,11.1,2
1872,10,19,50.8,38.5,10.4,3.6
1872,10,20,55.6,41.4,13.1,5.2
1872,10,21,54.3,38.5,12.4,3.6
1872,10,22,51.2,34,10.7,1.1
1872,10,23,49.7,34.8,9.8,1.6
1872,10,24,51.8,37.6,11,3.1
1872,10,25,53.4,42.1,11.9,5.6
1872,10,26,53.4,41.4,11.9,5.2
1872,10,27,52.1,32.4,11.2,0.2
1872,10,28,51.9,33.4,11.1,0.8
1872,10,29,53.2,40.1,11.8,4.5
1872,10,30,56.1,46.6,13.4,8.1
1872,10,31,52.6,39.7,11.4,4.3
1872,11,1,58.3,41.2,14.6,5.1
1872,11,2,50.9,36.9,10.5,2.7
1872,11,3,46.3,36,7.9,2.2
1872,11,4,54.4,40.1,12.4,4.5
1872,11,5,57.7,48.4,14.3,9.1
1872,11,6,59.5,49.1,15.3,9.5
1872,11,7,63.3,45.1,17.4,7.3
1872,11,8,54.4,42.1,12.4,5.6
1872,11,9,51.2,41.1,10.7,5.1
1872,11,10,48.9,35.9,9.4,2.2
1872,11,11,43.9,32.6,6.6,0.3
1872,11,12,45.2,29.6,7.3,-1.3
1872,11,13,45.1,24.1,7.3,-4.4
1872,11,14,40.2,22.6,4.6,-5.2
1872,11,15,37.2,27.1,2.9,-2.7
1872,11,16,44.9,27,7.2,-2.8
1872,11,17,41.6,33.1,5.3,0.6
1872,11,18,44.6,37.6,7,3.1
1872,11,19,47.5,32.1,8.6,0.1
1872,11,20,48.7,37.8,9.3,3.2
1872,11,21,49.6,37,9.8,2.8
1872,11,22,46.7,35.6,8.2,2
1872,11,23,54.6,37.9,12.6,3.3
1872,11,24,50.8,39.5,10.4,4.2
1872,11,25,47.6,43.5,8.7,6.4
1872,11,26,51.2,31.1,10.7,-0.5
1872,11,27,51.7,42.6,10.9,5.9
1872,11,28,51.8,31.9,11,-0.1
1872,11,29,43,33.1,6.1,0.6
1872,11,30,48,36.5,8.9,2.5
1872,12,1,47.8,40.1,8.8,4.5
1872,12,2,45.7,41.5,7.6,5.3
