Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
167336.07,64387.09,51.831302,-8.4745107,154,Cork Airport,Cork,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,169.5,50,106.9,86.6,104.7,54,7.1,54,129.5,163.2,117.7,34.9
1914,55.1,184.7,152.4,39.2,40.1,25.2,85.7,108,87.8,43.2,93.2,306.6
1915,105.8,226.1,22.8,47.7,76.3,64.6,153.2,55.5,56.6,167.4,100.6,199.2
1916,58.3,122.9,66.8,92.8,83.2,86.6,71.1,107.5,32,261,258.4,84.1
1917,113.4,41.4,95.2,32,115.5,50.6,44.9,186.9,36.9,100.4,30.8,76.1
1918,141.2,174.9,105.4,49.4,78.5,31.7,126.6,72.4,183.2,96.9,92,203.5
1919,132.7,105.2,70.3,37.1,148.1,18,42.5,89.5,61.4,14.6,54.4,130.3
1920,169.8,47.7,118.4,158.3,153.2,92,113.2,65.2,76.1,113.2,118.9,146.3
1921,73.5,73.1,83.2,15.4,47.5,0.6,107.8,102.6,38.6,82.9,147.5,52.6
1922,184.1,126.4,63.5,85.2,47.7,22.8,91.7,111.7,98.6,56,52.9,124
1923,54.9,243.9,113.2,122.3,27.5,4.1,67.7,153.8,84.6,137.5,98.9,64.9
1924,229.8,84.8,37.5,69.8,103.4,105.8,108.9,61.4,167.4,120.6,170.4,213.8
1925,161.3,127.2,6.3,157.5,124.3,18,79.2,86.6,75.2,151.8,70.9,118
1926,262.4,135.5,42.9,86.9,82,65.2,47.7,71.5,14.6,82,177.2,13.7
1927,135.7,76.1,136.9,34.5,68.1,73.5,124.3,105.2,97.8,99.5,118.6,240.9
1928,154.1,97.8,209.5,161.8,74.3,160,28.9,144,64.6,183.2,152.4,160.4
1929,63.7,233.3,25.4,41.7,115.8,34.5,122.7,61.8,23.4,92,197.5,308.1
1930,202.1,29.5,196.7,59.8,47.7,61.4,79.8,153.2,129.2,146.3,150.3,113.4
1931,47.7,74.8,229,77.8,124.6,93.5,78,135.5,24.9,33.4,281.5,64.3
1932,148.3,4.8,90.9,70.9,121.2,39.7,76.3,65.2,67.2,108.4,47.5,233.5
1933,102.3,64.3,79.4,73.7,130.6,45.5,57.2,46.9,45.5,59.8,77.8,47.5
1934,133.5,9.1,133.5,100.6,56.6,46.6,62.9,94.6,170.9,100,38,255
1935,24,84.3,44,94.6,20.3,151.8,14.3,76.6,194.3,60,130.9,122.7
1936,214.7,173,91.7,45.1,39.5,44.3,162,16.5,82.4,43.8,98.9,139.8
1937,258.4,122.9,171.2,100,55.5,19.5,91.7,50.9,86.1,70.9,102.1,70.6
1938,131.2,88.9,43.4,2.8,128.1,79.4,113.4,52.9,77.4,138.3,170,124.3
1939,162.9,125.2,83.7,59.4,30.8,50.9,120.1,45.1,47.1,129.5,257.2,82.6
1940,116.6,226.6,78,100.4,62.6,25.8,68.3,6.3,34,205.5,186.7,121.2
1941,137.5,114.9,114,40.6,66.8,48.8,66.6,58.9,38.3,74.6,280.4,56.6
1942,134.9,47.7,142.9,68.1,149.8,23.2,64.4,117.1,53.1,26.3,19.7,187.5
1943,252.1,53.8,25.4,48.1,114.3,51.2,55.5,86.3,109.7,199.2,51.4,63.5
1944,105.2,18.6,13.2,96.7,12.8,38,142.9,48.8,134.9,157.2,192.3,117.5
1945,97.2,119.2,38.8,38.8,70.3,66.1,131.2,70.3,92.9,128.3,61.4,160.4
1946,134.6,53.8,83.2,22.3,102.3,99.5,64.4,158.9,134.6,123.8,177.8,150.7
1947,200.1,145.2,256.9,115.5,130.3,107.5,80.6,33.4,68.3,83.2,132.7,106.9
1948,219.2,71.5,82.6,60.9,34.3,76.9,72.4,90.4,52,219.8,130.1,330.4
1949,37.5,71.8,26,105.4,77.2,35.8,54.4,80.3,97.9,174.6,93.4,67.2
1950,104.9,183,69.2,59.6,23.6,45.1,89.1,153.5,147.8,50.3,110.3,111.4
1951,145.2,126,80.6,59.8,69.8,71.1,37.1,125.8,194.1,86.3,185.2,197.8
1952,100.6,9,89.1,64.1,62,36.6,18,96.7,19.1,194.3,112.3,81.7
1953,40.6,44.6,23.6,92.9,96.7,31.5,96.9,64.9,173,122.9,76.6,104.3
1954,111.5,106.9,119.5,20.3,100.9,56,50.6,66.8,144.4,147.5,136,124.9
1955,127.7,88.9,59.2,86.6,86.3,146.9,1.1,84.3,60.3,37.5,183,182.4
1956,130.9,16.3,225.5,12.6,43.4,87.4,113.2,92.9,190.4,52.9,95.2,196.9
1957,139.8,126,172.6,22.6,63.5,43.8,66.8,77.8,231.2,94.9,39.7,114.7
1958,188.4,137.5,194.9,18.9,138.1,130.3,134.6,152,187.2,46.2,68.9,125.6
1959,127.8,25.4,136.1,86.6,87.6,63.2,35.6,30.7,18.5,141,106.7,227.3
1960,123.4,115.6,141.7,72.4,81.3,46.2,114.3,108,151.6,175.8,201.4,97.5
1961,244,88,4,183,35,44,53,45,142,128,79,102
1962,154,28,113,69,81,50,92,99,124,51,95,88
1963,33,96,213,119,48,46,77,104,40,149,202,112
1964,36,166,234,83,107,90,72,135,76,80,74,152
1965,142,6,134,106,92,129,98,79,94,37,205,203
1966,203,304,34,235,81,102,23,90,81,232,42,81
1967,124,135,33,18,138,33,99,103,147,159,56,65
1968,96,64,71,93,80,60,56,78,154,153,186,174
1969,275,54,79,71,118,84,29,38,51,41,111,102
1970,220,93,35,72,34,57,86,48,111,36,216,40
1971,162.1,34.4,47,56.1,43.6,66.5,94,112.6,56.6,128.5,55.6,71.4
