Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
284100,118400,52.3111802,-6.7710795,71,Foulkesmills,Wexford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,218.9,66.5,89.6,110.2,137.8,45.1,7.5,32.5,96.1,145.4,112.4,48.8
1914,52.8,132.6,103.6,40.1,40.4,34.5,101.3,126.5,42.2,68.3,95.5,262.4
1915,65.5,127,38.1,37.1,63.2,43.9,148.3,62,41.9,162.8,74.2,192.3
1916,56.6,132.1,55.4,67.1,108,82.6,38.4,41.9,53.8,205.7,128.5,62
1917,79.5,29.5,76.5,46,78,43.2,53.3,200.4,48.5,78,65,64.3
1918,107.4,108.2,56.4,42.7,58.7,67.1,88.4,63.8,215.9,118.1,89.9,142.2
1919,119.6,97.8,78.2,30,80.3,49.8,28.2,98.8,59.2,20.3,58.9,159.8
1920,115.3,52.8,119.9,115.1,76.5,40.6,128,84.1,53.8,179.8,77.7,114.8
1921,87.6,44.7,90.9,20.6,59.4,1.8,86.4,144.5,26.4,77.5,146.6,46.2
1922,110.2,77.2,46.2,78.7,41.1,41.9,97.3,135.6,77,27.4,38.4,89.2
1923,38.9,180.3,75.7,104.4,31.5,14.5,83.6,142.5,83.8,115.3,71.4,69.6
1924,203.5,30,29,80.3,83.8,102.4,119.1,80.5,188.5,106.2,106.4,188.7
1925,132.8,118.6,19.6,101.9,106.4,9.9,59.2,80.8,62.7,136.1,68.8,63
1926,236.5,96.8,29.7,70.1,52.1,61,91.4,96.5,41.1,86.1,165.9,24.6
1927,91.9,72.4,113.8,39.4,50.8,117.3,102.6,152.9,96.8,96.3,111.8,151.9
1928,143.5,76.2,166.4,75.9,68.3,175,46.7,140,32.5,212.9,150.1,122.2
1929,62.2,225,36.6,29.2,118.1,63,80,77.2,40.4,107.4,200.4,258.3
1930,168.7,33.8,151.9,54.6,80,54.4,72.1,140.5,118.4,160.8,130.6,130
1931,68.8,66,112.5,69.6,128,74.4,95.3,79.8,94.7,42.4,257.6,84.8
1932,113.3,8.4,46.7,56.4,122.4,42.9,103.1,52.1,58.2,137.7,54.9,180.6
1933,88.6,104.6,96.5,44.7,86.9,70.1,61,27.9,46.5,148.8,48.3,62.5
1934,85.6,7.1,85.3,84.3,87.4,40.4,21.1,96,163.3,103.6,34.5,222.5
1935,18.5,82,45.5,81.3,32,173.7,27.2,28.4,177.8,86.1,125,87.4
1936,199.1,100.1,95,39.6,28.7,96.3,162.6,28.7,96.3,40.9,107.7,122.7
1937,175.3,137.7,116.3,88.1,39.1,54.9,96,36.1,106.2,70.9,92.7,60.2
1938,109.5,48.3,27.4,2,101.3,110.2,162.1,63,85.6,158.5,164.8,133.4
1939,152.9,110.7,56.1,48.3,25.7,53.1,153.2,48.8,86.1,82.3,170.9,77.5
1940,164.3,165.9,74.2,83.8,36.1,33.8,57.9,2.5,29.2,219.2,148.8,98.8
1941,161.6,120.9,81.2,33.4,68.9,15.1,71.3,57.2,19.5,90.7,213.6,36.1
1942,154,28,117.2,55.5,89.8,8.5,73,102.5,106,39.1,14.9,154.3
1943,220,36.7,35.8,44.3,106.3,55.4,74.6,101.5,103.3,133.7,56,64.8
1944,115.9,33.1,10.5,82.1,18.4,32.8,100.5,46.4,126.7,132.6,158.1,117.3
1945,126.7,112.7,30.6,33.7,89,118.8,81.4,88.2,82.1,91.5,34.2,134.9
1946,133.4,44.7,71,36.7,83.7,90.8,67.4,150.6,154,75.8,147.1,137.9
1947,165.4,87.9,242.2,79.6,125.1,170.6,89.5,24.6,54.6,34.2,94.7,97.7
1948,251.4,72.7,57.7,37,51.8,81.1,60.9,102.9,66.9,93.4,99,182.7
1949,40.4,43.7,53.9,69.9,53.8,20.6,44.9,95.6,41.3,148.8,84.5,55.2
1950,45.2,132,62.6,82.1,25.3,58.3,88.9,153.1,154.7,84.7,77.4,90.4
1951,148.6,93.6,91.3,45.3,59.9,36.2,27.4,164,135.8,31.4,169.9,138.6
1952,85.2,13.1,75,90.8,68.9,53.8,28.4,101.7,41,145.3,73.6,75
1953,29.1,44.9,20.1,90.7,65.5,39.5,134.4,76.9,87.7,80.6,103.3,70.6
1954,59.5,96.2,94.7,33.2,117.9,44.8,58.4,57,107.7,127.4,156.2,83.7
1955,136.1,96.8,54.7,54.4,74.1,136.9,10.9,41.2,62.8,45.4,107.5,156.6
1956,119.4,31.3,60.9,16.2,37.6,88.4,119.7,147.2,144.3,38.8,55,169.3
1957,93.5,89.1,151.1,26.8,53.7,67.8,76.6,101,226.8,105.3,47.3,110.3
1958,119.7,104.9,90.3,35.9,153.6,117.7,122.3,142.7,153.2,43.9,84.5,125.4
1959,102.2,24.4,91.8,65.8,47.8,48.4,39.2,13.2,17,134.5,112.8,186.5
1960,91.6,89.6,93.2,77.7,49.8,48.8,138.3,110.4,120.6,207.3,190.7,102.8
1961,147.9,85,4.3,162.9,44.9,41.1,83.7,52.9,104.9,116.3,72.3,92.7
1962,95.7,16.7,108.3,36.4,76.1,40.2,101.3,104.3,122.6,39.9,75.7,74.7
1963,24,99.7,131.1,93.7,56.7,64.3,51.2,96.2,61.1,108,196.9,54.6
1964,25.5,67.9,158.1,71.8,66.2,97.1,59.4,95.1,54.3,40.7,48.3,117.8
1965,98.2,4.7,91.7,62.9,62.9,119,115.3,64.2,110.9,50.2,173.6,148.4
1966,131.6,196.4,37.2,188.9,63,100.4,45.4,90.5,85.3,226,72.8,46.5
1967,67.4,100.6,26,30.5,160.5,13.9,92,84.9,126.6,149.7,81.3,39.1
1968,100.4,39.8,57.6,84.6,48.5,51.6,38.4,66.9,155,120.9,147.5,138.9
1969,192.6,32.5,85,53.2,114.3,37.9,63.5,43.2,19.8,20.7,98.5,96.7
1970,164.2,79.5,41.8,64.6,13,29.4,91.7,80.5,90.4,22.7,173.6,48.8
1971,106.3,30.1,57.7,47.1,52.7,67,64.6,89.9,27.4,72.8,50.9,81.6
1972,171.7,113.5,67.2,50.4,95.5,66.6,64.7,34.4,9.8,79.4,121.7,124
1973,86.9,43.1,22.3,35.2,125.6,19.5,39.8,95.8,119.9,65.2,104.3,109.4
1974,187.4,96.1,52.6,28.1,106,34.2,51.7,79.7,181.4,41.6,75.6,43.7
1975,105.6,57.6,43.2,50.5,21.5,23.1,34.9,45,87,102.3,66.3,20.8
1976,66.8,45.6,91.1,24.2,63.1,27.6,64.1,16.3,94.9,192.7,88.9,84.3
1977,118.2,193.6,102.3,58.8,23.4,56.7,27.8,112.6,58.6,222.6,73.7,177.4
1978,86.6,145.8,75.5,63.4,26.4,39.8,77.5,148.8,15.7,52.4,66.3,241.9
1979,77.7,98.6,88.1,54,95.1,35.9,26.2,104.7,51.3,186.8,79.4,149.9
1980,160.6,144.3,102.3,21.3,33.3,71.6,119.4,138,103.8,143.6,85.3,76.1
1981,23.7,75.8,199.9,34.6,134.3,70.3,21.6,19.5,130.7,83,75.7,135.4
1982,106.5,104,83.8,39.9,54.9,143.6,18.1,53.6,137.6,164.4,180.3,107
1983,86.9,74.2,84.7,77.6,123.4,45.1,17,139.6,118,104.7,37.4,123.5
1984,140,67.7,58.8,61.1,25.1,21.2,22.3,56.6,102.8,117.8,170,89.2
1985,84.4,109.5,104.2,52.4,51,72.3,51.4,142.4,55.5,46.3,141.7,121.7
1986,106.9,4.7,106.3,64.2,76.2,133.9,58.6,162.9,3.1,79.2,109,157.1
1987,79.8,82.1,90.4,104.8,23.9,91.2,19.1,63.8,106.1,181,85.4,111
1988,209.7,54.8,67.5,77.6,115.2,46.6,160.6,124.3,31.3,135.8,54.3,37.3
1989,63,72.4,129.4,75.9,6.6,62.9,22.9,68.4,62.6,111.5,71.7,155.3
1990,103.5,135.4,13.3,21,27.9,80,45.8,42.9,39.5,144.8,80.8,92
1991,90.9,89.2,96,88.7,2.7,85.1,58.2,24,94.4,156.1,61,39.3
1992,34.2,53.5,68.2,75.7,37.7,54.9,81,107.9,109,25.7,106.8,86.4
1993,102.1,31.7,54.8,76.5,220.6,78.8,73.1,37.1,169.2,72.1,113.4,129.1
1994,130.8,159,107.4,79.1,66.2,29.3,126,81.1,69.3,75.3,105.9,96.2
1995,129.7,112.2,62,23.3,57.9,11.6,46.6,10.2,66.2,98.4,125.8,146.4
1996,223.6,74.6,135.6,113.3,47.2,39,57.8,94.5,20.2,132.1,95.3,41.2
1997,25.7,74.5,10.9,34.4,85.9,121,48.5,239,48.8,72,182.6,97.9
1998,151.2,15.6,91.6,113.5,46.6,144.1,44.6,35.1,71.2,103.3,129.9,108.8
1999,95,34,33.1,86.2,71.3,29.5,23.2,74.6,148.9,57.3,61.7,125.2
2000,49.1,81,16.5,73.2,73.4,35.7,58.4,56.1,100.5,185.5,178.6,175
2001,73.1,89,107.8,89.2,22.2,46,98.2,69.9,60.7,138.1,26.3,52.6
2002,135.5,118.7,43.4,146.5,108.9,86,41.9,54.1,11.6,269.7,191,146.6
2003,83,60.8,41.5,101.7,98.3,102.4,100.6,11.2,60.5,79.7,113.8,95.9
2004,128.4,58.6,65.2,46.1,36.2,73.8,37.2,133.3,82.8,172.5,35.2,55
2005,85.9,36.3,83,124.6,72.2,38.5,91,26.5,68.7,228.9,96.1,51.4
2006,52.9,46,143.2,24.7,139.4,24.9,45.5,88.3,168.3,171,136.3,145.1
2007,66.9,114.5,50,35,38.6,165.2,127.8,129.6,43.6,37.4,55.7,79.3
2008,112.7,30.4,58.6,52.9,48.3,129.7,143.5,139.6,76.5,162.7,54.2,56
2009,109.7,28.4,26.2,126.3,72.7,71.4,215.5,136.4,45,162.1,199.5,141.2
2010,129.4,60.9,74.5,40,87.1,59.4,125,20.1,106,86.1,124.6,76
