Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
319700,186000,52.916983,-6.226596,131,Rathdrum,Wicklow,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,223,60.6,94.8,120.7,154.1,49.9,9,33.2,107.9,176.6,158.4,41.7
1914,46.9,136.1,130.9,41.7,59,31.5,81.1,102.4,62.5,66,140.4,265.3
1915,92.1,184,39.2,46.7,93.3,41.6,139.2,77.2,37.1,163.3,76.7,187.2
1916,71.4,142.8,117.1,55.9,118.9,83.3,41.3,63.3,71.6,181.4,194,124.5
1917,59,10.8,115.2,32.7,115.2,58.1,48.2,252.2,57.8,122,84.6,82.7
1918,132.9,148.2,65.8,63.3,81.5,46.8,109,59.8,197.8,120.3,128.9,172.8
1919,152.4,98.5,82.3,53.7,73.3,63.1,23.2,69.9,61.6,44.3,84.9,204.7
1920,144.8,57.1,148.3,127,110.3,37.4,177.3,88.5,27.6,267.6,111.6,123.1
1921,99.2,38.6,115.8,6.3,60,5.2,116,145.4,26.3,106.6,162.3,52.6
1922,147.7,63.8,60.7,134,44.3,36.2,64.7,171.1,92.9,30.3,53.6,138.7
1923,56.4,221.3,72.2,74.7,37.3,42.4,80.7,202.7,100.9,143.3,90.3,91.5
1924,262.2,35.1,19.5,111.7,118.3,94.1,107.7,140.5,199.2,90.6,137.6,172.9
1925,140.3,105.6,17.2,104.9,140,5,55.3,61.1,63.4,115.2,120.3,74.8
1926,264.7,73.5,37.1,32.1,94.5,66.6,57.8,93.5,38.9,88.6,168,18.8
1927,75.8,110.2,151.8,41.3,61,101,106.5,127.1,74.6,107.4,103.6,129.5
1928,166,103,300.8,98.7,40.8,168.8,38.1,129.6,19.1,185.5,201.3,140.6
1929,87.4,142.4,29.8,20.5,98.7,44.9,57.6,101.7,26.6,125.1,233.3,294.5
1930,193.5,58.3,167.9,66.6,82.7,35.4,96.5,164,143.6,191.7,140.9,130.5
1931,88.1,70.7,150.4,128.8,175.2,114.4,84.3,97.2,133.7,39.2,229.5,65
1932,122.8,10.3,68.9,93.1,161.7,42.1,175,71.1,58,103.6,52.3,218.2
1933,86.1,130.3,100.9,66.6,120.3,45.4,54.8,21.7,75.4,133.7,48.6,103.6
1934,133.4,4.1,121.2,105.2,82.9,51.9,18.4,133.9,201.6,106.6,92.9,262.4
1935,34.9,136.2,55.1,93.3,51.7,147.6,25.7,41.1,117.8,93.7,156.5,121
1936,236.1,109.2,153.8,108.8,49.2,92.5,184,37.9,114.9,41.6,114.9,74
1937,295.2,171.4,201.6,140.3,64.1,34.4,53.1,43.4,93.4,88.3,84.3,78.1
1938,59.4,123.6,24.5,3.1,71.4,89,141.1,68.8,77.3,194.1,181.7,220.2
1939,164.2,114.3,95.9,69.4,40.2,71.8,112.2,53.1,55.6,145.8,229.2,66.6
1940,144.2,153.1,91.7,112.5,25,20.9,93.5,4,49.4,282.9,172.6,149.3
1941,247.7,118.7,129.2,67.3,82.4,9.2,79.3,96.2,41.9,93.7,246.2,46
1942,184.7,26.4,131.7,77.7,164.7,8.9,88.7,99.3,134,55.7,28.5,252.9
1943,242.2,35,29.6,45,115.7,56.3,48.4,81.4,106.1,119.7,74.4,92.7
1944,106.1,47.4,10.9,99.2,38.1,38.5,101.5,45.9,159.4,134.3,202.8,167.3
1945,79.8,112.5,21.2,47.5,70.3,86.3,106,66.5,85.9,94.4,26.4,173.8
1946,142,114.7,80.9,42.4,104.2,104,53.2,241.4,187,113.4,213.7,137.3
1947,193.8,103.8,299.3,132,172.8,118.5,85,62.2,55.1,35,126.2,162.5
1948,263.4,60.2,81.9,85.6,91.4,87.7,64.6,113.1,81.8,63.1,70.3,222.4
1949,52.1,48.1,54.4,65.2,49.7,43.6,53.8,119.2,71.5,165.3,95.1,100.4
1950,57.9,182.7,71.8,79.9,50.4,43.2,75.8,177.2,158.9,86.8,113.5,80.5
1951,147.9,127.1,129,43,108,39.2,57.4,153,131.3,45.8,237.4,171.2
1952,123.2,9.2,52.8,72.9,62.8,48.1,36.7,117.1,102,208.3,150,75.1
1953,26.8,44.2,9.6,88.2,95.1,42,96.5,77.3,101.5,99.9,93.6,75.7
1954,62.2,112.4,155.3,15,153.9,53.9,50,72,116.3,164.3,239.4,160.6
1955,151.2,143.2,57.8,54.7,100.2,174.8,12.7,35.1,53.2,53.6,134.5,186.5
1956,119.8,33,105.2,57.6,29,84.4,99.4,146.4,154.5,58.5,50.7,204.8
1957,92.5,130.2,118.9,12,84.6,33.7,87.8,86.5,219.8,74.2,91,97.9
1958,150.9,144.4,80.5,28,146.2,231.4,114.7,143.5,180.5,67.7,71.8,165
1959,91.9,23.8,122.6,86.4,88.6,37.5,53.9,45.1,18.1,162.5,145.3,260.4
1960,130.5,136.4,154.5,109.8,75.7,48.9,144.8,88.6,157.2,366.4,200.8,99.3
1961,166.2,79.3,5.6,191.7,38.8,42.7,43.5,48.9,110,126.9,65.8,121.6
1962,119.6,58.4,98.6,78.3,102,37.8,113.2,84.5,159.5,33,82.2,87.2
1963,58.2,137.3,194.9,102.9,74.6,81.4,50.8,128,58.5,114.6,242.2,74.6
1964,38.9,93.6,253.1,83.1,73,116.8,48.4,90.9,60.4,91.9,47.8,154.2
