Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
96943.4,84115.38,51.999994,-9.5012707,54,Killarney,Kerry,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,267.1,110.4,183.7,127.3,141.2,99.2,21.6,51.2,137.8,205,215.1,132.8
1914,149,310.8,255,72.2,45.7,49.5,117.8,144.9,118.4,97.5,138.3,378.6
1915,155.5,287.2,31,84.8,64.4,56.6,124.5,94.6,74.1,151,150.3,261
1916,119.3,216,56.4,178.3,115.9,93.2,55.2,85,69.3,403.1,322,140.4
1917,90.6,46.3,88,64.1,84,79.7,92.3,326.6,43.7,218.8,62.4,113.9
1918,273.5,214.7,89.4,41.7,61.8,73,117.8,83.1,218.2,213,130,274.8
1919,171,67.8,106.6,85.7,101.8,39.7,69.6,79.7,90,48.6,114.1,205.9
1920,244.1,86.6,171.4,185.8,116.1,59.8,109,57.8,124.2,128.8,174.6,167.9
1921,151.8,95.4,167.9,26.7,65.3,1.7,109,146.9,54.1,109,125.1,111.8
1922,211.3,213.9,130.5,95.2,68.5,60.1,119.3,112.2,107.5,29.9,71.5,218.8
1923,102.1,300.2,68.1,145.5,94.3,21.6,72.2,165,194.4,189.7,164.7,132.8
1924,185.4,92.3,51.2,87.2,112.2,149.8,104.9,163,212.5,126.6,118.2,312.2
1925,272.8,189.7,29.3,165,134.8,7.8,141.2,108.1,124.2,191.8,82.9,145.8
1926,271.7,140.4,60.9,104.9,103.2,112.7,73.9,97.5,67.2,85.1,208.5,44.6
1927,261,85.1,207.8,37.1,46.9,147.5,110.9,206.1,181.1,139.1,162.2,135.2
1928,274.3,139.5,153.3,148.4,37.1,123.4,52.1,131.4,101.5,223.7,190.3,174
1929,41.7,134.8,22.8,48,80.5,50,188.6,90.3,28.2,149.5,209.1,353.4
1930,353.6,14.4,215.6,80.5,57.5,85.1,69.6,157.6,144.1,229.5,162.4,184.1
1931,113,136,90,57.5,124.5,145.8,118.2,136.6,73.6,66.1,346.5,124.2
1932,265.7,2.3,139.1,123.6,90,74.7,121.3,75.3,76.7,130.3,69.8,253.9
1933,167.1,76.7,152.4,54.3,110.4,77.9,89.1,92.3,52.1,106.4,79.9,67.8
