Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
261478.55,116752.28,52.2994333,-7.0995223,42,Waterford,Waterford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,192.9,48,64.5,95.6,101.1,45.3,7.8,23.3,65.3,146.9,92.3,28.3
1914,19.8,118.8,93.3,34,49.3,15.5,77.3,114.3,37.5,36.8,67.6,214.9
1915,47.8,109.8,18.8,27.5,40.8,31,140.6,68.8,40,102.8,50.8,157.9
1916,59.3,99.3,28.3,41.5,65,50.8,56.8,51,50,139.6,122.6,82.8
1917,50.8,31.3,78.1,24.8,79.1,19.3,46,175.6,32.8,58.3,46,50
1918,97.3,115.1,45.5,28.5,57.5,38.5,87.8,49.3,133.1,96.1,76.6,116.6
1919,79.6,80.8,62,28.3,82.1,54.8,30,53.8,32,8.3,31.3,126.6
1920,116.3,44,74.8,71.3,99.8,58.5,170.9,85.8,24.8,181.6,89.1,117.8
1921,99.6,69.3,93.8,13.5,48.5,1.3,129.8,126.1,33.8,85.6,119.6,53.3
1922,135.9,79.1,36.5,86.3,28.8,28,82.8,115.1,101.3,28,53.8,108.8
1923,59,227.4,82.8,123.6,27,14.5,48.5,126.1,80.1,86.6,22.5,63.8
1924,184.6,50.8,35.3,65,90.6,97.8,83.8,85.3,155.9,91.1,104.1,173.1
1925,123.2,105.1,11.1,84,115.5,22.5,56.4,91.5,66.1,110.6,62.9,63.7
1926,221.2,78.9,24.7,54.5,51.6,53.5,88.1,90.5,21.1,52.3,146.4,23.7
1927,81.8,56.2,117.9,37.5,47,88.4,158.1,119.8,84.5,70.9,92,143.1
1928,98.3,63.4,141.8,57.6,50.6,139.4,26.6,119.1,37.3,190,136.8,100.7
1929,65.6,219.3,25.7,40.4,106.3,60.3,83.3,57.6,33.6,93.2,174,205.3
1930,146.4,45.3,146,37,41.9,43.8,59.5,120.5,108.9,151.8,115.7,115.2
1931,55.2,64.9,113.5,63.2,123.5,66.6,80.4,74.3,78.7,33.6,245.7,55.9
1932,102.6,8.5,53,43.6,97.8,51.8,77.9,51.6,39,121.8,46,193.9
1933,89.8,92.7,87.6,44.8,87.6,54.7,52.8,24.7,54.2,95.9,37.5,56.4
1934,85.2,7,77.7,81.3,68.5,34.4,17.7,109.7,147.4,79.6,30,207.7
1935,15.2,73.6,37.5,85,16.9,116.4,20.8,24.9,163.1,71.7,118.6,77.2
1936,164.6,110.6,82.8,42.8,35.1,66.8,154.2,23.2,71.2,34.4,71.9,104.1
1937,155.6,120.1,122,83.5,41.4,39.9,105.1,44.8,94.2,75.3,76,60.8
1938,94.6,55.7,19.4,0,104.3,88.8,139.9,85.4,78.9,120.1,152.7,116.7
1939,113.8,95.4,46.7,28.6,24.4,59.1,139.2,47.2,77.9,87.1,151.3,66.6
1940,101.2,134.6,56.9,76.2,54.2,30.7,70,4.1,32.2,200.9,173.6,89.6
1941,160.5,89.7,61.7,23.4,61.2,20.6,54.1,50.8,28.4,73.9,176.5,36.8
1942,134.1,25.4,105.4,50.3,114.6,7.6,61.5,133.4,75.7,30,8.9,134.4
1943,213.4,33.3,38.1,36.6,86.9,48,57.4,80.3,99.3,129.5,39.4,62.5
1944,79.5,20.1,10.7,80.8,16,46.2,84.8,62.2,113.3,125.7,148.3,122.7
