iter	RMSE
0	0.3441799494
1	0.3419516702
2	0.3397410793
3	0.3375393436
4	0.3342274877
5	0.3320284924
6	0.3298292337
7	0.32658588
8	0.3245159551
9	0.3224330086
10	0.320441774
11	0.3184453927
12	0.3164166698
13	0.3143926705
14	0.3113679629
15	0.309373822
16	0.3074313628
17	0.3054569857
18	0.3025012232
19	0.3005808227
20	0.2976835163
21	0.2948254691
22	0.291940663
23	0.2891698285
24	0.2863232057
25	0.284570261
26	0.2828482967
27	0.2810192668
28	0.2783626257
29	0.2757231478
30	0.2740054484
31	0.2713628416
32	0.2696441952
33	0.2679979906
34	0.2663217926
35	0.2646844688
36	0.2630613744
37	0.2614354325
38	0.2598110907
39	0.2582657777
40	0.2558251691
41	0.2542356447
42	0.2526973713
43	0.2511827474
44	0.249680351
45	0.2473049037
46	0.2449512106
47	0.2426175915
48	0.2411715902
49	0.2397431657
50	0.2374543049
51	0.2360605556
52	0.2346388702
53	0.2332107907
54	0.2317856192
55	0.2303496003
56	0.2290146487
57	0.2276206696
58	0.2255390899
59	0.2235025266
60	0.2221653953
61	0.2207658976
62	0.2194342356
63	0.2173452227
64	0.216014046
65	0.2140798334
66	0.2128219723
67	0.211616936
68	0.2096839523
69	0.2077976054
70	0.205873596
71	0.2046273601
72	0.2034114167
73	0.2022132958
74	0.2010343093
75	0.1998335252
76	0.1986560529
77	0.1975328153
78	0.1963586354
79	0.1952086975
80	0.194012952
81	0.1928258276
82	0.1916765276
83	0.1905440472
84	0.1893578731
85	0.1881812443
86	0.1865427297
87	0.1848004652
88	0.1837314822
89	0.1825877301
90	0.1815086436
91	0.1804981871
92	0.179443654
93	0.1778203315
94	0.1767758668
95	0.1756958397
96	0.1746867692
97	0.1736333329
98	0.1726356996
99	0.1710501386
100	0.1700432696
101	0.1685312087
102	0.1675412357
103	0.1660498707
104	0.1651098443
105	0.1636496437
106	0.162220372
107	0.1612453323
108	0.1598875829
109	0.1584972542
110	0.1571017754
111	0.1562163107
112	0.1548182032
113	0.1538868241
114	0.152995865
115	0.1516410621
116	0.150798096
117	0.1499733761
118	0.1490790021
119	0.1482080068
120	0.1473656037
121	0.1465347813
122	0.1456845771
123	0.1449206648
124	0.1440148693
125	0.1431708604
126	0.1424024522
127	0.141177333
128	0.140365627
129	0.1391180043
130	0.1379644048
131	0.1367671465
132	0.1360017817
133	0.1352614989
134	0.1341914572
135	0.1334377925
136	0.1326346602
137	0.131864623
138	0.1307894506
139	0.1300835318
140	0.1293391201
141	0.1286304272
142	0.1275785378
143	0.1269086111
144	0.1261337289
145	0.1254774228
146	0.124785845
147	0.1241217929
148	0.1234601959
149	0.1227961844
150	0.1220946714
151	0.1213665981
152	0.1207268535
153	0.1200974563
154	0.118996311
155	0.1183519645
156	0.1174145504
157	0.1167822557
158	0.1161714259
159	0.1151934472
160	0.1145889738
161	0.1139783433
162	0.1130782016
163	0.1125180962
164	0.1118969471
165	0.1109953577
166	0.1103752653
167	0.1097803587
168	0.1091391263
169	0.1086215893
170	0.1077027398
171	0.1067616039
172	0.1061794713
173	0.1056017958
174	0.1050437396
175	0.1044309667
176	0.1038919265
177	0.1030010053
178	0.1021571958
179	0.101628742
180	0.1008156265
181	0.1003059817
182	0.09980695312
183	0.09900552881
184	0.09842064687
185	0.09766328817
186	0.09688717261
187	0.09639110031
188	0.09587470051
189	0.09538030808
190	0.09462781987
191	0.09414932862
192	0.09369543001
193	0.093169058
194	0.09245132291
195	0.09172530962
196	0.09108003486
197	0.09041290901
198	0.08995676842
199	0.08945096705
200	0.08873692141
201	0.08830758934
202	0.08790126911
203	0.08741356387
204	0.08697057004
205	0.08654712209
206	0.08614762361
207	0.08548958709
208	0.08507375514
209	0.08467447593
210	0.08408912842
211	0.08371853827
212	0.08327932432
213	0.08271308671
214	0.08213150179
215	0.08155489204
216	0.08116876459
217	0.08077636716
218	0.08011590237
219	0.07975335084
220	0.07941361116
221	0.07904889013
222	0.07854768075
223	0.07817537673
224	0.07779357268
225	0.07732585937
226	0.07669750696
227	0.07612636396
228	0.07579535151
229	0.07546935683
230	0.07483336245
231	0.07445970406
232	0.07391400655
233	0.0734125078
234	0.07307425999
235	0.07270524837
236	0.07230193829
237	0.07196517563
238	0.0716533846
239	0.07118266703
240	0.07070232529
241	0.07019147493
242	0.06968548188
243	0.06910946814
244	0.0688216665
245	0.06837460707
246	0.0678864849
247	0.06754084674
248	0.06709300423
249	0.06679411463
250	0.06633102766
251	0.06602806384
252	0.06563626578
253	0.06533744629
254	0.06505021836
255	0.06457019293
256	0.06426107538
257	0.06398160213
258	0.0637176675
259	0.06332099422
260	0.06305130789
261	0.06262161287
262	0.06237038427
263	0.0621036156
264	0.06184766669
265	0.06159920567
266	0.06136510743
267	0.06109230983
268	0.06085744133
269	0.0605988943
270	0.06034036687
271	0.05994530209
272	0.05968409287
273	0.0594365777
274	0.05907086037
275	0.05882082542
276	0.05858308999
277	0.05834484528
278	0.05811298421
279	0.05788473469
280	0.0576677171
281	0.05731449111
282	0.05709039743
283	0.05673311021
284	0.05634106959
285	0.05612312249
286	0.05590687977
287	0.05569020702
288	0.0554775001
289	0.05514148626
290	0.05493498967
291	0.05473959875
292	0.05453094067
293	0.05432961086
294	0.05412997178
295	0.05392660779
296	0.05373073204
297	0.05338067967
298	0.05318502959
299	0.05298944046
300	0.05279737805
301	0.05261102799
302	0.05219423067
303	0.05201148523
304	0.05182621031
305	0.051646183
306	0.05145787394
307	0.05127760404
308	0.05110297662
309	0.05093008499
310	0.05075822847
311	0.05058781523
312	0.05041457835
313	0.05024806829
314	0.05008305558
315	0.04991990084
316	0.04975838666
317	0.04959712098
318	0.04943854985
319	0.04928169146
320	0.04912497976
321	0.04897374584
322	0.04881992777
323	0.04866738214
324	0.04851170553
325	0.04836340641
326	0.04821079396
327	0.04806043995
328	0.04791151716
329	0.04776401486
330	0.04761746219
331	0.04747588476
332	0.04733567881
333	0.04719239926
334	0.04705455949
335	0.04691806109
336	0.04678032783
337	0.04664323926
338	0.04650630001
339	0.04637106556
