Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
241780,247765,53.4781196,-7.3709332,112,Mullingar,Westmeath,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,147.1,24.4,90.6,96.8,78.7,67.5,29.7,30.4,73.1,78.2,68.6,68.4
1914,34.8,97.9,87.8,35.3,62.1,24.8,59.2,134.1,48.3,26.1,97.9,161.1
1915,117.8,114.2,20.2,53.7,26.8,62,121.6,120,26.1,79.8,55.4,130.5
1916,78.5,95.9,62,80.3,106.2,61,92.6,64.9,42.5,173.9,100.3,72
1917,35.7,52.7,49.6,37.8,51.2,46.7,76,160.3,53,134.6,97.9,54.7
1918,64.4,90.3,56.1,39.3,43.1,42.2,91,51.8,123.4,90.6,83.2,93
1919,82.9,41.8,40.9,39.6,49.8,86.8,28.2,52.5,59.9,26,45.6,131.9
1920,127.2,61.3,49.8,53.2,74.2,46,97.7,42.9,45,75.6,63,63.5
1921,85.6,7.6,61,23.7,50.5,4.5,84.5,81.4,24.1,51.7,82.9,82.3
1922,74,76,44,63.7,46.5,30.4,73.3,123.4,58.3,27,17.4,99.7
1923,76.5,127,43.6,81.6,35.1,37.3,69.5,128.3,78.9,94.8,56.8,73.6
1924,97,21.6,27.7,82.3,81.8,69.5,115.8,87.7,134.4,91.4,92.3,126.3
1925,73.7,99.7,15.4,85.2,132.5,17.7,63.9,57.9,61,84.7,52.7,56.3
1926,138.8,59.1,34.7,37.1,51.2,76.7,104.6,105.7,49.8,76,93.5,23.5
1927,78.2,71.3,77.8,34.4,29.5,51.7,74.6,113.3,99.4,62,52.3,55.9
1928,111.3,83.9,68.4,31.5,42.5,137.5,45.1,117.1,50.5,110.4,118.3,84.9
1929,52.5,78.2,13.6,15.2,60.4,44.7,68.4,113.3,11.9,116.4,85.8,145.6
1930,93,12.8,85.4,24.6,41.1,36.4,94.8,144.6,104.4,136.6,99,90.7
1931,64.2,67.3,66.8,81.4,77.5,121.2,98.1,80.9,83.6,53.2,149.5,68.6
1932,95.5,4.2,32.6,60.1,74.5,23.5,89.9,44.4,93.2,95.9,39.6,116
1933,69.1,74.6,59.2,33.5,47.6,62,61.7,43.1,18.3,61.5,28.6,58.8
1934,103.1,4.2,76.7,43.6,47.2,46.3,46.7,89.7,135.4,100.1,32.4,152.9
1935,32.8,101.5,46.3,65.5,39.8,141.7,19.7,85.2,130.3,95.2,98.4,58.3
1936,102.3,46.3,51.4,47.3,28.6,114.9,149.1,47.2,98.1,62.4,76.7,81.4
1937,102.2,106.4,59.5,67.3,41.4,57.5,91.2,50.8,106.4,43.1,31.1,46
1938,93.9,32,30.3,4,62.3,82.2,134.6,44.2,40.3,167.1,99.6,58.5
1939,107.1,68.3,53.6,32.6,22.2,40.3,105.7,43,55,38,147.9,60.1
1940,73.7,66.1,71,72.9,56.5,22.8,87.4,20.8,59,142.9,87,84.5
1941,56.3,90.3,53.5,47.8,46.1,17.5,71.2,98,18.3,66.1,103,47.6
1942,107.6,33.6,50.7,56.1,96.2,5.4,96.1,98.2,113.5,60.1,10.8,97.8
1943,110.3,45.1,24.1,45,87,87.2,49,116.5,68.3,68.3,67.7,56
1944,96.7,32.6,8.9,42.4,45.9,43.8,73.9,61.7,87.6,94.5,122.3,73.9
1945,57.9,78.7,32.2,34.2,68.6,83.5,64.6,47.2,69.4,58.5,17.4,92.8
1946,95.5,99.2,35.1,17.8,48.8,92.2,95.7,106.5,164.2,46.7,73.5,97.8
1947,73.1,50.5,105.9,88.7,99.7,109.7,77.5,12.9,86.8,58.9,107.6,98.3
1948,130.2,55.1,67.3,59.8,56.1,99.2,54.4,69.8,86,68.6,56.1,97.2
1949,60.4,64,49.2,63.1,49.7,19.7,55.7,103.8,28.7,110,68.9,95.8
1950,21.2,105.5,39,72.5,14,40.1,98.7,121.1,115.5,66.1,55.6,65.6
1951,76.3,55.9,91.5,46.9,42.2,53.9,65.9,109.1,87.1,35.9,96.5,139.2
1952,103,18.9,37.7,40.5,61.1,46.9,32.7,57.6,58,108.2,72.5,71.2
1953,42.5,36.8,9.5,42.7,31.2,25.4,118.2,89.2,75.5,67.7,91.8,61.7
1954,46.7,86.9,72.3,28.6,86,49.4,86.9,66.7,98.6,153.7,115.9,109.9
1955,89.8,56,34.4,60.7,86.7,87.4,21.2,24.8,76.9,40,49.6,104.4
1956,79.7,25.2,50.9,24.5,30.7,66.5,76.7,139.6,89.8,56.1,39.3,125.4
1957,110.3,53.6,92.3,31.9,43.7,36.5,72,66.1,98.7,127.4,18.1,70.4
1958,93.3,73.8,30.7,23.1,77.9,118.7,120.1,113.9,94,66.8,43.7,90.1
1959,53.6,26.4,62.1,60.8,17.8,59.9,59.9,17.3,50,129.2,87.5,159.8
1960,86.9,48.4,43.8,65.3,62.5,82.9,141.8,86,93.7,102.4,135.2,94.5
1961,117,68.2,13,98.4,49.2,51.4,74.1,66.7,105.8,64.5,53,59.5
1962,88.9,56.7,53,52.8,75.8,36.5,50.3,95.6,164.6,38,58.1,101.1
1963,24.8,29.9,95.5,58,58,50.8,66.2,81.5,61.7,99.2,126.5,17.6
1964,41.7,41.6,80.1,54.5,68.9,69,46.5,91.3,50.7,110,51.6,145.9
1965,138.3,9.1,78.5,70.3,88.6,77,87,73.4,57.3,61.2,183,128.1
1966,66.2,103.3,51.2,101.3,79.4,92.3,49,52.7,75,109.4,49.3,115.6
1967,57.3,84.5,42.3,35.1,132.4,25.7,102.2,76,101.6,143.6,59,63
1968,120.4,15.7,64.9,62.1,51.3,66.1,20,79.7,107.2,85.8,97.4,105.7
1969,120.1,43,30.4,67.5,81.4,52.3,41.2,29.3,26.3,31.2,70.3,79.8
1970,76,93.3,42.3,78.6,27.7,60.9,64.4,65.6,91.4,95.9,120.8,41
1971,55.3,47.8,36.2,37.4,38.8,74.3,22.5,70.6,39,42.1,75,43.6
1972,94.9,55.9,63.4,82.9,99.9,59.8,59.5,33.1,7.8,47.8,104.9,73.4
1973,59.9,39.7,25.7,43.9,72.8,23.9,74.6,90.7,90.8,46.4,98,51.7
1974,121.7,55.6,26.6,36.4,64.2,37.4,101.1,72.5,116.6,48.5,85.2,77.8
1975,138,29,26.4,51.5,25.2,17,49.7,31,111.5,72.5,75.8,36.2
1976,80.6,47.6,64.3,24.8,109.8,32,43.1,6.9,97.9,124.1,58.8,47.4
1977,67.9,126.5,82.1,83.5,16.3,77.8,34.9,68.6,54.5,83.8,96,68.6
1978,90.3,65.5,99.6,34,10.6,54.5,68.9,54,79,37.7,88.6,142.7
1979,58.4,33.3,77.3,56.4,97.2,28.7,41.9,107.1,54.5,95.1,98.9,129.2
1980,65.2,84,76.8,25.6,28.5,93.9,51.2,89.2,108.5,111.6,76.1,96.4
1981,59.2,57.2,93.4,29.3,122.6,98.8,49.7,27,119.1,68.5,68.9,58.7
1982,77,74.8,96.2,27.4,61.7,98,21.9,77.5,73.8,105,117.6,106.8
1983,127.4,41.4,88.5,68.3,102.4,40.3,13.3,55.8,104.9,108.7,36.9,112.3
1984,110.8,55.7,65.7,37.2,15,46.8,38.3,106,96,94,106.1,114.1
1985,51.3,41,63.6,47.4,99.7,59.1,94.6,162.1,96.3,60.2,51.3,94.7
1986,96.1,8.4,89.9,67.9,104,88.7,64.4,147.4,2.3,93.4,99.7,113.2
1987,28.2,44,83.5,43.5,26.5,116.6,37.4,71.1,91.6,106.9,65.5,51.8
1988,124.1,67.6,113,18.4,79.9,43.1,115.2,82.4,63.9,84.6,34.2,66
1989,57.6,90.9,93.6,59.4,18.9,39.6,20.7,81.3,48.6,123.3,31.5,68.4
1990,100.8,172.8,27,38.7,39.6,89.1,53.1,67.5,13.5,155.7,54.9,105.3
1991,76.3,83.2,82.3,114.4,4.1,70.7,37.9,33.4,45.8,91,91.2,63.5
1992,68.3,54.8,81.7,84.6,52.8,17.7,86.8,105.1,74.4,36.9,103.2,60.8
1993,100.1,15,42.5,97.1,87.7,122.9,69.6,38.7,77.8,70.4,45.1,148.5
1994,95.9,97.6,98.1,85.7,36.6,58.9,78.6,70.4,49.6,42.5,71.8,129.4
1995,132.6,105.8,59.3,25.7,40.4,19.1,69.1,6.2,59.6,140.8,98.8,47.6
1996,72.7,75.5,63.1,80.7,55.9,22.6,43.6,89.7,30.4,134.7,74.2,40.4
1997,22,131.9,30.6,46,95.5,86.8,60.8,90.3,44.6,90.7,65.4,80.2
1998,95.4,28.3,76.7,98.9,26.3,126.4,84.2,59.4,88.7,125.1,83.2,89.6
1999,107.6,50.9,58.1,77.1,50.2,58.4,39.2,87.9,139.6,37.5,93.5,141.4
2000,52.1,86.4,30.5,58,43,49.1,44.8,59.7,100.8,137.6,133,112
2001,34.6,43.5,63.8,81,36.5,72.5,39.1,97.4,46.3,86.6,53.9,32.2
2002,118.9,160.1,52.9,69.9,105.1,82,71.8,41.4,17,141.9,136.3,98.6
2003,47.2,33.9,40.2,57.2,115.7,71.6,55.2,11.9,43.8,39.7,71.6,71.6
2004,97.2,28.6,56.6,52.7,46.4,61.7,45.7,109.7,78.1,140.7,62.2,79.8
2005,112.5,34.9,62.3,67.1,81.3,30,60.6,52.3,53.6,97.7,69.4,56.4
2006,34.7,40.8,106.8,45.9,120,18.7,43.7,54.9,119.8,95.6,79.6,144.5
2007,105,63.3,58.8,20.1,57.4,97.4,135.1,97.4,40.4,41.9,54.5,107.6
2008,131.7,49.2,87.1,51.3,21.2,79.9,98.4,143.5,90,111.5,68,55.2
2009,94.1,23.2,36.5,97.3,62.8,81.5,173.2,121.6,34.3,100.5,172.4,66.8
2010,40.5,37.7,74,48.2,40.1,50.6,125.3,42.7,149.8,51.8,112.7,33.5
