Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
287831.33,345772.01,54.3530737,-6.6499043,62,Armagh,Armagh,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,94.1,25.8,77.3,84.9,96.2,101.3,39.8,24.3,104.9,94.5,74.5,73.5
1914,34.6,74.2,102.5,33.1,34,54.4,54.1,77.5,34,38.9,95.9,181.2
1915,72.8,90.2,22,54.2,22.1,43.9,95,71.9,37.4,57.3,43.7,131.4
1916,75.5,86.4,34.2,92,157.1,56,42.6,84.5,22.2,138.3,89.6,61.1
1917,42,65.1,69.1,67.1,76.1,77.9,63.4,116.3,48.3,107,97.8,49.3
1918,72.1,95.5,33.1,28.2,58.7,25.7,82.8,64.7,138.4,98.5,105.5,90.2
1919,104.5,23.7,61.8,30.6,45.6,52,15.8,82.2,80.2,37.9,48.9,155.9
1920,104.6,62.9,81.1,73.2,75.3,60.4,76.1,48.6,58,136.2,69.2,77.8
1921,110.4,25,66.2,23.3,52.6,7.5,93.2,89.9,31.2,71.1,71.4,83.7
1922,84,69.5,35.3,78.2,45.3,54.9,86.1,97.3,67.3,31.4,31,75.7
1923,65.4,137.8,37.8,80.1,36.2,27.4,56.3,124.6,88.3,89.1,96.1,75.5
1924,85.7,27.5,29.3,64.2,104.1,60.5,122.4,112.8,133.5,70.5,66.4,103.6
1925,56.4,90.9,30.7,71.8,117.5,27.7,96.4,47.3,66.6,63.3,40,64.6
1926,125.5,58.4,44.4,46.1,71,67.9,79.8,82.4,50.8,72.7,79.1,30.2
1927,85.2,36.2,59.6,34.2,39.4,74.3,65.4,114.3,133.8,57.7,86.9,46.5
1928,124,102.7,81,45.3,20.8,107.1,41.2,176,54.1,119.7,108.9,62.9
1929,32.9,57.6,8.6,21.8,69.9,47.4,64.1,140.6,37.1,142.7,88.4,150.3
1930,102.2,21.9,54.6,38.8,39.4,38.2,83.6,149.2,76.6,136.1,77.8,66.4
1931,70.5,74.1,37.1,86.1,92.8,127.4,146.3,52.9,49.8,50,112.4,65.1
1932,78,3.3,46.5,61,68.8,21.3,135.2,61.6,78.8,71.6,51.9,126
1933,53.6,72.9,51.3,22,66.2,54.1,70.4,38.7,4.2,50.8,23.6,41.7
1934,73.8,7.3,45.7,65,70.6,36,64.5,139.6,117.2,113.7,17.7,121.9
1935,36.9,83.3,31.5,53.6,21.5,104.3,29,71,96.3,85.7,97.9,59.3
1936,84,45.3,42.7,13.9,39.9,111.7,149.4,44.8,111,71.3,96,82.2
1937,117.6,88,57.9,57.6,27.6,54.4,83.1,74.2,59.7,69.8,32.7,57
1938,98,30.7,25.3,2.3,98.3,92,122.2,65.6,55.5,139.5,103.1,85.3
1939,81,51.9,77.4,60.9,30.6,50,112.5,40.6,45.3,91.4,123.9,59.8
1940,76.3,70.5,97.3,74,23.5,40.2,134.4,13.2,65.9,108.5,71.8,90.5
1941,41.8,74.8,88.8,42.5,60.7,15.5,72.4,98.6,25.5,89.8,93.7,36.6
