Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
46471.78,78165.16,51.9352866,-10.232517,11,Valentia ,Kerry,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,269.4,93.3,171.1,135.4,171.6,95.7,26.5,38,139,208.5,173.2,82
1914,90.4,281.7,208.5,60.2,56.6,36.4,152.9,184.5,133.5,147.1,126.6,276.4
1915,157.5,260.7,34.7,47.8,53.4,72.2,167.7,71.2,140.8,249.1,166,203.2
1916,103.9,157.8,50.9,124.3,95,58.5,40.7,121.8,146.1,274.9,226.2,139.4
1917,86.4,80.6,114.3,38.8,76.2,91.1,146.5,200.4,71.4,205.5,72.6,105.3
1918,172.5,177.8,99.8,44.1,68,56.4,120.7,70.8,182.7,169.1,144.5,204.6
1919,208.2,73.3,108.8,50.5,118.5,53.6,47,72.3,102,66,81.8,179.8
1920,196.5,63.7,161.1,156.1,121.6,77.7,123.1,53.9,124.6,203,184.7,183.1
1921,134.5,76.8,163.3,30.7,78.1,2.7,105,154.4,36.8,106.3,193,90.2
1922,199.3,170,77.5,81.7,91.6,38,141.5,134.7,106.4,57.3,100.8,159.2
1923,68.1,275.4,134.8,107.4,46.8,24,92.4,193.5,142.8,176.9,127.5,135.8
1924,166,92.6,40.3,75.8,91.2,126.5,140.3,127.7,199,134.6,129.4,251.8
1925,207.9,196.7,24.8,143.9,109.9,7.8,101.9,96.8,102.1,116.6,116.4,107.4
1926,266.2,128.9,43.6,95.1,110,114.4,47.7,111,58.7,81.5,211.9,36.3
1927,155.9,102,157.7,35.8,59.5,95.3,99.2,125.1,126.4,108.7,113.9,165.2
1928,205.9,119.6,137.9,127,61.6,147.7,51.6,220.5,119.2,228.4,186.1,176.2
1929,89.1,180.6,34.4,43.6,89,86.9,134.3,129,40.8,158.3,250.3,292.4
1930,281.2,29.8,161.2,82.8,77.4,92.2,102.8,204.8,121.8,189.8,161.2,159.4
1931,81,30,109,79,119,147,98,91,66,64,310,129
1932,186,11,97,94,126,75,120,75,65,70,53,210
1933,141,56,167,74,116,74,100,106,63,81,66,103
1934,0,13,148,92,57,62,69,137,205,179,77,364
1935,27,128,56,95,34,207,35,119,156,123,211,113
1936,221,91,76,69,53,57,124,45,106,77,139,181
1937,296,184,126,85,84,51,223,74,167,64,135,136
1938,185,92,76,2,127,104,152,143,153,190,185,149
1939,185,127,93,57,45,79,156,46,48,105,252,117
1940,164,180,85,80,42,55,67,10,72,235,186,152
1941,129.5,211.5,107.4,54.4,83.4,21.3,79.8,101.2,69.7,88.2,236.5,93.8
1942,242.7,44.8,148.9,93.9,133.6,13.5,72,118.2,110.1,78.2,30.8,163.2
1943,211.6,61.6,33.3,81.3,134,137.1,95.8,103.3,114.9,249.8,103.9,81.5
1944,148.2,47.7,21.1,97.5,37.1,50.9,111.2,80.3,125.5,178.5,178.2,185.4
