Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
242312.33,457958.12,55.3665488,-7.3335006,22,"Malin Head,", Donegal,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1912,45.2,57.7,120.2,51.8,22.1,138.5,127.2,102,44.9,96.4,97.6,137.5
1913,65.4,44.6,75.1,101.7,62.1,63.4,24.3,47.8,91.3,62.4,132.8,136.9
1914,76.4,184.3,115.4,67.4,55.2,29,67,109.1,73.5,57.3,163.8,148.2
1915,95.8,76.5,49.1,72.6,42.8,62.4,141.8,113,46.4,48.5,87,142.8
1916,82.7,132.5,48.4,101.8,159.1,28.6,62.4,99.4,43.3,164.9,155.6,114.2
1917,83.9,59.2,48.1,61,68.3,88,45.8,167.5,68.8,227.6,195.6,103.6
1918,60,95.9,23.1,39.2,67.5,37.7,66.8,139.7,142.5,118.8,87.7,118.5
1919,111.7,21.9,86.8,57.7,31.6,85.1,29.2,97.6,65.6,45.1,129.6,160
1920,100.7,61.3,72.8,51.3,105.5,42.4,78.1,130.1,84.5,66.4,110.6,55.1
1921,125,31.4,93.2,42.8,54.9,18.8,63,91,57,95.9,95.8,135.5
1922,103.7,148.1,56.7,77.3,60.4,69.6,96.3,78.1,59.2,41.5,67.6,88.2
1923,110.8,117.8,38.4,73,44.9,39.5,107.2,177.4,130,127.5,113.2,134.8
1924,89.8,45.3,14.4,103.9,105.1,66.7,91.5,142.5,145.2,81.8,85.8,155.4
1925,87.8,109.3,79.9,109.6,77.4,23.8,106.5,85.2,82.7,72.5,58.1,114.9
1926,141,76.8,47.7,32.3,70.6,73.4,89.6,87.4,127.7,176.4,146.9,50.9
1927,144.2,45.2,58.3,82.9,49.2,107,110,86.4,124,125.1,103.4,45.4
1928,211.2,130.4,65.7,37.3,33.8,126.5,69.9,134.4,112.2,176.9,138.2,97
1929,38.7,48.7,9.1,34.2,54.3,97.3,83.7,152.2,50.2,146.5,120.4,192.2
1930,123.2,34.2,63,52.6,29.8,81.3,85.8,152,76.4,153.6,134.2,115.8
1931,112.1,118.1,33.8,63.5,66.7,139.5,84.8,40,85.2,118.1,137.4,79.6
1932,114.3,4.1,55.1,109.4,47,31.1,145.4,46.4,93,157.8,114.1,110.1
1933,107.9,112,65.2,43.9,54.9,51.7,122.5,106.1,15.1,106.5,59.8,51.9
1934,113.5,11,107.8,73,71.9,116.7,80.4,138.2,181.7,186.7,42.6,131.3
1935,66.1,89.6,37.9,85.6,34.4,90.1,53.6,83.8,147.5,220.9,105.5,93.6
1936,125.9,39.3,59.1,22.7,24,48.8,147.4,83.2,116.5,107.7,164.7,98.2
1937,157.1,108.8,27.3,54.9,61.2,58.1,135.7,88.4,124.6,44.5,73.3,71.7
1938,143.4,41.3,65.9,14.7,73,140.1,109.9,74.8,103.7,199.8,179.5,140.2
1939,85.5,108.8,106.9,47.7,37.2,57.3,125.1,50.9,77.2,60.6,147.5,84.1
1940,74.5,82.2,140.8,116.6,47.2,38.6,96.5,64.2,75.9,112.3,143.1,153.6
1941,48.4,65.1,106,30.8,39.7,16.6,66.5,103.5,28.2,119.1,94.3,72.4
1942,159.2,71.3,61.2,57.9,86.7,56.9,128.3,145.4,131.6,127.3,48,120.7
1943,103.5,80.8,37.5,57.7,68.6,83.4,66.5,167.7,94.7,94.7,92,63
1944,120.4,42.3,35.4,58.2,78.7,70.7,90.6,63.6,155.1,103.9,132.8,111
1945,127,92.5,40.6,42.6,136.7,111.7,137.9,53.4,87.4,145.8,25.1,120.7
1946,109.3,99,51.2,34.8,32.4,99,107,83.9,138.6,24.4,90.6,130.5
1947,77.6,25.1,114.2,90.7,92.6,111,86.8,6.6,82.4,57.8,169.5,103.4
1948,166.2,73.1,68.7,78.3,38.5,66.5,92.5,107.8,161.5,133.8,82.2,139.6
1949,112.7,71.8,71.5,86.5,44.2,25.8,48.5,96.7,52.2,105,151.2,175.7
1950,101.7,97.3,50.3,95.7,53,86.8,137.5,109.2,189.6,100.4,85.1,100.5
1951,99.7,85.5,85.4,64.9,36.6,43.4,114,99.9,78.5,69.1,133.5,132.9
