Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
311871.41,236856.22,53.370275,-6.3199808,39,Phoenix Park,Dublin,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,99.1,18.3,62.9,69.8,76.3,35.2,20.3,18.7,104,112.5,56.9,48.6
1914,32.8,56,48.7,23.5,53.6,28.8,59.4,97.7,31.2,42.5,97.2,165.6
1915,57.5,80.9,20.6,41.4,40.5,37.6,139.4,58.4,23.4,101.9,100.6,124.2
1916,48.2,92.7,91.6,53,105.4,53.2,61.1,75.5,56.3,167.9,159.1,77.3
1917,33.6,49.1,65.5,36.5,73.6,31.9,43.1,185.2,43.5,84.2,49.3,69.1
1918,41,52,32.5,51.5,56.3,30.5,98.7,56.6,124.4,69.1,57.1,76.3
1919,73.9,38.2,63.7,30.2,46.5,61.8,28.6,56.2,50.4,52.7,61.5,102.1
1920,101.6,48.7,63.6,68.2,60.1,47.5,129.7,47.7,33,127.9,65.8,55.3
1921,79.2,22.3,64.6,22,82.2,6.5,90,67.2,37.1,62.6,57.6,68.5
1922,61.8,46.9,35.7,61.2,17.7,21.4,54.6,95.1,64.8,18.7,10,56
1923,47.8,119.9,22.6,82.6,45.7,29.2,89.1,110.6,58.6,55.7,51.3,52.9
1924,88.7,12.1,19.4,50.5,83.3,76.2,99.9,80,134.1,51.9,57.4,97.6
1925,62.8,107.8,19.7,62.9,141.2,6.5,70.1,35.2,58.6,63.7,66.7,45
1926,88.3,40.6,23.5,50.4,73.3,66.1,63.3,53.7,42.7,79.2,89,23.3
1927,78,59.8,74.6,33.2,19.3,75.4,76.7,140.8,101.2,70.1,76.5,53.6
1928,72.4,61.7,102.8,12.2,35.9,118.7,37,100.9,21.1,72.5,91.8,63.6
1929,22.7,51.7,6.9,32.5,38.7,35,67.3,118.7,15.3,71.2,121.1,139.4
1930,102.6,30.4,97.9,34.6,55.7,43.6,89,127.6,170.9,81.5,69.1,79.3
1931,43.4,37.3,31.1,60,72.8,95.4,89.6,72.9,113.2,25.2,101.2,35.6
1932,67.5,6.4,45.9,70.2,100.9,12.1,129.9,40.2,73.4,70.1,35,100.4
1933,48,100,47.8,16.2,53.2,45.3,48.3,19.1,24.2,69.2,31.8,40.5
1934,50,4,58.9,57,32.4,45.1,45.1,83.6,77.4,52.3,46.3,112
1935,25.9,95.1,18.4,52.4,50.2,73.8,15.6,56,99.8,65.4,90.4,34
1936,84.7,50.7,38.2,51.1,28.2,71.2,164.8,27.5,68.6,41.8,58.9,63.7
1937,71.2,83.1,119.9,38.7,29.5,33.4,44.3,59.5,36.7,112.9,55,44.2
1938,64.2,15,21.6,1.5,64,65.5,98.8,54.1,34.8,141,64.5,76.2
1939,84.8,50.5,70.1,51.7,16.9,53.9,65.3,58.3,73.5,73.5,108.1,50.9
1940,81,84.7,35.5,83.3,25.2,22.3,104.1,15.4,52.8,134.2,92.3,43.6
1941,91.4,64.1,95.8,66.6,64.3,28,51.1,67.5,18.7,48.2,76,47.5
1942,78.5,24.8,64.7,33.3,112.5,4.1,64.3,91.5,125.8,39.8,9.9,62.5
1943,93.6,18.3,9.5,24.4,99.3,51.8,41.1,57.8,62.5,58.2,62.5,47.4
1944,78.6,29.7,8.4,39,32.8,39.1,60,69.3,129.7,64.2,138.2,42.1
1945,36.2,46.6,16.4,35.3,59.4,85.5,94.5,37,52.5,43.3,10.4,70.5
1946,57,81,47.8,32.2,53.1,88.3,61.4,152.9,148,39.7,96.5,67.3
1947,88.2,51.3,141.3,83,103,94.4,70.8,21.6,58.9,16.4,68.7,123.2
1948,183.3,50.9,52.5,66.4,64.5,69.9,56.1,92.9,58.8,28.7,39.5,96.3
1949,56.1,32.3,49.9,54.2,45,14.6,47.2,75.3,20.9,89.7,38.2,80.3
1950,11.4,114.2,30.3,58.8,34.6,33.2,69.8,143.6,111.2,77.5,48.2,50
1951,81.2,64.1,98.5,32.8,50.5,26.1,61.7,88.2,68.1,11.9,124.4,101.7
1952,77.7,20.3,23.8,39,63.9,37,24.3,105.6,56.2,99.8,97.6,61
1953,20.1,37.8,13.8,69.9,52.3,47.5,92.2,76.5,38.6,35.9,51.7,45.5
1954,46,53.7,53,11.9,117.6,48.7,62.6,61.9,54.7,135.6,96.7,114.7
1955,92.3,79.3,28.5,27.2,63.2,111.2,12.9,126.4,43.3,26,41.6,113
1956,68.4,32.7,71.3,58.9,25.2,62,76.1,135.2,101.2,45.7,39.7,99.8
1957,50.8,57.2,83.2,17,58,44.3,87.7,79.6,154,81,47.6,87.4
1958,48.7,118.4,34.1,31,117,182.5,114.2,129.7,100.2,50.9,50.4,106.1
1959,46.4,16.8,37.9,40.9,70.9,83,38.3,10.4,23.7,111.9,87.9,134.1
1960,85.5,48.9,74.1,42.8,48.4,56.6,120.5,114.1,87.8,209.9,108.6,80.5
1961,104.4,54,11.9,97.7,26.7,37,52.1,57.4,92.2,53.5,49.3,55.8
1962,51.5,45.8,51.8,51.8,61.1,25.7,71.4,62.5,116.3,22.2,43.8,97.7
1963,46.4,53.4,62,56.8,54.5,67.7,17.3,113.5,47.1,51.2,101.8,25.3
1964,15.2,30.4,100.4,58.4,49.5,47.8,32.9,84.7,48.7,70.9,28.5,126.5
1965,108.4,11.3,57.9,44.9,50.5,82,83.4,60.2,62.8,34.1,191.1,83.6
1966,94.3,100.9,42.5,136.3,44,107.6,50.8,57.5,69,135.7,54.6,106.2
1967,38.5,101,34.3,26.8,126.2,16.8,52.3,100.6,97,115.4,46.6,57.1
1968,82.8,19.9,55.3,48.6,50.6,59.9,15.2,87.7,101.1,59.2,85.1,113.9
1969,105.9,54.7,54.5,68.1,114.5,57.8,30.2,50.1,52.4,14.6,89.6,64.1
1970,63.8,67.3,48.2,101.8,16.7,27.7,63.5,53.3,54.9,53.7,137.5,62.5
1971,42,47,85.4,55.1,35.8,88.1,74.8,79.8,38.7,50.6,60.3,46.5
1972,107.7,68.6,54.8,53.6,52.9,62.9,58,28.7,8.8,41.8,83.8,91.7
1973,47.4,51,17,48,86.8,16.2,80,114.3,90.2,57.7,72,70.8
1974,93.2,50.8,23.9,50,57.1,38.1,102.3,35.2,118.8,32.8,53.7,47
1975,105.4,25.5,36.8,62.2,66.1,11.5,33.4,35.6,107.7,37.9,64.2,31.8
1976,67.6,37.2,59.1,18.6,71.4,20.3,59.9,6.6,176.2,135.1,34.9,54.2
1977,69.4,124.4,55.3,60,15.5,61.5,36.5,65.9,55.3,95.4,63.3,80
1978,60.2,63,56.7,24.7,22.4,44.9,59.1,107.6,44.9,28,78.1,231
1979,61.4,74.9,87.1,59.3,82.5,48.7,34.9,73.4,38.8,95.3,59,112.4
1980,119.1,61.4,79.1,11,34,78.5,52.7,102.6,80.7,119.6,64.5,42.7
1981,37.8,57.7,82.9,51.6,91,79.7,34.1,11,88.6,94,55.7,137.8
1982,51.1,27.4,61.4,13.1,63.7,145.3,7.8,74.4,83.6,91.1,125.7,83.4
1983,74,46.9,65.4,80,92.4,40.9,12.7,57.1,80.6,52.8,21.6,127.8
1984,103.3,57.1,54.5,16.6,29.2,38.8,20.7,78.3,68.6,54.7,100.5,97.2
1985,42.3,47.2,63.6,42.2,87.2,68.4,111.3,124.8,35,23.4,40,73.6
1986,99.1,13.2,68.3,55.1,68.5,88.2,72.1,156.5,1.1,56.4,100.6,87
